name,cfu
I0A,1.50E+10
I0B,1.50E+10
I0C,1.50E+10
I0A2,1.50E+10
I0B2,1.50E+10
I0C2,1.50E+10
A1F1,1.87E+09
A2F1,1.41E+09
A3F1,1.79E+09
A4F1,1.31E+09
B1F1,1.45E+09
B2F1,1.89E+09
B3F1,3.13E+09
B4F1,1.87E+09
C1F1,1.98E+09
C2F1,1.51E+09
C3F1,2.75E+09
C4F1,2.05E+09
D1F1,2.75E+09
D2F1,2.00E+09
D3F1,2.09E+09
D4F1,2.44E+09
E1F1,1.49E+09
E2F1,2.75E+09
E3F1,3.08E+09
E4F1,5.69E+09
A1F2,1.89E+09
A2F2,2.56E+09
A3F2,3.30E+09
A4F2,2.45E+09
B1F2,1.55E+09
B2F2,2.20E+09
B3F2,1.87E+09
B4F2,3.75E+09
C1F2,3.12E+09
C2F2,2.43E+09
C3F2,3.23E+09
C4F2,2.99E+09
D1F2,2.24E+09
D2F2,4.24E+09
D3F2,3.52E+09
D4F2,3.00E+09
E1F2,3.00E+09
E2F2,1.99E+09
E3F2,1.70E+09
E4F2,1.82E+09
A1F5,4.05E+09
A2F5,2.31E+10
A3F5,4.59E+09
A4F5,9.17E+09
B1F5,4.20E+09
B2F5,5.10E+09
B3F5,3.53E+09
B4F5,1.03E+10
C1F5,4.41E+09
C2F5,3.18E+09
C3F5,3.12E+09
C4F5,4.20E+09
D1F5,8.40E+09
D2F5,5.46E+09
D3F5,5.20E+09
D4F5,1.37E+10
E1F5,3.36E+09
E2F5,3.15E+09
E3F5,4.20E+09
E4F5,5.15E+09
A1F10,4400000000
A2F10,11200000000
A3F10,2800000000
A4F10,4200000000
B1F10,1620000000
B2F10,9688888889
B3F10,6750000000
B4F10,1766666667
C1F10,3668571429
C2F10,1211111111
C3F10,6300000000
C4F10,1766666667
D1F10,2100000000
D2F10,5500000000
D3F10,6114285714
D4F10,3633333333
E1F10,4080000000
E2F10,3533333333
E3F10,10600000000
E4F10,3057142857
A1F20,6.05E+08
A2F20,7.27E+08
A3F20,6.30E+08
A4F20,8.80E+08
B1F20,2.70E+09
B2F20,4.59E+09
B3F20,3.89E+09
B4F20,6.52E+09
C1F20,9.33E+08
C2F20,3.03E+09
C3F20,4.20E+09
C4F20,4.59E+09
D1F20,6.30E+09
D2F20,3.06E+09
D3F20,3.63E+09
D4F20,3.36E+09
E1F20,1.56E+09
E2F20,2.52E+09
E3F20,3.06E+09
E4F20,2.14E+09
I9,1.70E+01
I92,1.70E+01
