"","Nbarcodes","Nb","Ns","Nr","Nb_cal","Nr_cal"
"I1A",253,162896.035498557,2501,162896.035498557,NA,NA
"I1B",253,100425.652350658,2501,100425.652350658,NA,NA
"I1C",253,96211.8551112369,2501,96211.8551112369,NA,NA
"I2A",245,11480.6795405399,1961,11480.6795405399,NA,NA
"I2B",253,16909.1368389772,2501,17255.1638607412,NA,NA
"I2C",253,68306.5894971755,2501,68306.5894971755,NA,NA
"I3A",246,75937.9057143809,1851,75937.9057143809,NA,NA
"I3B",253,120585.935137282,2501,120585.935137282,NA,NA
"I3C",253,73005.6735545194,2501,74509.0416680429,NA,NA
"A0",253,6195.64484423821,2501,6848.72163374311,NA,NA
"B0",253,6575.42076656395,2501,6924.22548433508,NA,NA
"A1F0",253,14330.5672645197,2501,15047.8195720251,NA,NA
"A1F1",3,2.5012682527604,3,3,NA,NA
"A2F0",27,24.0271071202682,31,31,NA,NA
"A3F0",218,373.383552291081,901,901,NA,NA
"A3F1",1,3.35708254817376,1,1,NA,NA
"A4F0",230,648.31329969071,1071,1071,NA,NA
"B1F0",253,66046.9241665959,2501,66046.9241665959,NA,NA
"B1F1",85,5.46277880309703,101,101,NA,NA
"B1F2",1,2.05945112005397,1,2.05945112005397,NA,NA
"B1F5",1,2.06188391351285,1,2.06188391351285,NA,NA
"B2F0",247,12068.9381395703,2101,12068.9381395703,NA,NA
"B2F1",11,9.9264603891,11,11,NA,NA
"B2F2",1,2.06099745484191,1,2.06099745484191,NA,NA
"B2F5",2,1.9258584609861,2,2.05730354682785,NA,NA
"B3F0",253,59837.3466622713,2501,59837.3466622713,NA,NA
"B3F1",21,1.74301328833828,21,21,NA,NA
"B3F2",1,1.05067496705211,1,1.05067496705211,NA,NA
"B3F5",1,1.05132881386783,1,1.05132881386783,NA,NA
"B4F0",253,687.851131073891,2501,2501,NA,NA
"B4F1",14,11.9121057564569,14,14,NA,NA
"B4F2",1,2.05971160075418,1,2.05971160075418,NA,NA
"B4F5",1,2.10816151289674,1,2.10816151289674,NA,NA
"C1F0",247,7821.52506705303,2101,8021.04689981913,NA,NA
"C1F1",69,6.38545617603145,89,89,NA,NA
"C1F2",2,1.85135828734543,2,2,NA,NA
"C1F5",2,1,2,2.05119598466082,NA,NA
"C2F0",253,29565.7647538538,2501,32054.282490092,NA,NA
"C2F1",240,2013.69977550313,1371,2875.95445531585,NA,NA
"C2F2",2,4.66359978714646,2,4.66359978714646,NA,NA
"C2F5",2,4.44965599401971,2,4.44965599401971,NA,NA
"C3F0",253,12958.1614281635,2501,13695.6107403531,NA,NA
"C3F1",252,11.3348303732665,2501,2870.00875001419,NA,NA
"C3F2",12,13.8607159651331,12,13.8607159651331,NA,NA
"C3F5",9,10.797456064291,9,13.0902198197626,NA,NA
"C4F0",253,34923.7680499046,2501,35575.8374574799,NA,NA
"C4F1",246,49.2331005498121,1851,1851,NA,NA
"C4F2",7,1.5665773820642,7,7,NA,NA
"C4F5",5,3.60942329587456,5,5,NA,NA
"D1F0",253,86168.214024092,2501,88884.3277924038,NA,NA
"D1F1",252,22.1491037821762,2501,2777.5973591492,NA,NA
"D1F2",112,31.7518317642521,166,166,NA,NA
"D1F5",107,4.21873202636802,181.909090909091,181.909090909091,NA,NA
"D2F0",253,45835.6548221393,2501,50820.182405036,NA,NA
"D2F1",252,100.403808803226,2501,2501,NA,NA
"D2F2",11,6.57926207182981,11,11,NA,NA
"D2F5",27,9.78197914313307,31,31,NA,NA
"D4F0",246,50989.3750113917,1851,50989.3750113917,NA,NA
"D4F1",248,12.7846685089949,2191,2191,NA,NA
"D4F2",185,28.8871532985618,441,441,NA,NA
"D4F5",197,32.3166095373921,501,501,NA,NA
