,Nbarcodes,Nb,Ns,Nr,Nb_cal,Nr_cal,Nr_calibrated
I1A,253,162896.0355,2501,162896.0355,NA,NA,9933933.644
I1B,253,100425.6524,2501,100425.6524,NA,NA,9933933.644
I1C,253,96211.85511,2501,96211.85511,NA,NA,9933933.644
I2A,245,11480.67954,1961,11480.67954,NA,NA,22562.52606
I2B,253,16909.13684,2501,17255.16386,NA,NA,39301.1387
I2C,253,68306.5895,2501,68306.5895,NA,NA,3129641.468
I3A,246,75937.90571,1851,75937.90571,NA,NA,6802713.253
I3B,253,120585.9351,2501,120585.9351,NA,NA,9933933.644
I3C,253,73005.67355,2501,74509.04167,NA,NA,5911223.708
A0,253,6195.644844,2501,6848.721634,NA,NA,11282.29903
B0,253,6575.420767,2501,6924.225484,NA,NA,11454.31622
A1F0,253,14330.56726,2501,15047.81957,NA,NA,32484.79812
A1F1,3,2.501268253,3,3,NA,NA,3
A2F0,27,24.02710712,31,31,NA,NA,32.39323591
A3F0,218,373.3835523,901,901,NA,NA,855.8790547
A3F1,1,3.357082548,1,1,NA,NA,1
A4F0,230,648.3132997,1071,1071,NA,NA,1029.964886
B1F0,253,66046.92417,2501,66046.92417,NA,NA,2446887.796
B1F1,85,5.462778803,101,101,NA,NA,102.5610454
B1F2,1,2.05945112,1,2.05945112,NA,NA,2.05945112
B1F5,1,2.061883914,1,2.061883914,NA,NA,2.061883914
B2F0,247,12068.93814,2101,12068.93814,NA,NA,24116.06101
B2F1,11,9.926460389,11,11,NA,NA,10.84548248
B2F2,1,2.060997455,1,2.060997455,NA,NA,2.060997455
B2F5,2,1.925858461,2,2.057303547,NA,NA,2.057303547
B3F0,253,59837.34666,2501,59837.34666,NA,NA,1170284.094
B3F1,21,1.743013288,21,21,NA,NA,21.79499851
B3F2,1,1.050674967,1,1.050674967,NA,NA,1.050674967
B3F5,1,1.051328814,1,1.051328814,NA,NA,1.051328814
B4F0,253,687.8511311,2501,2501,NA,NA,2833.177598
B4F1,14,11.91210576,14,14,NA,NA,14.17610942
B4F2,1,2.059711601,1,2.059711601,NA,NA,2.059711601
B4F5,1,2.108161513,1,2.108161513,NA,NA,2.108161513
C1F0,247,7821.525067,2101,8021.0469,NA,NA,13992.62325
C1F1,69,6.385456176,89,89,NA,NA,90.79286506
C1F2,2,1.851358287,2,2,NA,NA,2
C1F5,2,1,2,2.051195985,NA,NA,2.051195985
C2F0,253,29565.76475,2501,32054.28249,NA,NA,109192.27
C2F1,240,2013.699776,1371,2875.954455,NA,NA,3401.358582
C2F2,2,4.663599787,2,4.663599787,NA,NA,3.775117786
C2F5,2,4.449655994,2,4.449655994,NA,NA,3.550211883
C3F0,253,12958.16143,2501,13695.61074,NA,NA,28576.87441
C3F1,252,11.33483037,2501,2870.00875,NA,NA,3392.057373
C3F2,12,13.86071597,12,13.86071597,NA,NA,14.0225285
C3F5,9,10.79745606,9,13.09021982,NA,NA,13.17062124
C4F0,253,34923.76805,2501,35575.83746,NA,NA,137563.4141
C4F1,246,49.23310055,1851,1851,NA,NA,1939.633213
C4F2,7,1.566577382,7,7,NA,NA,6.345287704
C4F5,5,3.609423296,5,5,NA,NA,4.133767379
D1F0,253,86168.21402,2501,88884.32779,NA,NA,9933933.644
D1F1,252,22.14910378,2501,2777.597359,NA,NA,3248.719251
D1F2,112,31.75183176,166,166,NA,NA,164.6124268
D1F5,107,4.218732026,181.9090909,181.9090909,NA,NA,179.4800843
D2F0,253,45835.65482,2501,50820.18241,NA,NA,428549.7584
D2F1,252,100.4038088,2501,2501,NA,NA,2833.177598
D2F2,11,6.579262072,11,11,NA,NA,10.84548248
D2F5,27,9.781979143,31,31,NA,NA,32.39323591
D4F0,246,50989.37501,1851,50989.37501,NA,NA,435134.0504
D4F1,248,12.78466851,2191,2191,NA,NA,2392.172694
D4F2,185,28.8871533,441,441,NA,NA,417.0394698
D4F5,197,32.31660954,501,501,NA,NA,472.3140614
