barcode,I0Adose,I0AC3H,A1F0,A1F1,A2F0,A3F0,A4F0,A4F2,B1F0,B1F1,B1F2,B1F5,B2F0,B2F1,B2F2,B2F5,B3F0,B3F1,B3F2,B3F5,B4F0,B4F1,B4F2,B4F5,C1F0,C1F1,C1F2,C1F5,C2F0,C2F1,C2F2,C2F5,C3F0,C3F1,C3F2,C3F5,C4F0,C4F1,C4F2,C4F5,I8C3H
"Cluster_14111,contig_0 consensus mapping",1086,1404,1460,0,979,1224,981,0,991,0,64,0,696,104,94,665,671,854,735,74,875,370,0,94,910,330,625,569,1107,718,1497,276,1243,199,0,0,1152,320,15,1,0
"Cluster_1034,contig_0 consensus mapping",955,1249,1548,0,752,181,619,0,819,0,25,0,660,102,0,0,637,365,0,0,695,251,0,0,742,178,99,0,1012,356,244,79,1144,264,2,0,1100,377,68,21,6309
"Cluster_4925,contig_0 consensus mapping",1106,1397,961,0,1116,213,529,0,889,0,0,0,756,12,0,0,736,3,2071,9753,868,0,0,0,905,314,1699,411,1086,2094,1215,698,1321,1098,22755,12763,1168,2736,441,4814,0
"Cluster_12714,contig_0 consensus mapping",995,1191,1610,0,870,741,599,0,940,0,0,0,609,169,607,3,573,1596,0,1,722,97,0,0,782,262,253,109,881,1211,242,252,1052,3634,1,0,1072,544,78,10,2983
"Cluster_2073,contig_0 consensus mapping",932,1152,1193,0,303,1269,622,0,926,0,5,0,602,0,0,0,663,0,0,0,788,0,0,0,797,129,213,104,970,414,570,285,1111,287,0,0,1088,629,278,119,0
"Cluster_994,contig_0 consensus mapping",1173,1464,1031,0,1207,875,722,0,1032,0,0,0,753,8,0,0,681,428,0,0,909,31,0,0,887,171,79,180,1022,925,890,302,1304,280,136,5,1184,477,268,21,3059
"Cluster_9214,contig_0 consensus mapping",1415,1839,1821,0,1245,2000,676,0,1365,128,0,0,889,110,448,116,880,688,0,0,1015,21,0,0,1157,283,1488,1156,1376,2012,1448,1024,1549,334,0,0,1539,822,546,0,3524
"Cluster_8799,contig_0 consensus mapping",1097,1428,862,0,740,930,556,0,1025,0,1,0,683,18,0,0,718,66,0,0,853,300,0,0,867,283,532,458,1026,389,1244,677,1236,285,0,0,1210,584,68,1,0
"Cluster_5394,contig_0 consensus mapping",1139,1507,1284,0,1026,709,852,0,1079,832,4,0,717,323,297,2738,697,0,0,0,826,337,1,1284,913,66,242,162,1085,181,298,103,1253,157,0,46,1156,437,43,0,2799
"Cluster_15036,contig_0 consensus mapping",1309,1590,1677,0,526,1592,1077,0,1151,629,0,0,856,36,923,2394,807,138,0,0,971,104,0,0,1036,202,281,227,1193,625,410,108,1479,229,1,0,1306,394,53,0,3144
