barcode,I0Adose,I0AC3H,A1F0,A1F1,A2F0,A3F0,A4F0,A4F2,B1F0,B1F1,B1F2,B1F5,B2F0,B2F1,B2F2,B2F5,B3F0,B3F1,B3F2,B3F5,B4F0,B4F1,B4F2,B4F5,C1F0,C1F1,C1F2,C1F5,C2F0,C2F1,C2F2,C2F5,C3F0,C3F1,C3F2,C3F5,C4F0,C4F1,C4F2,C4F5,I8C3H
"Cluster_12366,contig_0 consensus mapping",546,671,467,0,851,491,408,0,468,1,2619,447,366,70,0,0,370,318,0,0,467,0,0,0,461,41,50,51,520,95,76,26,594,74,0,0,607,236,273,81,0
"Cluster_15268,contig_0 consensus mapping",554,707,402,0,415,833,590,0,568,0,0,0,355,39,0,0,408,167,1606,4,416,0,0,0,469,30,42,51,593,66,150,12,648,170,0,0,638,216,850,61,0
"Cluster_11745,contig_0 consensus mapping",600,778,1014,0,416,700,195,0,617,378,0,0,389,45,0,0,355,179,0,0,456,457,0,0,431,66,37,12,531,1118,375,145,749,170,0,0,663,153,52,4,0
"Cluster_2333,contig_0 consensus mapping",522,655,545,0,512,806,769,0,499,0,0,0,353,12,6973,16525,370,248,0,0,415,0,0,0,415,29,161,77,520,625,222,68,654,198,15,0,575,285,26,70,1
"Cluster_10399,contig_0 consensus mapping",610,722,661,0,53,161,550,0,510,1,0,0,368,337,1332,2159,372,132,0,0,462,0,0,0,484,469,1064,749,577,2508,307,199,667,208,0,0,646,286,31,0,3443
"Cluster_6022,contig_0 consensus mapping",555,751,684,0,726,595,356,0,523,1275,0,0,368,0,0,0,358,1116,1,0,425,538,0,0,466,110,65,12,583,371,157,11,661,139,1,0,587,419,18,0,0
"Cluster_4706,contig_0 consensus mapping",625,862,595,0,712,239,574,0,550,0,0,1,469,71,0,0,479,250,4,0,543,121,0,0,538,385,950,441,697,523,95,210,807,174,88,0,768,88,6,0,0
"Cluster_10943,contig_0 consensus mapping",677,880,693,0,507,595,435,0,738,206,0,0,451,82,0,0,508,1229,0,1,557,0,0,0,580,44,122,40,659,377,309,88,815,57,0,0,757,217,85,0,6372
"Cluster_7691,contig_0 consensus mapping",663,888,934,20000,734,550,558,0,650,329,0,0,449,58,0,0,451,241,0,0,559,0,0,0,520,57,16,6,602,306,295,249,786,333,282,6,693,158,16,1,1
"Cluster_8381,contig_0 consensus mapping",658,791,930,0,235,275,310,0,628,0,0,0,416,22,0,0,395,72,3848,59,446,0,0,0,515,55,318,325,575,378,75,29,671,324,4,0,674,275,1,0,1
"Cluster_6126,contig_0 consensus mapping",514,713,333,0,403,110,422,0,414,1492,17,1,385,0,0,0,381,0,0,0,427,64,0,0,452,355,499,198,556,1319,638,229,659,342,0,0,611,207,24,0,0
"Cluster_358,contig_0 consensus mapping",580,722,512,0,584,641,311,0,609,0,1,0,383,91,0,0,356,359,0,0,413,0,0,0,491,68,23,22,540,327,50,15,630,79,0,0,569,192,1,0,2989
"Cluster_6337,contig_0 consensus mapping",530,680,262,0,217,444,648,0,451,1174,3,0,252,0,0,0,340,0,0,0,426,0,0,0,369,151,434,319,507,20,141,8,533,738,2,0,536,168,166,19,1
"Cluster_3560,contig_0 consensus mapping",494,587,363,0,236,667,496,0,425,0,0,0,307,0,0,0,265,0,0,0,329,0,0,0,389,16,29,14,439,772,403,547,518,61,0,0,524,135,83,0,2864
"Cluster_11394,contig_0 consensus mapping",762,963,1003,0,655,249,407,0,694,393,0,0,527,80,1395,772,475,956,0,1,599,0,0,0,588,12,81,5,700,405,470,239,815,150,0,0,789,194,14,0,1
"Cluster_11415,contig_0 consensus mapping",807,927,645,0,639,1115,392,0,731,515,581,292,517,308,1277,7,497,126,0,0,603,0,0,0,603,20,259,60,700,174,263,117,840,68,0,0,773,161,48,0,0
"Cluster_271,contig_0 consensus mapping",851,1063,738,0,801,261,473,0,667,0,0,0,405,0,0,0,483,99,0,0,556,54,0,0,578,167,457,278,716,432,225,49,830,255,90,338,758,256,92,1,0
"Cluster_15406,contig_0 consensus mapping",606,682,373,0,325,1292,356,0,552,0,3,0,420,25,0,0,358,427,0,0,457,52,0,0,470,165,656,445,570,502,675,322,646,137,269,289,614,161,7,0,0
"Cluster_9100,contig_0 consensus mapping",640,787,336,0,444,359,391,0,496,0,0,0,397,11,0,0,397,164,196,13,448,0,0,0,479,460,1341,1233,557,633,349,92,659,111,488,43,632,120,7,1,0
"Cluster_11214,contig_0 consensus mapping",540,681,903,0,223,77,414,0,398,1,0,0,330,2,0,0,312,0,6,0,403,88,0,0,432,21,79,110,524,833,274,341,577,499,161,2,583,126,13,0,0
"Cluster_10286,contig_0 consensus mapping",551,683,643,0,326,1261,374,0,499,0,0,0,359,0,0,0,365,0,1,0,433,109,0,0,457,49,0,0,571,326,218,102,642,107,0,0,552,201,9,0,0
"Cluster_13450,contig_0 consensus mapping",479,651,981,0,159,1365,341,0,465,0,0,0,313,2,0,0,300,1837,0,0,390,115,0,0,404,95,467,762,482,331,788,188,590,115,9,0,550,176,43,0,2540
"Cluster_3458,contig_0 consensus mapping",438,579,442,0,602,471,385,0,393,0,0,0,274,0,0,0,296,912,0,0,334,0,0,0,341,56,223,84,403,215,194,27,502,131,0,0,454,205,207,0,0
"Cluster_7325,contig_0 consensus mapping",606,709,410,0,546,204,224,0,472,0,0,0,376,4,0,0,408,255,0,0,414,0,0,0,474,19,56,15,547,697,182,37,645,70,0,0,590,170,19,5,1
"Cluster_2992,contig_0 consensus mapping",511,677,624,0,242,493,541,0,524,0,19,0,386,64,2829,348,349,147,0,0,432,383,0,0,402,186,1148,295,528,859,1099,201,624,106,0,0,585,243,148,7,0
"Cluster_4188,contig_0 consensus mapping",434,553,481,0,61,114,186,0,412,0,0,0,365,14,347,15,302,1,1584,7,373,0,0,0,359,36,170,134,459,540,160,46,486,65,0,0,521,222,31,0,0
"Cluster_5608,contig_0 consensus mapping",428,572,693,0,387,148,350,0,404,645,10,0,295,0,0,0,287,8,20142,286,326,220,0,0,341,58,65,69,410,1255,301,329,524,156,1,0,480,362,97,0,0
"Cluster_95,contig_0 consensus mapping",537,683,595,0,525,151,394,0,470,1280,1762,724,354,13,0,0,329,49,0,0,388,39,0,0,415,25,46,15,507,114,259,83,587,156,470,385,557,112,8,0,0
"Cluster_127,contig_0 consensus mapping",468,660,516,0,429,136,348,0,433,1259,1785,717,356,13,0,0,287,44,0,0,416,50,0,0,415,15,36,22,445,118,237,74,575,149,529,342,527,105,14,0,2
"Cluster_4121,contig_0 consensus mapping",348,498,365,0,155,234,114,0,364,0,0,0,256,0,0,0,284,146,0,0,307,0,0,0,348,23,53,39,407,376,347,242,451,158,0,0,423,182,36,3,0
"Cluster_9973,contig_0 consensus mapping",467,511,383,0,436,13,16,0,415,0,1,0,276,22,0,0,303,350,0,0,328,0,0,0,367,421,250,39,424,1240,529,443,520,177,1,0,484,182,45,2,0
"Cluster_14993,contig_0 consensus mapping",492,624,277,0,376,357,68,0,458,664,0,1,329,7,0,0,320,794,0,0,370,35,0,0,375,34,668,186,437,773,84,70,537,92,55,11,522,148,0,1,1
"Cluster_15531,contig_0 consensus mapping",437,607,846,0,345,335,194,0,365,752,0,0,291,26,0,0,312,619,0,3,355,11,0,0,407,447,2446,465,459,142,200,129,600,76,0,0,533,123,121,19,0
"Cluster_11084,contig_0 consensus mapping",385,477,679,0,749,397,253,0,393,0,0,0,277,35,2831,11,257,1,319,80,296,510,0,0,351,51,61,252,393,301,354,220,494,138,3,0,420,266,513,195,1
"Cluster_6715,contig_0 consensus mapping",521,699,1030,0,543,1248,350,0,432,0,0,0,354,12637,1101,2545,356,933,0,0,416,54,0,0,427,20,419,384,496,875,94,53,595,233,4,0,567,86,48,0,0
"Cluster_1256,contig_0 consensus mapping",367,523,572,0,609,316,212,0,385,0,0,0,257,0,0,0,242,0,0,0,314,89,0,0,314,301,331,19,388,5,85,27,443,71,0,0,381,12606,7410,2608,0
"Cluster_7481,contig_0 consensus mapping",443,571,578,0,332,285,183,0,499,0,0,0,263,0,0,0,287,1130,1172,6772,338,0,0,0,384,74,324,396,422,633,195,33,532,1912,3,0,495,301,2,0,5150
"Cluster_8352,contig_0 consensus mapping",388,452,270,0,556,204,363,0,411,0,0,0,231,7,0,0,228,265,28,0,263,0,0,0,292,69,0,0,384,393,473,200,448,269,296,8,414,93,29,0,0
"Cluster_2208,contig_0 consensus mapping",380,569,447,0,441,294,175,0,299,306,1,0,270,26,985,131,239,86,0,0,316,87,0,0,341,81,67,74,362,16,24,0,454,60,0,0,458,2590,216,27,0
"Cluster_64,contig_0 consensus mapping",275,292,131,0,105,67,229,0,216,0,0,0,177,1,0,0,158,509,1643,520,166,0,0,0,200,39,23,3,231,307,101,203,264,38,0,0,250,129,79,7,1425
"Cluster_135,contig_0 consensus mapping",246,354,134,0,119,81,239,0,202,0,0,0,156,0,0,0,150,533,1730,500,215,0,0,0,244,28,21,8,234,295,86,175,302,42,0,0,298,144,72,8,1609
"Cluster_621,contig_0 consensus mapping",385,421,374,0,143,147,340,0,225,0,0,0,168,0,0,0,174,87,0,0,197,172,0,0,240,5,27,0,282,47,5,0,309,51,0,0,328,103,49,0,0
"Cluster_9660,contig_0 consensus mapping",226,290,160,0,210,567,99,0,212,0,0,0,140,0,0,0,183,572,0,0,204,0,0,0,179,74,36,7,244,53,34,45,249,52,0,0,250,139,6,0,1
"Cluster_4887,contig_0 consensus mapping",221,274,191,0,119,203,118,0,176,0,0,0,168,0,0,0,127,245,0,0,137,0,0,0,150,13,0,0,199,352,523,158,253,26,0,0,236,136,14,2,1
"Cluster_9082,contig_0 consensus mapping",228,332,366,0,351,0,75,0,272,0,0,0,179,2,0,0,173,0,0,0,190,0,0,0,248,37,60,17,257,147,172,58,324,52,0,0,322,250,160,23,0
"Cluster_1413,contig_0 consensus mapping",265,375,337,0,282,235,214,0,252,0,0,0,189,11,0,0,243,0,0,0,217,0,0,0,246,76,187,235,318,581,224,209,337,993,1,0,327,94,45,0,0
"Cluster_3930,contig_0 consensus mapping",185,278,373,0,197,572,119,0,143,0,0,0,133,42,0,0,115,0,0,0,166,0,0,0,160,14,11,0,207,114,21,12,213,21,0,0,229,114,434,8,0
"Cluster_13715,contig_0 consensus mapping",198,247,230,0,320,0,55,0,234,0,0,0,92,0,0,0,139,0,0,0,142,0,0,0,159,32,0,0,191,55,156,36,239,34,0,0,187,87,51,0,0
"Cluster_6872,contig_0 consensus mapping",212,310,314,0,246,307,0,0,211,0,0,0,154,40,0,0,141,0,0,0,182,0,0,0,188,631,4462,928,208,30,21,16,283,92,0,0,252,112,41,0,2094
"Cluster_3482,contig_0 consensus mapping",176,214,158,0,138,0,208,0,169,0,0,0,111,0,0,0,109,212,0,0,129,0,0,0,156,1398,1733,588,161,862,22,2,203,10,0,0,196,57,6,0,0
"Cluster_1818,contig_0 consensus mapping",121,159,141,0,0,0,82,0,143,0,0,0,116,0,0,0,77,0,0,0,91,0,0,0,114,56,9,19,140,37,14,3,153,52,0,0,128,297,45,491,0
"Cluster_550,contig_0 consensus mapping",145,169,328,0,104,0,106,0,119,0,0,0,82,0,0,0,77,0,0,0,97,357,0,0,93,13,0,0,129,97,54,37,144,37,0,0,141,38,0,0,0
"Cluster_14594,contig_0 consensus mapping",94,129,267,0,105,130,0,0,96,0,0,0,60,0,0,0,72,0,0,0,93,0,0,0,87,16,0,0,93,15,338,73,123,22,0,0,100,30,6,0,0
"Cluster_10169,contig_0 consensus mapping",141,163,222,0,87,87,0,0,90,0,0,0,81,0,0,0,87,0,0,0,110,0,0,0,101,10,0,0,161,74,1,8,173,19,0,0,175,48,12,0,0
"Cluster_8859,contig_0 consensus mapping",155,202,95,0,297,216,0,0,135,0,0,0,87,0,0,0,93,0,0,0,104,0,0,0,108,3,0,0,141,148,168,150,190,37,0,0,156,61,8,0,0
"Cluster_8840,contig_0 consensus mapping",174,258,241,0,127,139,97,0,159,0,0,0,116,0,0,0,118,544,0,0,152,0,0,0,149,7,1,0,166,93,55,46,237,60,0,0,186,107,7,0,0
"Cluster_7743,contig_0 consensus mapping",71,84,153,0,53,347,15,0,67,0,0,1,42,0,0,0,48,0,0,0,47,0,0,0,63,118,322,193,66,196,123,79,103,38,0,0,101,15,9,0,0
"Cluster_9679,contig_0 consensus mapping",125,147,31,0,0,0,17,0,99,427,1095,22887,67,0,0,0,66,0,0,0,58,0,0,0,91,28,0,0,88,100,32,42,124,50,0,0,111,22,1,0,0
"Cluster_566,contig_0 consensus mapping",42,56,167,0,0,217,0,0,34,0,0,0,16,0,0,0,17,0,0,0,29,0,0,0,23,0,0,0,37,0,0,0,40,13,0,0,36,8,27,0,0
"Cluster_10565,contig_0 consensus mapping",94,102,91,0,150,0,0,0,91,0,0,0,42,0,0,0,50,0,0,0,36,0,0,0,51,19,0,0,88,3,1,0,81,73,1,116,69,52,13,21,0
"Cluster_1157,contig_0 consensus mapping",67,84,39,0,0,0,1,0,80,0,19,0,39,0,0,0,38,0,0,0,65,0,0,0,68,4,1,4,73,1,0,0,85,12,0,0,73,23,0,0,0
"Cluster_8925,contig_0 consensus mapping",75,79,188,0,185,0,0,0,71,0,0,0,46,0,0,0,60,0,0,0,42,0,0,0,58,4,0,0,66,1,3,3,77,8,0,0,84,46,0,0,0
"Cluster_153,contig_0 consensus mapping",63,68,85,0,71,0,0,0,63,0,0,0,34,0,0,0,43,5,10023,3577,59,0,0,3,56,4,21,0,70,1,0,0,75,23,0,0,64,16,0,0,0
