barcode,in0a,in0a_v2,in0a_v3,in0a_v4,in0a_v5,in0a_v6,in0a_v7,in0a_v8,L7167,L7168,L7169,L7170,L7176,L7177,L7178,L7179,L7180,L7181,L7182,L7183,L7184,L7189,L7190,L7191,L7192,L7193,L7194,L7195,L7196,L7197,L7198,L7199,L7200,L7402,L7404,L7405,L7406,L7407,L7408,L7410,L7411,L7412,L7413,L7414,L7417,S7167,S7168,S7169,S7170,S7176,S7177,S7178,S7179,S7180,S7181,S7182,S7183,S7184,S7189,S7190,S7191,S7192,S7193,S7194,S7195,S7196,S7197,S7198,S7199,S7200,S7401,S7402,S7403,S7404,S7405,S7406,S7407,S7408,S7409,S7410,S7411,S7412,S7413,S7414,S7415,S7416,S7417,S7418,L7028,L7032,L7034,L7037,S7028,S7029,S7030,S7031,S7032,S7033,S7035,S7036,S7037,U7027,U7028,U7029,U7030,U7031,U7032,U7033,U7034,U7035,U7036,L7039,L7040,L7041,L7042,L7043,L7045,L7046,L7048,S7039,S7040,S7041,S7042,S7043,S7045,S7046,S7047,S7048,U7039,U7040,U7041,U7042,U7043,U7045,U7046,U7047,U7048,L1,L10,L11,L12,L13,L14,L2,L3,L4,L5,L6,L7,L7094,L7095,L7096,L7097,L7098,L7099,L7100,L9,S1,S10,S11,S12,S13,S14,S2,S3,S4,S5,S6,S7,S7094,S7095,S7096,S7097,S7098,S7099,S7100,S9,U1,U10,U11,U12,U13,U14,U2,U3,U4,U5,U6,U7,U7094,U7095,U7096,U7097,U7098,U7099,U7100,U9
"Cluster_27662,contig_0 consensus mapping",866,885,866,885,1569,1366,1042,1406,0,1,2,0,1770,0,4,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,3002,0,0,2,0,0,0,1,1287,0,1,0,0,1,0,0,1,2130,0,0,0,5,3,0,0,0,0,0,0,0,3496,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,15,0,0,0,1,1,0,0,20545,0,0,0,0,0,0,0,28,2,2,7,12,0,620,4,825,2,12,5,41,1255,1584,1,695,3599,3874,2,1,7,20,15,20,1721,5,15,3805,1,4,8,1744,2882,22,0,3,1505,4,5,4,1,1899,84,3288,1202,1263,7,4128,236,41,154,1559,4350,18,2,9000,3203,1820,227,5
"Cluster_1845,contig_0 consensus mapping",487,497,487,497,803,670,503,719,0,2,0,0,0,0,4,2,0,0,0,1942,0,1,0,0,0,2,4,0,0,2,4,1,0,0,1,0,0,1,1,0,0,3,1,0,0,0,2,0,674,0,0,0,0,0,0,0,1501,0,0,0,0,1,0,0,1,4980,1677,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,20,0,0,0,37501,14,0,0,0,0,0,0,13,8107,0,0,0,0,0,0,17,5229,0,0,0,0,0,0,1,2,2,789,263,876,1763,2,53,1,464,727,279,1,51,2,2,1,1,2735,55434,781,891,794,2,581,2,1,2,4,152,927,2,1,2,540,572,3,0,371,2,20,1187,704,1297,500,1147,0,43,39,868,2715,2,1,49,33,48,0,111
"Cluster_28746,contig_0 consensus mapping",537,547,537,547,882,766,551,850,0,1,151200,0,45,2,0,0,0,0,1,0,0,0,0,0,73,2,0,68,1,0,3,0,1,0,1,0,0,0,1,45,1,0,1,1,0,1,0,4,3,43,0,0,1,0,0,0,0,0,46,0,2,3137,0,0,8,0,2901,1436,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,29,15,1,86,14,14,2,2401,548,2335,19,227,1088,1,0,1,14,18,7,1806,1,1,1,3,0,0,0,8,3,235,0,0,530,5,25911,52,1,2,3,1497,1181,538,789,4,2265,250,1351,364,11,13,23,10985,19,41,1,230
"Cluster_22459,contig_0 consensus mapping",459,434,459,434,824,603,491,688,1141,2,0,1,0,0,0,0,0,0,0,1281,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,3,206,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,8408,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,3306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,5,3,11,0,420,1,5702,1,13,1,57,742,211,2,53,212,2913,0,1,1260,16,3,5,958,7,4,1368,551,5,3,13,1857,873,1,9,307,8,3,0,2717,4,19,1039,209,1116,1,959,1,400,313,1656,2215,1816,403,9087,1405,3,223,583
"Cluster_12519,contig_0 consensus mapping",378,397,378,397,658,497,369,509,0,0,2,0,2,1,3,0,0,0,0,0,0,0,0,0,5,1,9,1,1,4,0,0,1,4,2,0,0,1,0,1,2,4,0,0,0,0,0,4,0,2,2,7,0,0,0,0,0,0,1,0,0,2953,0,0,2,6562,628,1929,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,4816,0,0,0,0,2,0,1,0,3,1,3,0,0,0,0,0,1,1,4,0,2,0,0,0,6,1,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3773,0,0,0,0,19,0,0,3,0,0,1,2,12,8,6,137,1498,1745,2,25,2,1,506,534,1,15,2,1,0,1,311,53,177,7,1074,3,307,640,2,0,14,840,563,462,5,1,498,3,5,5,3,998,68,149,430,917,6620,1557,2,2578,15,0,249,1382,1480,6608,727,744,589,203
"Cluster_11244,contig_0 consensus mapping",308,273,308,273,417,374,279,409,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,16136,4894,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,5,0,0,2,12,0,1453,0,8,1,1,660,76,1,105,565,556,0,0,1832,9,1,1,176,17,2,593,0,8122,2,380,1,309,1,16,264,3,3,2,1174,2,11,373,539,723,0,2,248,411,1,0,441,6,864,4030,176,38,3,235
"Cluster_30336,contig_0 consensus mapping",350,383,350,383,595,463,369,537,3813,0,0,4,0,0,0,0,0,2,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,177,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,1,3,0,0,0,0,0,0,2,2,2,0,0,0,0,7,0,0,0,0,0,0,0,4395,0,0,0,0,0,0,0,2,0,0,0,0,0,11,7,5,3,7559,611,8,640,3,56789,11511,27,910,2,6,251,498,1,1,0,95,201,18,662,322,24,9,1,0,12172,6,9,2091,1009,2,17,4488,2,4,9,2527,290,30,2708,919,1065,4,886,10,52959,119,263,342,13,3,3926,5,67,23,202
"Cluster_299,contig_0 consensus mapping",291,285,291,285,469,377,344,385,0,0,3,0,2529,1,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1517,1,0,1,0,0,0,0,0,0,65,1,1,0,0,1942,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,21,0,0,9,0,0,0,0,8,0,0,5728,0,0,0,0,26,0,0,8,0,0,0,0,16620,0,0,10,8,95,3550,838,1147,35668,33,9,96,1634,221,96,45,205,1,21,20,5,11,6,586,726,1,5,423,30630,2,4276,1794,16343,106,18,1,82,883,52,117,0,0,17,58,206,163,1994,4,43727,1174,698,238,2465,90,66,3520,3,50,19,447
"Cluster_23556,contig_0 consensus mapping",310,285,310,285,555,418,288,439,0,0,0,0,0,29574,1,0,0,0,0,0,0,0,0,2,0,0,0,0,48,0,0,0,64,0,0,0,0,0,0,0,35,0,0,0,0,0,0,53,0,0,46872,63,0,1,0,0,5,0,0,0,0,613,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1013,43,0,539,9,2,1,93,347,1,1,14,60,32,1,0,518,8,4,4,678,1,120,374,1,0,0,554,167,85,2,1,193,1,2,10,34,114,9,99,17,121,799,607,3944,928,936,414,125,760,807,2204,393,1925,360,73
"Cluster_11,contig_0 consensus mapping",302,284,302,284,543,420,335,436,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,2865,0,0,5,2,0,0,0,4,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1806,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,17899,486,80,1,102,2,1,4,32,88,840,5,159,723,3,4,1,743,11,6,910,184,1,3695,1,1,1,0,17,346,1,0,0,193,154,5,4,511,101,24,377,694,967,4,1422,1265,1222,103,820,520,9,1469,2020,818,1403,80,54
"Cluster_24688,contig_0 consensus mapping",299,359,299,359,566,393,330,471,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1121,0,913,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,1,1,119,892,60,3,234,0,7,3,0,107,6,1,116,649,5,0,1,847,3,3,514,177,0,2,1,2,0,2,5,297,204,0,1,1,400,0,0,63,0,40,470,0,1980,1,1777,0,83,424,1503,1409,22,24,293,855,588,1,306
"Cluster_15966,contig_0 consensus mapping",274,280,274,280,401,344,258,386,0,1,5,0,566,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1881,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7223,0,0,0,0,5,0,0,2,0,0,0,0,21,0,0,4,0,0,0,0,10896,0,4,2,1,9,1,1649,0,86,0,1,1,18,371,203,0,172,762,0,2,0,3,126,614,1,745,0,2,0,2,2,1,2411,1,44,2,1,455,1108,0,0,1862,206,7,1025,324,493,0,503,286,12,51,0,304,0,6,18,59,218,0,0
"Cluster_3326,contig_0 consensus mapping",275,290,275,290,407,371,274,381,0,5,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,2022,0,0,2491,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,3679,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,6,1,4,0,2,0,0,554,153,0,4,1,1,1,1,4386,10,6,6,3,0,1,1258,1,0,2,3451,4,1,1,0,289,5,0,0,0,1,59,4,0,100,1,2,3,129,1,1,1,1688,0,386,2089,0,2,1192
"Cluster_16254,contig_0 consensus mapping",252,254,252,254,451,390,291,416,0,3,0,0,0,0,0,0,0,0,5,0,15910,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,1,1,0,9643,0,0,0,0,0,0,3,0,14,0,0,4,7,0,3,2,8,0,0,4,3,0,1,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,731,0,477,0,0,1,0,347,6,0,348,1730,0,4125,4,2,5,2,0,221,0,4,2,3,2,0,1760,4,467,4,0,305,988,0,0,0,167,25,1336,1,1063,1,1303,0,11,26,0,0,4,0,6,0,0,193,0
"Cluster_4758,contig_0 consensus mapping",271,281,271,281,464,379,255,403,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,956,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1079,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,23,4,9867,0,1744,6,324,1557,477,444,426,1,631,2832,6,1,0,816,42,6,4,93,766,5,1,1,0,1,759,401,170,0,2,712,435,4,6,0,104,1,371,4,9400,252,860,325,610,443,1089,371,438,2841,2021,842,771,121,160
"Cluster_15718,contig_0 consensus mapping",372,381,372,381,584,478,333,511,956,0,2,0,2,4,2,0,0,0,0,0,0,0,0,0,1,0,5,3,10,3,0,0,10,3,0,0,0,1,0,3,4,5,0,0,1,0,0,5,0,9,4,0,0,0,0,0,0,0,2,0,1,5,0,0,13116,5891,0,3207,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,4970,2,3278,2,96,2,3,1,103,366,276,2,24,98,1,0,0,1424,6,1,2376,357,3,2,2,0,0,9616,1064,685,1,1,3,537,367,0,1,14,1311,12,204,6,119,58,2,1779,224,0,36,467,3,1,6,5,2,0,228
"Cluster_23001,contig_0 consensus mapping",204,235,204,235,408,283,232,374,0,3,0,0,0,2,0,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1433,0,0,0,0,0,0,0,0,0,0,0,0,2189,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7696,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,10,1,0,0,0,0,0,0,6474,0,0,0,0,0,0,0,4100,0,0,0,0,0,0,0,10,0,0,0,0,0,7,4,3,2,1,66,0,620,5,3,0,83,509,215,3,37,170,1567,0,2,1506,9,2,4,587,6,1,4,1,2,4,431,357,4,2,4,315,353,3,4,7,2605,10,550,152,110,1470,4,2638,1468,485,655,494,3,3,276,1090,623,0,329
"Cluster_24842,contig_0 consensus mapping",274,281,274,281,435,347,258,386,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,37,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,291,2384,0,0,0,0,0,0,0,0,3889,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3790,0,956,0,1,8,4,10006,2,100,2,8,0,2,218,341,5,32,118,163,0,1,725,21,1,334,2,0,0,0,0,2,0,5,1,323,0,2,231,1087,1,2,639,0,3,1114,220,1444,990,385,4,135,538,709,207,509,2201,3023,0,1079,93,24
"Cluster_12947,contig_0 consensus mapping",223,267,223,267,409,321,265,333,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3142,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,224,680,0,0,0,3,0,0,0,1,20428,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,38,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,99,1195,23,610,1,2,900,4805,149,244,783,3,2710,4,376,1,0,536,10,3,388,325,3,5,1,1,1,3,676,57,4,0,1,635,1880,3,6,1805,2,53,7,1040,99,65,679,1,110,441,811,205,21,1,2309,6,0,1348,2
"Cluster_23167,contig_0 consensus mapping",236,263,236,263,389,275,243,351,0,1,1,0,0,6,61,0,0,0,0,1,0,12184,0,0,2,0,10,6,5021,22268,16,0,5,4,0,0,0,0,8,2,3,4,0,0,0,0,4,4,0,1268,4,4,0,0,0,0,437,3,1,0,0,1941,0,0,7,526,216,1,0,11,0,0,0,64,0,0,0,0,0,4,2,76485,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,6068,0,0,0,0,1,0,0,4,0,0,1,0,4,0,0,0,0,0,0,2,3,0,0,0,1614,0,0,2533,0,0,0,0,3,0,0,0,1823,0,392,0,209,10,633,1167,1,1167,1,3,1,158,422,304,0,253,1184,871,0,1,606,60,249,4,357,2,1,4,0,3,3201,339,90,248,0,3,249,2500,0,0,477,1102,8,610,1,258,0,345,0,155,821,256,23,1060,0,654,457,301,11,67
"Cluster_28020,contig_0 consensus mapping",275,273,275,273,411,345,224,322,0,0,0,0,0,0,0,0,0,0,1,4628,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,505,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,84947,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,22,1,1,3,8,0,1305,0,223,2,4,2,228,228,229,3,213,1070,717,0,0,1664,10,2,386,187,3,0,420,0,0,0,581,6393,299,0,1,3016,613,1,1,1076,1,9,681,247,958,3,27,83,3,4,3,379,488,848,1083,510,126,0,49
"Cluster_5502,contig_0 consensus mapping",232,258,232,258,406,285,247,295,3,3,2,3477,1,474,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,2,1410,0,0,519,2,1,73,0,0,2,0,0,0,1,2,2,1,0,0,0,115,0,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2912,0,2,3,1,8,3,1242,3,699,2,34,2,112,612,230,3,22,91,1645,1320,0,287,3948,1,427,76,4,2,0,1,1,0,125,304,234,0,1,155,365,3,8,723,260,25,330,227,295,688,1406,1203,1462,336,690,222,645,869,351,280,294,179,88
"Cluster_16192,contig_0 consensus mapping",251,298,251,298,428,308,235,347,0,1,5,0,2,0,0,4,0,0,0,0,1,0,0,0,5,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,0,2,0,0,0,1,0,0,1345,3078,731,0,0,0,0,0,1,0,0,0,0,0,0,0,0,768,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,8,1535,286,1,398,3,1,3,40,811,2213,2,4,2,636,1,0,1062,6,4,1365,500,5,1,362,2,3,4,8,1373,252,1,2,57,294,0,1,1445,2354,6,1058,5,927,146,0,2554,66,359,1001,2615,3,1,247,6,833,1,38
"Cluster_5036,contig_0 consensus mapping",262,254,262,254,384,290,191,320,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,2,0,1,0,128,0,0,2,0,0,0,1,1,0,2,2,0,0,0,523,650,2,0,0,2,1,0,0,0,0,488,0,0,0,0,1222,1,0,1,893,0,0,0,0,47244,0,0,0,2,18174,0,2,27,0,0,0,0,17,0,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,1987,0,0,1512,7,0,891,0,0,0,0,3,4432,0,2,0,0,88,0,1,2,139,155,1,526,0,2,2,198,670,210,0,101,524,1,1,1,1897,7,1,0,320,1,38,232,0,1,2,76,703,0,0,0,1037,316,3,1,25,1,8,104,61,205,354,362,453,90,489,598,173,1,0,308,23,5,37,42
"Cluster_231,contig_0 consensus mapping",241,235,241,235,388,300,222,321,5,0,0,15601,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,0,4,0,1,0,0,7,10,3263,0,1,3,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,49,6124,1,87,43,6,3,42,136,278,52,12,0,0,1,2,473,10,2,0,628,1,0,0,1,0,1,2,585,1,3,0,117,2,50464,95,1,0,2,2,276,1184,0,91,53,1629,484,0,180,100,886,11,1,0,969,15
"Cluster_2436,contig_0 consensus mapping",225,238,225,238,455,345,243,363,2834,0,3,4,1059,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1741,0,194,0,0,0,0,93,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6215,0,0,0,0,0,0,0,3,0,0,0,0,0,0,43,0,0,4,0,0,0,0,16,0,0,1,0,2,2,2,83413,2,3,5,0,0,0,0,2,0,0,3,0,0,0,1,5526,0,4061,3352,0,0,0,0,5,0,4,6,0,0,6,4,0,8,0,191,406,9,0,607,2,563,411,4468,3,212,1077,1,0,1,6306,24,2,2,447,10,2,0,1,2,5,1870,835,4,2,5,4,467,0,2,3689,820,19,11,311,264,968,1398,1,32,57,533,302,761,545,2421,0,56,484,435
"Cluster_16158,contig_0 consensus mapping",222,225,222,225,400,340,217,383,1,0,0,1,0,0,2,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,1312,1,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2992,0,0,0,0,0,4,0,0,0,0,2429,710,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,5,0,0,6630,0,0,0,0,3364,0,0,11,0,0,0,7975,5,4059,50,1,6,0,241,0,585,0,440,563,13,0,113,545,4,1,0,736,6,3,324,460,16,682,902,0,8,4,16,2,5,2,10,433,1569,0,0,1024,166,19,486,8,147,2,4782,0,25,105,1211,580,7214,0,541,3,316,179,1
"Cluster_7575,contig_0 consensus mapping",238,240,238,240,391,312,213,324,0,0,0,0,0,2,9,1,0,0,1,0,1,0,0,0,0,0,6,2,0,23851,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,1,0,2,84,0,1,6,0,0,0,0,0,0,0,0,0,2681,0,1,3,8,665,0,0,20,0,0,6208,0,0,0,4776,0,0,0,8,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,4,13,0,0,0,0,0,0,2684,7956,0,0,0,0,0,0,1,0,6663,77,726,64,4,6,0,1077,154,44,4,103,475,3,3,0,896,14,3,2,4,1,966,2,0,0,2,7,329,150,1,3,90,2,1,7,915,0,2,1249,204,107,3,212,7,3485,0,1293,94,8,8,143,686,529,842,1
"Cluster_1369,contig_0 consensus mapping",242,249,242,249,377,277,193,323,0,1,5,0,1,1,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1038,0,0,308,1160,457,151,0,0,0,3,0,0,2,0,0,0,0,0,0,2,468,963,0,0,0,0,2,0,0,2,0,0,0,0,2417,0,0,2350,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,2591,8,0,1186,0,0,0,0,0,5716,0,2,0,0,171,1,0,3,4,360,0,101,0,2,1,348,108,42,0,77,338,2,0,1,838,7,3,1,124,1,249,3,0,0,0,1521,454,347,0,6,139,1130,2,7,1041,1,6,432,241,1192,21,248,492,75,321,0,160,575,2491,83,277,57,0,196
"Cluster_10058,contig_0 consensus mapping",183,197,183,197,321,274,187,293,27551,1,0,17,0,0,0,0,0,18,1,0,0,1,0,0,0,2,1,0,2,5,1,0,0,2,0,0,12,1,0,0,0,3,0,0,14,1,0,0,0,0,0,0,0,0,4,0,0,0,1,14,19,0,0,0,0,2869,0,0,0,1,0,0,0,1,0,0,14420,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,65,0,0,0,0,0,0,0,37495,1,2,1,0,1,0,0,0,5,0,0,0,10980,0,0,0,1,1,1228,0,0,0,0,0,0,0,0,0,1,2000,0,20,0,1,0,0,25,0,1,1,0,1,11,0,0,0,0,0,14,0,0,80,1159,0,0,75,404,2,5,0,0,0,0,0,0,0
