barcode,in0a,in0a_v2,in0a_v3,in0a_v4,in0a_v5,in0a_v6,in0a_v7,in0a_v8,L7167,L7168,L7169,L7170,L7176,L7177,L7178,L7179,L7180,L7181,L7182,L7183,L7184,L7189,L7190,L7191,L7192,L7193,L7194,L7195,L7196,L7197,L7198,L7199,L7200,L7402,L7404,L7405,L7406,L7407,L7408,L7410,L7411,L7412,L7413,L7414,L7417,S7167,S7168,S7169,S7170,S7176,S7177,S7178,S7179,S7180,S7181,S7182,S7183,S7184,S7189,S7190,S7191,S7192,S7193,S7194,S7195,S7196,S7197,S7198,S7199,S7200,S7401,S7402,S7403,S7404,S7405,S7406,S7407,S7408,S7409,S7410,S7411,S7412,S7413,S7414,S7415,S7416,S7417,S7418,L7028,L7032,L7034,L7037,S7028,S7029,S7030,S7031,S7032,S7033,S7035,S7036,S7037,U7027,U7028,U7029,U7030,U7031,U7032,U7033,U7034,U7035,U7036,L7039,L7040,L7041,L7042,L7043,L7045,L7046,L7048,S7039,S7040,S7041,S7042,S7043,S7045,S7046,S7047,S7048,U7039,U7040,U7041,U7042,U7043,U7045,U7046,U7047,U7048,L1,L10,L11,L12,L13,L14,L2,L3,L4,L5,L6,L7,L7094,L7095,L7096,L7097,L7098,L7099,L7100,L9,S1,S10,S11,S12,S13,S14,S2,S3,S4,S5,S6,S7,S7094,S7095,S7096,S7097,S7098,S7099,S7100,S9,U1,U10,U11,U12,U13,U14,U2,U3,U4,U5,U6,U7,U7094,U7095,U7096,U7097,U7098,U7099,U7100,U9
"Cluster_9673,contig_0 consensus mapping",63,58,63,58,71,70,54,66,915,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,678,0,305,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,157,30,0,0,0,146,748,30,97,69,0,6,8,0,0,0,243,1,0,0,0,1,0,0,0,1,0,130,150,1,0,1,155,0,0,0,1,47,5,0,53,21,321,38,0,3,0,155,1,1,0,812,1,1,0,74
"Cluster_33148,contig_0 consensus mapping",44,62,44,62,87,80,48,88,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,789,0,291,744,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,781,379,1,0,0,0,0,2714,0,0,1,0,0,0,0,5,0,416,356,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,3,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,7299,0,0,0,0,0,0,0,13,0,0,1,4,417,2182,0,420,0,1,0,11,367,19,1,8,53,0,0,0,1,1,0,2,87,0,0,547,0,0,1,272,0,180,0,0,310,172,0,0,0,0,0,273,91,17,0,250,0,3,21,0,0,3,21,73,172,2,0,0
"Cluster_972,contig_0 consensus mapping",74,61,74,61,85,81,60,72,0,1,15547,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,1,0,0,0,0,0,0,1,0,4,0,1,0,0,0,522,0,0,4,4,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,507,0,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,6,38,0,309,4,0,2,45,152,1,5,350,1824,188,0,0,324,3,3,8,365,0,200,4354,0,0,0,0,189,104,0,0,1,0,5,8352,1,0,2,59,22,23,0,185,6,0,0,206,239,33,607,535,1,1,0,19
"Cluster_19918,contig_0 consensus mapping",63,75,63,75,117,102,70,105,10,0,5,11,0,1,0,0,8,7,0,0,0,0,12,30671,0,0,0,0,2,0,1673,4,0,0,1,6,6,0,1,0,0,0,0,12,5,0,0,0,3,0,0,0,0,7,5,0,747,1,0,13,24334,704,6,1,3,0,219,0,13,0,0,21500,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,1,2,255,0,185,37,1,1,0,14,341,130,0,26,130,0,0,0,125,0,0,0,138,0,587,1,0,1,0,210,0,89,0,0,194,369,0,1,0,0,12,472,148,61,282,23,0,1,2,0,71,386,704,2,3,0,0,1
"Cluster_24492,contig_0 consensus mapping",41,43,41,43,71,74,45,69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,385,649,1,0,0,0,0,1,0,0,2327,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9502,0,1,0,0,0,242,0,0,0,2,4,0,0,0,1,1,0,0,0,4,1,145,0,12,0,0,0,7,0,483,0,0,0,12,0,0,0,0,10,5,1,0,0,21,0,0,0,48,231,207,159,3,0,1481,16,0,0,73
"Cluster_12479,contig_0 consensus mapping",47,52,47,52,85,66,48,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,151,0,0,0,40,54,0,0,0,0,0,0,0,0,0,0,252,203,3,0,0,0,2,0,0,0,24,0,1,0,0,0,0,0,1396,1,0,17,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_23528,contig_0 consensus mapping",54,54,54,54,95,79,42,92,0,2,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2543,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,1412,0,0,3,0,0,0,2199,0,0,1,208,0,0,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,90,0,937,0,0,0,0,0,851,0,2,0,0,0,0,0,1,0,0,60,1,439,0,0,3,150,40,46,0,63,252,0,3,0,1315,4,2,0,223,0,361,0,1,0,2302,365,277,0,1,0,61,49,0,0,0,7,0,51,8,22,1,1,0,2,1,0,120,0,0,0,0,62,0,36
"Cluster_372,contig_0 consensus mapping",49,61,49,61,80,66,55,80,1,0,0,0,0,0,0,0,0,3196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3446,0,0,0,1,0,0,0,2,0,0,0,378,0,0,0,1,0,1,0,3,0,3,0,27,0,3,0,4,39,51,0,19,106,1,0,0,300,72,332,47,39,0,285,121,0,0,0,388,1,0,0,0,0,2,0,0,221,0,0,365,19,181,135,67,0,825,0,115,247,450,0,42,212,78,15,85
"Cluster_15689,contig_0 consensus mapping",54,58,54,58,80,72,49,71,181,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,2731,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,1,0,0,0,0,11740,0,1,0,0,0,1,0,13,0,869,0,0,0,0,0,1,0,0,1,4,0,0,23,4,0,0,0,27,2,89,22,110,0,0,0,132,1,0,1,114,0,0,0,0,0,1,413,1,0,0,1,26,229,4,4789,0,0,27,1,173,17,0,19,4,5,16,317,0,512,3,0,0,105,0,0
"Cluster_744,contig_0 consensus mapping",55,67,55,67,123,71,74,94,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2,5,0,0,6,0,1,0,4,1,0,0,0,0,0,0,4,0,0,0,0,0,0,191,0,0,2,1846,0,0,0,1165,1,0,0,0,0,0,1,0,704,1,0,1,12940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,415,42,0,2,1,1988,10838,17,51,59,0,139,760,0,2267,2,526,5,15,1,80,1,1,180,0,1,1,2,161,114,4,0,81,26,0,0,875,1,1,245,67,22,652,0,0,29,175,308,104,2,0,1155,9,164,0,26
