,TotalReads,Number.of.barcodes,Ns_MinCutoff,Nb,Ns,AverageFrequency,CFU,Log10Ns,Log10CFU,CFU.Ns,Ns_calibrated
A1F01,95800,6,6,6.88733817,6,6.844919616,6866666667,0.77815125,9.836745966,1144444445,6
A1F05,98169,83,7,7.181169943,84,7535.998486,2.60E+09,1.924279286,9.414973348,30952380.95,75.55091283
A1F10,212177,6,6,6.834736666,6,6.980432546,4.20E+09,0.77815125,9.62324929,7.00E+08,6
A1F20,150661,14,9,2.265571587,14,60.91266144,3057142.857,1.146128036,6.485315733,218367.3469,11.14363327
A2F01,201269,1,1,2.436351373,1,1,4585714286,0,9.661406992,4585714286,1
A2F05,140374,103,2,2.45707223,104,22305.1488,4.59E+09,2.017033339,9.661812686,44134615.38,94.35968336
A2F10,90096,16,2,2.483010612,16,509.0596837,686666666.7,1.204119983,8.836745966,42916666.67,12.87718352
A2F20,385543,9,4,4.661129793,9,66.39338067,1300000,0.954242509,6.113943352,144444.4444,7
A3F01,137760,16,13,14.8022664,16,28.04974674,3362857143,1.204119983,9.526708419,210178571.4,12.87718352
A3F05,352534,16,14,14.9508729,16,30.08486775,4844444444,1.204119983,9.68524398,302777777.8,12.87718352
A3F10,33159,16,14.72222222,14.90060677,16.83333333,27.32755631,2.60E+09,1.226170123,9.414973348,154455445.5,13.6044235
A3F20,726321,10,7,10.46218584,10,28.19451102,1528571.429,1,6.184285738,152857.1429,7.738229614
A4F01,186500,1,1,5.045579038,1,1,3.15E+09,0,9.498310554,3.15E+09,1
A4F05,214077,67,3,5.325079868,67.47368421,3815.841765,7.80E+09,1.829134424,9.892094603,115600624,60.04868605
A4F10,80893,1,1,5.123171879,1,1,1.05E+10,0,10.0211893,1.05E+10,1
A4F20,513366,10,8,14.4480896,10,22.20637047,10200000,1,7.008600172,1020000,7.738229614
B1F01,144373,2938,1926.888889,425.6724943,3088.470588,8950.783063,3.57E+09,3.48974347,9.552668216,1155911.931,2877.594928
B1F05,169790,1515,1246,13.83167518,1556.444444,3883.224304,1716666667,3.192133624,9.234685974,1102941.177,1443.57565
B1F10,34927,1047,755.1666667,235.0041951,1077.777778,2406.423704,2.06E+09,3.032529225,9.31386722,1911340.206,1002.326932
B1F20,529563,50,8,2.957469577,50,7951.563617,3433333.333,1.698970004,6.53571597,68666.66666,43.75081475
B2F01,240383,963,328,126.6182954,980,10757.77071,2403333333,2.991226076,9.38081401,2452380.952,911.943249
B2F05,341481,392,304,109.314356,396,783.714433,5.10E+09,2.597695186,9.707570176,12878787.88,368.7683528
B2F10,49778,307,302,118.0342442,313,497.8220057,6.30E+09,2.495544338,9.799340549,20127795.53,290.9811851
B2F20,324534,31,4,4.236574782,31,2641.956116,686666666.7,1.491361694,8.836745966,22150537.64,26.27068615
B3F01,247970,2280,1501.777778,337.1405857,2369.944444,6104.768806,5.40E+09,3.374738166,9.73239376,2278534.424,2198.184002
B3F05,136174,1812,1222.388889,50.6800449,1871,5524.000196,3.36E+09,3.272073788,9.526339277,1795831.106,1734.062477
B3F10,267211,1294,1065.263158,250.2210904,1318,2763.830196,1373333333,3.11991541,9.137775961,1041982.802,1223.858952
B4F01,429441,888,330,71.19826739,901,8137.225566,4036363636,2.954724791,9.605990285,4479870.85,838.8042102
B4F05,86141,187,165,12.16300822,189,385.6734122,1.82E+09,2.276461804,9.260071388,9629629.63,174.4170521
B4F10,147447,179,149.7368421,51.91673155,181,337.7548329,8.67E+09,2.257678575,9.938019097,47900552.49,166.8838841
B4F20,182765,93,4,1.166955083,94,7319.579498,353333333.3,1.973127854,8.548184611,3758865.248,84.95098973
C1F01,112003,16314,13323.15385,5581.361867,22819.81818,26965.5995,7.07E+09,4.35831218,9.849419414,309818.4194,32557.54269
C1F05,114675,12629,10070,133.2159339,16134.8,32875.80832,5.10E+09,4.207763586,9.707570176,316086.9673,19737.07107
C1F10,202527,6806,3750.764706,199.9361851,7602.866667,32415.68635,2.10E+09,3.880977374,9.322219295,276211.6044,7623.155836
C1F20,125591,534,104,22.98405457,540,10647.88715,34333333.33,2.73239376,7.53571597,63580.24691,503.3097101
C2F01,142984,36752,47438,26588.1997,96649,51688.30019,7.70E+09,4.985197365,9.886490725,79669.73274,535786.6098
C2F05,100623,10604,13217.54545,2056.341247,13215.81818,18473.39554,6114285714,4.121094055,9.786345729,462649.049,15083.06875
C2F10,51327,4003,3555.941176,1001.912371,4427.0625,7148.291053,5.40E+08,3.646115653,8.73239376,121977.0446,4190.107624
C2F20,162616,223,27,11.58049662,225.6842105,12690.97349,1.30E+09,2.353501176,9.113943352,5760261.194,208.9432325
C3F01,99661,25753,27366,14239.36049,48742.16667,36541.92301,9.45E+09,4.68790483,9.975431809,193877.3068,115931.3695
C3F05,87397,14922,11179.46154,652.4000499,20714,32474.96039,5.30E+09,4.316263972,9.72427587,255865.5981,28182.22999
C3F10,143113,4728,3759,839.3598419,5127,11090.51279,3.78E+09,3.709863317,9.5774918,737273.2592,4905.198043
C3F20,240194,378,33,7.179132533,382,23720.73504,1.04E+08,2.582063363,8.017033339,272251.3089,355.6604751
C4F01,147541,21646,20878.33333,11333.51651,33530.625,32803.54309,1766666667,4.525441649,9.247154615,52688.15201,60025.72677
C4F05,87998,8451,5892.666667,857.2785764,10027.84615,20961.194,3.51E+09,4.001207662,9.545307116,350025.3141,10613.59131
C4F10,102223,5190,4119.117647,973.5387683,5724,11742.71211,4.12E+09,3.757699625,9.614897216,719776.3802,5532.54467
C4F20,697681,12,12,63.15822547,12,47.51879485,152857142.9,1.079181246,8.184285738,12738095.24,9.429303311
D1F01,213737,48956,90019,48103.27385,226194,68791.43574,5.30E+09,5.354481081,9.72427587,23431.21391,2851661.945
D1F05,182375,24510,20021.28571,1587.558323,39827.875,62229.87683,7066666667,4.600187135,9.849214606,177430.1709,80605.02846
D1F10,88692,2930,2228.611111,540.1381584,3099.833333,7335.22147,1222857143,3.491338344,9.087375725,394491.2553,2888.465014
D1F20,395178,39,20,2.985182754,39,206.624246,53000,1.591064607,4.72427587,1358.974359,33.58561238
D2F01,205758,46683,79612,40134.92525,182986,66311.73699,1.06E+10,5.262417864,10.02530587,57927.92891,2851661.945
D2F05,115737,14587,10517.15385,658.9923244,19465,43171.49586,2.08E+09,4.289254408,9.318063335,106858.4639,25735.89478
D2F10,235040,2349,1376,207.7577454,2439.555556,9903.446611,4.20E+08,3.387310713,8.62324929,172162.5068,2263.370734
D2F20,459436,177,100,9.337074747,178.75,832.8265824,2403333.333,2.25224605,6.38081401,13445.22144,164.7650203
D3F01,152691,41877,58329.66667,37353.99272,140800,57689.71383,3633333333,5.148602655,9.560305243,25804.92424,2851661.945
D3F05,217540,8952,8066.133333,767.0607233,10397.5,22988.75026,2.08E+09,4.016928929,9.318063335,200048.0885,11099.95116
D3F10,460673,3684,3191.111111,634.6204548,3886.666667,7813.728965,1528571429,3.589577296,9.184285738,393285.9594,3652.06788
D4F01,467149,59513,147796,69958.22759,582530,85490.14119,1766666667,5.765318296,9.247154615,3032.747956,2851661.945
D4F05,90012,10308,12938.33333,107.2084294,12936.75,21010.74294,3003333333,4.111825186,9.477603536,232155.1652,14666.58543
D4F10,131544,2103,1273.111111,243.4508143,2179.117647,7685.197448,1.59E+09,3.338280678,9.201397124,729653.1246,2020.059616
D4F20,348678,164,55,8.92203854,166,1937.019438,21000,2.220108088,4.322219295,126.5060241,152.7563933
E1F01,112413,37437,41637.5,31856.80792,116711,50196.75612,8477777778,5.06711179,9.928282029,72639.06382,1158160.608
E1F05,243407,11329,13676.21429,166.9705912,13674.85714,66377.95182,3776666667,4.135922798,9.577108655,276175.9503,15778.69912
E1F10,263566,1252,369,66.43372021,1276.444444,15878.19462,1.58E+10,3.106001917,10.19893187,12385967.97,1185.567881
E1F20,416825,1510,480,29.82188815,1542,19007.54441,8100000,3.188084374,6.908485019,5252.918288,1430.258355
E2F01,91781,34271,33505.85714,29593.66932,102180,44815.52642,1.09E+10,5.009365898,10.0374265,106674.496,642204.5288
E2F05,206486,41259,48100.625,102.0828427,117048,80168.99026,1.03E+10,5.068363997,10.01283722,87998.08626,1178939.024
E2F10,138359,1626,758,39.54216718,1674.888889,12566.48395,1681428571,3.223986001,9.225678423,1003904.547,1552.828156
E2F20,368196,723,65.36842105,1.820822442,729.8333333,35548.69219,1.02E+08,2.863223695,8.008600172,139757.9356,680.0047264
E3F01,63562,14522,22067,21273.27021,22064.77778,16536.39604,6.30E+09,4.343699558,9.799340549,285522.93,30952.15484
E3F05,339332,47697,73645.6,209.936684,161787,112571.0165,7066666667,5.208943622,9.849214606,43678.82875,2851661.945
E3F10,146734,1259,705.1111111,26.06735963,1286.736842,7226.072314,343333333.3,3.109489736,8.53571597,266824.8255,1195.052404
E3F20,282456,1,1,1.083526846,1,1,36333333.33,0,7.560305243,36333333.33,1
E4F01,48674,11327,16565.55556,20712.18206,16563.44444,12579.99321,3.64E+09,4.219150655,9.561101384,219761.0535,20467.52724
E4F05,144832,9809,11746.5,182.6241601,11744.91667,35627.37269,1.03E+10,4.06984994,10.01283722,876975.1453,12943.14466
E4F10,102127,1189,892,102.7207964,1216,5299.085723,4585714286,3.084933575,9.661406992,3771146.617,1129.856346
E4F20,433978,147,1,1.123249056,148.6842105,49670.5032,7.80E+08,2.172264851,8.892094603,5246017.699,136.4446231
I8,469081,115,107,59.85118821,116,128.0017966,105,2.064457989,2.021189299,0.905172414,105.6570367
