barcode,1E,1F5,1OD,1OP,1SD,1SM,1SP,2E,2F5,2OD,2OP,2SD,2SM,2SP,3E,3F5,3OD,3OP,3SD,3SM,3SP,4E,4F5,4OD,4OP,4SD,4SM,4SP,5E,5F5,5OD,5OP,5SD,5SM,5SP
"Cluster_8983,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cluster_13509,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_13207,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_12084,contig_0 consensus mapping",5321,3603,4461,2692,0,0,0,6425,1969,2235,11148,1606,1497,2241,1,3,4,10,5,0,0,10270,8978,8480,9777,4,2,0,9,104,158,16,10,65,0
"Cluster_740,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_7934,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_817,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cluster_136,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11127,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_1633,contig_0 consensus mapping",6,0,5,2,0,0,0,344,350,352,891,506,24,513,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0
"Cluster_4247,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_19,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_5750,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_2770,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_2888,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_8720,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11864,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_12828,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,2,0,0
"Cluster_13340,contig_0 consensus mapping",54,62,22,34,0,0,0,34,1747,1377,99,10016,888,1616,0,0,0,1,4,1,0,0,1,0,37,11,0,0,2,2,0,8,23,1,0
"Cluster_2829,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cluster_8692,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cluster_7,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_7778,contig_0 consensus mapping",8,3,0,6,0,0,0,2,0,0,3,4,2,0,0,0,0,1,0,0,0,2375,195,391,1917,1,0,0,0,0,1,0,0,0,0
"Cluster_11024,contig_0 consensus mapping",14304,2280,3408,2221,0,0,0,3,10,5,110,5,10,1,2,3,7,42,3,0,0,24970,17781,17746,31440,16409,11,0,3,41,2,6,1,0,0
"Cluster_3646,contig_0 consensus mapping",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_15294,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
"Cluster_172,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_6411,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11508,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_12143,contig_0 consensus mapping",631,350,456,328,0,0,0,14,0,1,12,8,11,0,1,0,4,25,1,0,0,21297,4325,5061,19160,9,2,2,0,1,0,5,0,0,0
"Cluster_8890,contig_0 consensus mapping",42,23,23,26,0,0,0,2325,3813,4021,5000,2525,564,12327,0,0,0,1,1,1,0,4,0,0,23,23,1,0,2,2,1,6,8,27,0
"Cluster_2509,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Cluster_12055,contig_0 consensus mapping",77,88,48,41,0,0,0,1360,2965,3350,3194,2713,1104,2595,0,3,0,3,0,1,0,3,0,1,71,1,1,0,4,0,0,6,3,8,0
"Cluster_10816,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_12667,contig_0 consensus mapping",17836,12571,14995,10050,0,0,0,17,10,4,173,29,127,0,3,2,4,12,6,0,0,13404,16802,11548,12841,13,20328,365,5,22,5,14,3,84,0
"Cluster_8194,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_180,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cluster_2046,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_9917,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_15822,contig_0 consensus mapping",39782,27119,31294,20678,0,0,0,10,16,8,263,16,111,1,2,9,6,9,5,0,0,3769,23303,19383,6961,3406,12,0,11,40,5,20,8,614,0
"Cluster_15887,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_9134,contig_0 consensus mapping",11,11,11,11,0,1,0,1689,2276,2829,3299,1549,523,4889,0,0,2,0,1,0,0,2,0,0,12,1,0,0,1,1,1,2,3,7,0
"Cluster_6538,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_12419,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
"Cluster_13669,contig_0 consensus mapping",0,3,3,0,0,0,0,315,37,5,564,0,0,25,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0
"Cluster_13178,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cluster_5316,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Cluster_6052,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_12771,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4973,contig_0 consensus mapping",441,318,309,272,0,0,0,10,0,0,2,11,4,0,1,0,0,8,0,0,0,6225,918,1195,5047,12,0,0,6,0,0,2,4,0,0
"Cluster_9643,contig_0 consensus mapping",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4060,contig_0 consensus mapping",96,49,75,40,1,1,0,4,1,2,5,15,0,0,13,1,1,1,14,29,0,2,1,3,28,14,1,0,26417,6516,3588,6733,2777,1195,1272
"Cluster_8222,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_9475,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_7159,contig_0 consensus mapping",80673,34412,77712,42846,5330,56182,4041,11,13,19,53,189,45381,112,108774,81110,75724,158129,170263,79750,52389,54,30,68,2556,80,89,69054,135,99,38,40,78,16,109
"Cluster_1086,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_159,contig_0 consensus mapping",11798,669,837,1768,0,1,0,3876,8212,7435,8228,11757,2314,4184,0,1,1,3,8,3,2,6,2,1,126,16,2,1,7,5,2,25,5,13,1
"Cluster_928,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11971,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Cluster_8129,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4448,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cluster_8433,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0
"Cluster_12528,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_146,contig_0 consensus mapping",1,2,0,0,0,0,0,327,21,12,968,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cluster_143,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_7581,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_1792,contig_0 consensus mapping",332,252,197,206,1,2,0,2038,11417,10953,3414,22775,5109,5761,5,0,1,4,7,4,0,9,9,2,140,18,8,0,15,29,1,16,7,19,0
"Cluster_5124,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_14111,contig_0 consensus mapping",0,1,0,0,0,0,0,224,19,5,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"Cluster_1034,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4925,contig_0 consensus mapping",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_12714,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_2073,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0
"Cluster_994,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_9214,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_8799,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_5394,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0
"Cluster_15036,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_160,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11319,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Cluster_3857,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_6511,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_3174,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_6788,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11625,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_13260,contig_0 consensus mapping",147,152,135,92,0,0,0,0,0,1,7,20,0,0,3,1,0,0,22,11,0,3,0,1,77,19,29,0,37189,6267,2435,5662,15,0,0
"Cluster_452,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4726,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Cluster_3356,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_14450,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_2433,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11369,contig_0 consensus mapping",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_6250,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_2803,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Cluster_7007,contig_0 consensus mapping",215,124,121,113,0,1,0,9,2060,1,122,1042,526,2914,0,0,0,1,0,0,0,20,0,1,56,56,13,0,2,2,0,21,28,6,0
"Cluster_1598,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4574,contig_0 consensus mapping",1,0,1,2,0,0,0,219,15,4,691,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0
"Cluster_178,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"Cluster_14852,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1
"Cluster_1969,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_14204,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4805,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_7188,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_8641,contig_0 consensus mapping",485,324,418,275,0,0,0,524,30,8,1091,9,173,0,0,1,0,4,0,0,0,3610,2297,2428,2837,4,1,0,2,1,1,0,0,0,0
"Cluster_13922,contig_0 consensus mapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
