barcode,vc1,s61_vc12,s40_vc16,s41_vc16,s1_vc07,s10_vc07,s11_vc07,s12_vc07,s13_vc07,s14_vc07,s15_vc07,s16_vc07,s17_vc07,s18_vc07,s19_vc07,s2_vc07,s20_vc07,s21_vc07,s22_vc07,s23_vc07,s24_vc07,s25_vc07,s26_vc07,s27_vc07,s28_vc07,s29_vc07,s3_vc07,s30_vc07,s31_vc07,s32_vc07,s33_vc07,s34_vc07,s35_vc07,s36_vc07,s37_vc07,s38_vc07,s39_vc07,s4_vc07,s40_vc07,s41_vc07,s42_vc07,s43_vc07,s44_vc07,s45_vc07,s5_vc07,s6_vc07,s7_vc07,s8_vc07,s9_vc07,s58_vc09,s59_vc09,s60_vc09,s56_vc09,s57_vc09,s20_vc10,s21_vc10,s22_vc10,s23_vc10,s24_vc10,s25_vc10,s26_vc10,s27_vc10,s28_vc10,s29_vc10,s30_vc10,s31_vc10,s32_vc10,s33_vc10,s34_vc10,s35_vc10,s36_vc10,s37_vc10,s38_vc10,s39_vc10,s40_vc10,s41_vc10,s42_vc10,s43_vc10,s44_vc10,s45_vc10,s46_vc10,s47_vc10,s48_vc10,s49_vc10,s50_vc10,s51_vc10,s52_vc10,s53_vc10,s54_vc10,s55_vc10,s56_vc10,s57_vc10,s58_vc10,s59_vc10,s60_vc10,s61_vc10,s62_vc10,s63_vc10,s64_vc10,s22_vc11,s23_vc11,s24_vc11,s25_vc11,s26_vc11,s27_vc11,s28_vc11,s29_vc11,s30_vc11,s31_vc11,s32_vc11,s33_vc11,s34_vc11,s35_vc11,s36_vc11,s37_vc11,s38_vc11,s39_vc11,s40_vc11,s41_vc11,s42_vc11,s43_vc11,s44_vc11,s45_vc11,s46_vc11,s47_vc11,s48_vc11,s49_vc11,s50_vc11,s51_vc11,s52_vc11,s53_vc11,s54_vc11,s55_vc11,s56_vc11,s57_vc11,s58_vc11,s59_vc11,s60_vc11,s61_vc11,s62_vc11
lm134 mapping,410,3144,1553,1695,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,1,2,1,1,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2248,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,948,0
lm135 mapping,1318,7462,3111,2183,11295,14830,0,4,70853,3,3,0,3,7,3,8,2,51,4,0,1,6,17,1,2,50,1,6519,338,2,10,13,3,1676,50,8,2,0,0,5,8,2,3,1163,37457,2,2,1,2,686,1616,4881,0,0,0,0,0,0,0,0,18,122,0,21,103,0,0,374,0,750,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,13,0,0,21,0,8,0,0,0,0,605,0,0,0,0,0,3701,0
lm136 mapping,1089,8577,2357,4115,0,0,1,3,0,0,2,0,2,1,8,1,0,0,1,1,0,2,0,0,3,0,4,352,27,0,1,0,2,4,0,2,2,1,0,1,1,1,2,0,0,3,2,1,0,1649,1500,2198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2651,0,0,0,0,0,2,10,0,0,4394,0,0,0,0,0,20,0,31,0,0,5,0,0,0,0,0,0,0,5275,0
lm137 mapping,1385,7395,108,2323,0,0,4,1,0,0,0,2,1,0,1,1,1,1,0,1,3,1,1,8,4,1143,2,367,86,235,1,0,2751,3,0,1,1,0,2,1,0,3,1,0,1,0,1,0,1,830,4128,1911,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,145,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,2,0,0,0,0,0,47247,293,0,0,0,0,0,0,0,0,0,0,417,4,0,782,0,10,0,20,0,0,274192,0,0,0,0,0,0,0,3730,0
lm138 mapping,849,4212,0,0,0,0,1,1,0,0,0,3,1,3,0,2,2,0,0,0,0,0,1,1,0,0,4,2,2,0,0,0,3,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,2101,548,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,11,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,333,0,0,20012,0,0,0,0,0,0,0,53365,0,0,0,0,0,7,0,168,0,0,0,0,0,0,0,0,0,0,2863,0
lm139 mapping,344,3125,0,2590,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,560,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,1,0,0,0,0,0,0,0,1872,0
lm140 mapping,733,5181,1303,5168,1,0,3,2,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2,3,1,0,1,0,166,3,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1561,3236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2706,0,0,0,0,0,60,0,0,0,141619,0,224173,135103,0,453149,0,0,261133,0,0,4593,0,0,35993,21,0,480393,0,0,739916,0,0,815944,0,886,0,262,0,0,0,0,0,0,0,0,107,0,470,0
lm141 mapping,1995,14566,4702,5226,0,3,0,33,1,100217,5,1,0,0,4,4,47,0,48,5,1,4,52,6,107186,0,2,7639,2772,3,6,12,8,72,0,65,2,33,3,2,2,5,59,0,0,50,4,1,3,0,0,3694,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,25,0,0,0,0,26346,0,55543,0,35673,5158,0,0,919,0,5874,0,0,234,0,0,2279,0,0,13,0,0,0,0,0,2336,0,8,0,0,0,0,26218,0,8093,1626,0,0,0,0,22399,152,2,0,0,0,863,5766,0,66464,8714,0,22,0,51,66541,28235,0,0,0,0,0,0,0,11520,10648,144
lm142 mapping,408,3346,1783,1175,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,12,0,2,1,1,1,1,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1744,3210,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,6,0,0,0,0,0,31914,0,1944,0
lm143 mapping,632,3808,15,0,1,0,0,53,0,0,1,178060,0,1,0,57,59,0,1,0,74,0,0,0,53,0,0,1,0,81,1,1,2,66,0,0,0,176850,69,0,0,2,141,0,0,0,0,67,0,0,790,0,0,5,0,0,0,0,0,14406,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,2179,0
lm144 mapping,353,2779,0,1972,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1814,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,776,943,1367,0,0,0,0,0,0,0,0,489,0,0,0,0,0,0,9,0,0,129,22,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,257,0
lm145 mapping,286,766,0,622,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,3800,1,0,0,0,1,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,3,0,2,0,1,0,0,0,0,0,0,160,0
lm146 mapping,1148,8857,3760,6248,0,1,5,4,0,1,3808,0,3,4,2,3,3,0,2,1,0,0,2,2,1,0,1,1,4,2,1,0,4,4,0,1,3,0,1,142,378,1,0,0,0,1,1,0,1,600,1855,715,205,0,0,0,0,0,0,0,0,0,0,112,0,0,0,549,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,15,0,0,0,0,0,0,0,0,0,0,2227,0
lm147 mapping,912,3978,1970,1846,0,1,2,3,0,3,1,0,0,0,1,2,2,2,1,0,2,0,1,2,4,1,2,0,0,0,1,1,4,0,0,2,0,0,1,0,1,1,3,2134,1,2,0,0,0,1427,2563,1346,65,935,0,0,0,0,0,1475,0,0,0,60,0,0,0,0,413,0,3,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,308,0,0,8,0,11,0,0,2,0,0,0,0,0,0,0,6276,0
lm148 mapping,354,1579,0,869,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,863,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1343,0,0,105,0,382,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,4018,0
lm149 mapping,273,3569,874,0,0,0,1,1,154866,0,0,1,0,0,0,1,0,75,1,1,0,0,2,1,1,123,1,2583,0,0,0,1,1,0,97,0,0,0,2,0,0,0,1,67,117,0,0,0,1,0,903,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,5667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,327,0
lm150 mapping,1282,9694,3046,1834,2,1,3,1,0,1,1,0,1,4,2,6,2,0,1,2,1,2,5007,3,2020,0,2,569,1318,7,2,2,2,7,0,0,0,1,2,1,4,1,4,0,0,1,0,0,0,855,2274,326,165,0,0,0,0,0,0,34,0,0,0,0,0,0,0,78,0,0,22,12,105,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,7,0,11,0,0,0,0,29860,0,0,83893,0,0,0,0,0,0,0,2314,0,0,0,0,0,0,12,0,12,245,0,6,0,0,0,0,0,0,0,3367,0
lm151 mapping,533,1881,688,824,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,2,1,0,0,0,1,0,1,4,441,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,319,1342,0,0,0,0,0,0,0,0,0,0,0,94,10,0,0,0,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0,84,0,153234,0,2782,0,279162,0,0,0,12,2407,0
lm152 mapping,1235,5242,1324,0,2,16,2,10,10,0,3,0,4,29,1,30,20,25,0,4,0,3,45,1,17,23,0,0,14,0,2,56,1,24,39779,0,1,14,633,5183,83140,1,37146,3717,24,0,0,2,0,594,893,1478,0,0,0,0,10,27,0,0,0,15986,56,0,0,0,0,4144,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,17,0,12,0,0,30,1,0,0,0,0,0,0,21234,0
lm153 mapping,1308,5203,2726,2767,2,2,14,1,5,0,0,2,7,1,21,1,0,5,0,1,3,9116,3,38204,0,2697,19,146,3,2330,47,2,514,1,3,0,0,2,2,1,3,18,1,1178,10,0,1,2,3,1902,937,1449,0,11638,1231,0,0,8326,0,0,0,0,0,0,0,0,0,1235,470,0,0,1493,47,0,0,0,0,0,0,0,7084,0,0,0,0,22070,0,0,0,0,0,47286,0,0,29673,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1197,0,0,0,0,0,0,0,0,1,0,0,8,0,3,0,0,0,0,0,0,0,0,54289,0,4635,0
lm154 mapping,651,5092,3363,2441,0,0,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,2,0,2,0,0,3,0,0,3,2,0,0,1,1,4308,0,0,1,1,0,702,1630,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2436,0,0,0,0,0,0,19,0,17,0,0,0,0,0,0,0,0,0,0,3192,0
lm155 mapping,1087,5707,2526,4765,1,2,1,3,1,0,0,1,1,0,1,0,2,5,1,0,0,1,3,1,2,3,2,0,1,2,0,1,2,1,10,1,0,6,0,0,0,1,3,4,7,1,0,1,0,2402,1868,70,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,165,0,0,10,89,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,155,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,13,82514,0,0,0,0,0,0,0,57,0,2057,0
lm156 mapping,1188,8082,1034,3821,0,0,1,2,0,0,1,1,1,0,2,0,1,0,0,0,0,0,2,1,3,0,3,0,2,1,1,2,1,2,0,0,1,0,1,0,0,2,0,0,0,0,0,1,1,1564,3481,2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,106,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,1344,0,0,0,0,0,920718,0,0,0,0,0,3083,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,7438,0
lm157 mapping,1051,4658,0,312,0,10,0,1,6,11,3,1,2,7,2,10,2,2,11,4,6,4,11806,0,2422,7,2,25655,9238,1,0,11163,3,2,6,10,2,3,2,0,9,3,4,11112,0,10,5,0,0,0,0,4421,0,0,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0,0,9,80,153,0,0,1,0,0,0,0,0,0,0,0,0,0,287,0,0,0,6,0,0,0,0,6,0,0,0,0,2,0,1,0,0,0,0,0,200,0,0,0,0,0,0,0,1,0,0,0,187,54,0,0,0,7,0,9,0,0,6,0,0,0,0,0,0,0,3436,0
lm158 mapping,1755,11802,2025,10579,5,3,9,2,3,0,2,9,1,2,36,2,2,1,1,3,12,3662,1,6670,3,7947,6,0,4,23702,630,2,2742,4,2,2,2,1,16,5,1,7,3,2,4,0,3,6,0,1832,3985,1727,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,604,0,0,4,0,152,0,0,0,0,0,0,0,0,0,0,1523,0,0,0,0,0,6,0,0,0,0,0,263,0,0,0,0,4,0,0,0,0,0,0,0,19104,0,0,15684,0,0,0,0,0,0,0,0,85,0,0,0,0,25,0,55,0,0,0,0,0,0,0,0,0,0,5961,0
lm159 mapping,575,2543,523,1241,0,0,0,1,3,0,3,0,0,0,1,0,1,5,0,0,1,0,1,3,1,6,1,0,3,2,0,0,1,1,0,0,1,1,1,0,0,1,0,7392,2,0,1,2,0,971,0,2907,1144,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16507,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,10,0,0,7,0,0,0,0,0,0,0,5773,0
lm160 mapping,941,8389,464,357,2,0,0,2,0,0,2,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,2,2,0,0,1,2,0,1,0,1,2,0,0,0,0,0,0,2419,0,1085,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,103,0,0,0,0,0,11,26,0,0,68,0,0,0,0,0,0,0,129490,0,0,2658,0,0,4,1,0,0,0,1625,241,0,0,0,0,4,0,25,0,0,0,0,0,0,0,0,0,0,1656,0
lm161 mapping,76,738,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,483,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,447,0
lm162 mapping,106,1005,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1111,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,19,0,416,0,0,0,0,0,8997,0,135452,0,0,1071,356
lm163 mapping,578,1757,817,449,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,14,13,0,1,0,1,122,0,0,0,0,0,0,0,0,1,1990,1,0,0,0,0,0,1439,420,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,438,0,1056,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,1591,9
lm164 mapping,96,931,0,851,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,1,0,0
lm165 mapping,346,1986,309,836,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,3,0,0,0,94,0,1,1230,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,938,765,1410,0,0,0,0,99,0,0,0,0,0,32,0,0,0,0,267,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,5,0,0,0,0,0,0,0,1431,0
lm166 mapping,641,3775,231,1002,0,1,0,2,0,0,3,1,3,0,0,0,0,0,0,3,0,868,0,0,0,7,2,244,3,116,0,1,1,0,0,0,6,1,3,3,0,0,1,0,0,0,3,1,1,542,924,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,360,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1747,0,0,0,15703,0,160018,0,0,0,0,6180,327,0,0,235224,0,0,0,0,70,0,0,0,0,0,21,0,0,38,0,1715,0
lm167 mapping,393,2388,0,0,0,0,0,1,12,0,0,0,0,1,2,3,1,9,0,0,0,0,1,0,0,11,0,0,0,1,0,4,1,0,10,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,794,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8752,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0
lm168 mapping,915,4125,0,1666,0,0,2,1,0,1,3,1,0,0,1,2,0,0,0,0,0,0,1,1,3,0,2,274,390,0,0,13,2,234,0,1,0,0,1,0,0,3,2,0,0,1,1,0,2,1718,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,15,0,51,0,1170,0,294542,0,3728,0,0,0,0,3026,0
lm169 mapping,327,1415,1092,298,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,3685,0
lm170 mapping,681,4275,1286,975,0,1,0,2,0,0,3,0,0,0,1,0,0,0,0,1,2,0,1,2,0,3,2,0,0,366,1,0,2007,1,0,0,0,1,2,0,1,2,0,0,0,0,1,1,0,588,601,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4364,783,0,0,0,0,5,0,20,0,0,0,0,0,0,0,0,0,0,4943,0
lm171 mapping,640,2447,967,517,0,0,2,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,2,0,2,1091,22,1,1,1,4,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,658,78,0,0,22,0,0,0,0,0,5092,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7287,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,12,0,0,1,1,0,0,0,0,0,0,1793,0
lm172 mapping,480,2440,332,4318,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,1,1,1,2,0,2,0,1,0,1,2,1,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1034,0,1695,266,0,0,0,0,56,0,0,0,0,0,0,0,0,20205,0,0,0,0,7832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,14,0,0,0,0,791,0
lm173 mapping,1093,3281,1669,0,1,0,2,3,0,0,1,0,0,0,2,0,3,2,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,2,6287,1,0,0,0,0,844,0,1478,33,0,0,0,0,0,0,0,0,0,58,0,0,0,0,558,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,4,0,0,0,0,0,0,0,0,2727,0,2678,0
lm174 mapping,858,4192,79,4464,0,0,1,13,0,0,2,1,1,1,0,1,22,3,0,1,3,1,16,1098,38053,1099,0,71,3122,3540,0,0,437,31,0,0,1,15,1,0,1,7,15,0,0,0,1,1,1,26,2009,0,1133,0,0,0,0,0,0,0,0,0,8,0,0,0,0,82,0,0,0,0,3256,0,0,0,0,0,0,0,0,0,0,0,2391,0,0,0,0,0,10,0,0,0,0,0,59,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,7,0,0,2,0,0,0,0,0,0,0,3545,0
lm175 mapping,651,3760,0,3528,0,7,1,0,0,3,2,1,0,0,2,9,2,0,11,1,0,0,15,4,0,0,0,15526,345,2,0,27077,0,0,0,9,2,0,1,0,6,1,0,0,0,1,0,1,0,0,790,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,115,0,0,0,0,0,0,0,0,406,0,195,0,0,923,0,0,0,0,0,0,0,0,5,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4255,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,17,0,0,5,0,0,0,0,0,0,0,3457,0
lm176 mapping,79,1186,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,68,0
lm177 mapping,1480,7692,1863,2880,1,0,3,1,1,0,0,0,0,0,2,0,2,1,0,0,0,1,1,4,5,1,1,0,46,1,0,2,3,3,0,0,0,3,0,0,2,0,0,4112,2,0,0,2,0,2646,5169,0,0,0,0,0,0,0,0,0,0,614,179,0,0,0,0,0,1082,0,0,0,74,0,0,0,0,0,0,0,0,0,0,1489,0,0,0,0,0,0,0,0,0,0,0,1142,0,2,18,0,8,0,4,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,4,0,0,13,0,9,0,0,0,0,0,0,0,0,0,0,2096,0
