barcode,vc1,s61_vc12,s40_vc16,s41_vc16,s1_vc07,s10_vc07,s11_vc07,s12_vc07,s13_vc07,s14_vc07,s15_vc07,s16_vc07,s17_vc07,s18_vc07,s19_vc07,s2_vc07,s20_vc07,s21_vc07,s22_vc07,s23_vc07,s24_vc07,s25_vc07,s26_vc07,s27_vc07,s28_vc07,s29_vc07,s3_vc07,s30_vc07,s31_vc07,s32_vc07,s33_vc07,s34_vc07,s35_vc07,s36_vc07,s37_vc07,s38_vc07,s39_vc07,s4_vc07,s40_vc07,s41_vc07,s42_vc07,s43_vc07,s44_vc07,s45_vc07,s5_vc07,s6_vc07,s7_vc07,s8_vc07,s9_vc07,s58_vc09,s59_vc09,s60_vc09,s56_vc09,s57_vc09,s20_vc10,s21_vc10,s22_vc10,s23_vc10,s24_vc10,s25_vc10,s26_vc10,s27_vc10,s28_vc10,s29_vc10,s30_vc10,s31_vc10,s32_vc10,s33_vc10,s34_vc10,s35_vc10,s36_vc10,s37_vc10,s38_vc10,s39_vc10,s40_vc10,s41_vc10,s42_vc10,s43_vc10,s44_vc10,s45_vc10,s46_vc10,s47_vc10,s48_vc10,s49_vc10,s50_vc10,s51_vc10,s52_vc10,s53_vc10,s54_vc10,s55_vc10,s56_vc10,s57_vc10,s58_vc10,s59_vc10,s60_vc10,s61_vc10,s62_vc10,s63_vc10,s64_vc10,s22_vc11,s23_vc11,s24_vc11,s25_vc11,s26_vc11,s27_vc11,s28_vc11,s29_vc11,s30_vc11,s31_vc11,s32_vc11,s33_vc11,s34_vc11,s35_vc11,s36_vc11,s37_vc11,s38_vc11,s39_vc11,s40_vc11,s41_vc11,s42_vc11,s43_vc11,s44_vc11,s45_vc11,s46_vc11,s47_vc11,s48_vc11,s49_vc11,s50_vc11,s51_vc11,s52_vc11,s53_vc11,s54_vc11,s55_vc11,s56_vc11,s57_vc11,s58_vc11,s59_vc11,s60_vc11,s61_vc11,s62_vc11
lm114 mapping,847,4681,0,0,0,0,1,1,0,0,1,1,0,0,2,2,1,4,1,3,1,0,0,0,0,5,2,0,69,0,0,2,6,1,2,0,3,1,0,1,1,0,0,8635,5,0,1,0,0,0,0,2911,0,3,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,24,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,5468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,0,0,0,0,1288,0,0,0,0,0,2752,0
lm115 mapping,686,5336,633,876,0,2,0,2,0,0,0,1,0,0,2,0,1,0,0,3,1,0,1,2,2,0,2,0,3,1,0,4,6,2,0,0,0,0,3,0,2,2,0,0,0,0,0,2,0,2607,3048,1101,0,0,0,0,4,0,0,0,0,0,451,0,0,0,0,0,0,0,7,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625010,0,362050,0,0,0,0,40694,0,0,0,550,0,9595,0,0,708,0,0,1588,0,0,1902,0,0,0,626,0,7,0,0,0,0,0,0,0,0,0,0,2637,0
lm116 mapping,1709,10324,1384,10660,2,2,3,5,1,1,7,3,1,1,4,1,14,0,5,4,1,3,6,1,14,4,4,8349,1063,1,2,21,5,14487,0,3,5,15,3,4,4,2,15585,3528,2,3,3,0,0,744,2556,2252,66,0,0,0,7,0,0,0,0,0,42,0,0,0,0,1060,0,0,4,0,130,0,0,0,0,0,0,0,0,0,0,138,0,0,111,0,0,25,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,665,0,0,618,0,0,1366,2,0,0,0,0,45,6,0,34,0,11,0,13,0,0,2,0,0,0,0,0,0,0,8703,0
lm117 mapping,744,6369,1630,5529,1,3,1,1,0,0,0,0,0,1,4,1,1,0,4,0,0,2,0,4,1,0,1,3292,109,0,2,3,2,2,0,4,2,0,2,0,1,2,1,0,0,2,0,1,1,4348,2179,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,1292,0,0,0,0,7148,0,0,57,0,0,6,0,0,8,0,0,5,0,0,22,0,4,0,0,0,0,0,0,0,0,0,0,1523,0,0,0,0,0,0,0,0,804,0,0,0,0,12,0,16,0,0,0,0,0,0,0,0,0,0,2525,0
lm118 mapping,528,4288,667,122,0,0,0,0,0,3,0,1,0,1,1,0,4,0,5,0,0,1,0,2,3,0,1,9246,76,0,60,0,1058,4,0,5,0,1,0,0,0,2,1,0,0,0,0,0,0,1276,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,31,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5893,0,0,0,0,0,5,0,11,0,0,4,1,0,4,0,0,0,0,2181,0
lm119 mapping,1311,7459,1894,4055,1,3,9,2,7,0,1,2,0,1,30,1,2,8,0,1,1,4,3,2753,0,335,7,325,172,2232,1739,1,33424,261,9,1,1,2,2,0,0,10,6,6,9,0,3,1,4,603,1124,3505,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,2427,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1196,0,0,0,0,2,0,0,0,0,0,59,0,0,14,0,18,0,0,0,0,0,0,0,0,0,0,6864,0
lm120 mapping,749,4753,1141,2079,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,85,0,0,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2,0,9,0,0,2,0,0,0,0,0,0,0,8412,0
lm121 mapping,738,5268,612,2389,2,1,0,1,0,0,0,0,0,0,2,2,2,0,1,1,1,1,0,4,1,0,3,1,0,0,2,1,1,200,0,1,2,0,2,1,0,5,0,0,0,0,0,1,2,0,693,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,565,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37900,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,61,0,20,50630,0,0,0,0,0,0,0,13281,0,4422,0
lm122 mapping,331,2706,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,0,0,0,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,7128,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,8,0,0,2,1,0,0,0,0,0,0,1977,0
lm123 mapping,494,2352,1129,972,3,134,2,1,0,79,1,0,0,111,2,548691,3,0,69,0,0,1,180,4,3,0,2,88,0,0,0,189,3,2,0,80,1,2,1,0,353,1,0,0,1,240287,2,1,0,11,587,0,0,0,0,0,9795,0,0,0,0,0,415,0,0,24987,0,183,0,0,33241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,3,0,5,0,0,2,0,0,0,0,0,0,0,2529,0
