barcode,I1,I2,I3,1F0,1F3,1F4,1F5,2F0,2F1,2F2,2F3,2F4,2F5,3F0,3F1,3F2,3F3,3F4,3F5,4F0,4F1,4F2,4F3,4F4,4F5,5F0,5F1,5F2,5F3,5F4,5F5,C8
"Cluster_14323,contig_0 consensus mapping",887,1096,846,1077,0,2,0,787,166,0,0,0,0,1375,0,0,0,0,0,1583,14,0,0,0,0,1503,2,0,0,0,0,0
"Cluster_2585,contig_0 consensus mapping",534,673,459,608,0,0,0,444,169,0,0,0,0,667,2,0,0,0,0,832,0,0,0,1,0,935,1,0,0,0,1,0
"Cluster_8580,contig_0 consensus mapping",944,1020,914,909,2,5,16,759,173,332,2171,4998,1853,1382,9,0,0,5,0,1598,0,0,1,2,11,1581,0,0,0,0,7,1
"Cluster_6975,contig_0 consensus mapping",833,969,769,1089,2,0,0,742,276,0,0,0,0,981,0,1,0,0,0,1556,3,1,0,0,0,1432,7,0,0,0,0,0
"Cluster_2678,contig_0 consensus mapping",589,740,621,647,0,0,0,464,160,0,0,0,0,960,0,1,0,0,0,838,0,0,0,0,0,1177,4,0,0,1,0,0
"Cluster_10227,contig_0 consensus mapping",377,402,416,449,25263,1349,1890,345,111,1,2,1,11,533,41,0,2,6,5,717,5387,12962,21962,21967,17815,669,7,6,5,3,15,1
"Cluster_15751,contig_0 consensus mapping",490,692,472,620,0,0,0,554,96,0,0,0,0,600,0,0,0,0,0,853,0,0,0,0,0,949,2,0,0,0,0,1
"Cluster_5642,contig_0 consensus mapping",872,1102,946,1084,0,1,0,597,138,0,0,0,0,3600,0,0,0,0,0,1434,16,0,0,0,0,1419,0,0,0,0,2,0
"Cluster_6296,contig_0 consensus mapping",728,800,695,847,0,0,0,649,238,26,0,0,0,1110,0,0,0,0,0,1089,0,0,0,0,0,1249,5,0,0,0,0,0
"Cluster_8983,contig_0 consensus mapping",517,622,520,707,0,0,0,485,115,0,0,0,0,716,0,0,0,0,0,935,0,0,0,0,0,912,3,0,0,0,0,0
"Cluster_13509,contig_0 consensus mapping",731,745,624,724,0,0,0,594,100,0,0,0,0,651,0,2,0,0,0,1267,0,0,0,0,0,1454,9,0,0,0,0,0
"Cluster_13207,contig_0 consensus mapping",546,646,569,639,0,0,0,535,54,0,0,0,0,802,0,0,0,0,0,992,0,0,0,0,0,1124,0,0,0,0,0,0
"Cluster_12084,contig_0 consensus mapping",561,619,508,744,10343,8947,3603,530,18856,23056,10252,5953,1969,687,76,12,0,4,3,900,6037,4969,7717,9467,8978,1027,18,15,3,420,104,0
"Cluster_740,contig_0 consensus mapping",530,658,484,575,0,0,0,454,189,0,0,0,0,760,0,0,0,0,0,800,0,0,0,0,0,989,13,0,0,0,0,0
"Cluster_7934,contig_0 consensus mapping",645,705,616,705,1,0,0,600,159,1,0,0,0,711,0,0,0,0,0,1037,0,0,0,0,0,1096,1,1,0,0,0,0
"Cluster_817,contig_0 consensus mapping",637,704,548,640,0,1,0,475,48,0,0,0,0,913,0,0,0,0,0,1036,0,0,0,0,0,947,0,0,0,0,1,0
"Cluster_136,contig_0 consensus mapping",1282,1379,987,1180,1,0,0,903,103,0,0,0,0,1452,0,0,0,0,0,1800,0,0,0,0,0,2090,0,0,0,0,0,0
"Cluster_11127,contig_0 consensus mapping",514,626,540,579,0,0,0,504,76,0,0,0,0,742,0,0,0,0,0,893,0,0,0,0,0,919,0,0,0,0,0,0
"Cluster_1633,contig_0 consensus mapping",178,229,165,195,0,272,0,123,117,388,378,668,350,288,2,0,0,1,0,280,4,0,0,0,0,338,0,0,0,0,0,0
"Cluster_4247,contig_0 consensus mapping",951,1004,846,1075,0,0,0,807,254,0,0,0,0,1580,5,0,0,0,0,1659,0,1,0,0,0,1544,0,0,0,0,0,0
"Cluster_19,contig_0 consensus mapping",689,684,641,803,0,0,0,577,106,0,0,0,0,773,5,0,0,0,0,966,0,0,0,0,0,1247,9,0,0,0,0,0
"Cluster_5750,contig_0 consensus mapping",623,705,607,545,0,0,0,530,58,0,0,0,0,803,0,0,0,0,0,906,0,0,0,0,0,894,0,0,0,0,0,0
"Cluster_2770,contig_0 consensus mapping",683,684,612,635,0,0,0,493,186,0,0,0,0,678,0,0,0,0,0,1035,5,0,0,0,0,1000,0,0,0,0,0,0
"Cluster_2888,contig_0 consensus mapping",825,954,843,1087,0,0,0,619,211,0,0,0,0,1216,0,0,0,0,0,1321,27,0,0,0,0,1270,1,0,0,0,0,0
"Cluster_8720,contig_0 consensus mapping",308,367,336,364,0,0,0,270,76,0,0,0,0,384,0,0,0,0,0,444,0,0,0,0,0,551,0,0,0,0,0,0
"Cluster_11864,contig_0 consensus mapping",555,575,527,637,0,0,0,441,117,0,0,0,0,798,0,0,0,0,0,729,0,0,0,0,0,934,8,0,0,0,0,0
"Cluster_12828,contig_0 consensus mapping",688,756,546,846,1,0,0,600,280,0,0,0,0,870,0,0,0,0,0,1095,0,0,0,0,0,1135,0,0,0,0,0,1
"Cluster_13340,contig_0 consensus mapping",375,417,328,379,0,1,62,261,47,33,1466,2806,1747,441,3,0,0,3,0,624,0,0,1,0,1,685,1,0,0,0,2,0
"Cluster_2829,contig_0 consensus mapping",347,339,307,341,0,0,0,216,127,0,0,0,0,490,0,0,0,0,0,459,0,0,0,0,0,506,0,0,0,0,0,0
"Cluster_8692,contig_0 consensus mapping",744,877,766,860,0,0,0,644,142,0,0,0,0,891,0,0,0,0,0,1235,0,0,0,0,0,1298,25,0,0,0,0,0
"Cluster_7,contig_0 consensus mapping",645,754,579,759,0,0,0,560,157,0,0,0,0,874,0,0,0,0,0,1091,0,0,0,0,5,1099,12,0,0,0,0,0
"Cluster_7778,contig_0 consensus mapping",663,685,590,644,1344,630,3,499,80,0,1,1,0,831,16,0,0,2,0,924,1645,6017,3140,377,195,1032,2,5,1,0,0,0
"Cluster_11024,contig_0 consensus mapping",516,615,494,609,25698,1279,2280,462,45,0,4,5,10,637,57,0,0,4,3,798,987,6062,16384,17777,17781,909,1,0,2,2,41,0
"Cluster_3646,contig_0 consensus mapping",564,696,673,722,0,0,0,637,14,0,0,0,0,812,2,0,0,0,0,1081,1,0,0,0,0,1056,0,0,0,0,0,0
"Cluster_15294,contig_0 consensus mapping",613,789,597,757,0,0,0,501,129,110,21,0,0,768,0,0,0,0,0,927,0,0,0,0,0,1058,0,0,0,0,0,0
"Cluster_172,contig_0 consensus mapping",350,329,305,350,0,0,0,275,43,0,0,0,0,470,0,0,0,0,0,546,0,0,0,0,0,651,0,0,0,0,0,0
"Cluster_6411,contig_0 consensus mapping",605,718,513,703,0,0,0,552,145,0,0,0,0,849,9,0,0,0,0,924,9,0,0,0,0,1038,0,0,0,0,0,0
"Cluster_11508,contig_0 consensus mapping",479,534,422,524,0,1,0,417,104,0,0,0,0,663,1,0,0,0,0,799,0,0,0,0,0,750,0,0,0,0,0,1
"Cluster_12143,contig_0 consensus mapping",554,696,592,625,9975,2057,350,491,101,4,4,2,0,849,55,4,2,1,0,949,23584,13862,20755,5274,4325,1004,2,8,0,1,1,0
"Cluster_8890,contig_0 consensus mapping",294,310,306,368,3,691,23,250,1612,3813,5728,12200,3813,449,5,0,3,8,0,541,0,0,1,2,0,543,5,0,1,0,2,1
"Cluster_2509,contig_0 consensus mapping",502,505,385,589,0,0,0,335,70,0,0,0,0,643,0,0,0,0,0,667,0,0,0,0,0,738,0,0,0,0,0,0
"Cluster_12055,contig_0 consensus mapping",478,602,418,540,3,4110,88,378,804,972,4886,6615,2965,541,9,0,0,3,3,695,0,0,2,1,0,761,0,0,4,0,0,0
"Cluster_10816,contig_0 consensus mapping",620,660,521,663,0,0,0,553,90,0,0,0,0,979,0,0,0,0,0,1010,0,0,0,0,0,958,0,0,0,0,0,0
"Cluster_12667,contig_0 consensus mapping",763,847,855,845,8971,503,12571,692,276,2,5,1,10,1234,30,8,1,2,2,1317,24820,48064,17591,15380,16802,1323,3,30,5,7,22,0
"Cluster_8194,contig_0 consensus mapping",559,576,542,582,0,0,0,439,111,0,0,0,0,664,1,0,0,0,0,880,12,0,0,0,0,1009,0,0,0,0,0,0
"Cluster_180,contig_0 consensus mapping",724,734,564,590,0,4,0,505,245,0,0,0,0,905,0,0,0,0,0,931,0,0,0,0,0,1092,0,0,0,0,0,0
"Cluster_2046,contig_0 consensus mapping",492,578,467,560,0,0,0,466,226,0,0,0,0,597,0,0,0,0,0,753,0,0,0,0,0,799,0,0,0,0,0,0
"Cluster_9917,contig_0 consensus mapping",585,654,510,688,0,0,0,467,135,0,0,0,0,741,0,0,0,0,0,931,0,0,0,0,0,935,0,0,0,0,0,0
"Cluster_15822,contig_0 consensus mapping",306,393,343,437,574,843,27119,299,92,3,1,0,16,478,21,3,0,6,9,511,4222,17558,7648,34872,23303,540,4,10,0,14,40,0
"Cluster_15887,contig_0 consensus mapping",278,290,291,259,0,0,0,258,55,0,0,0,0,386,0,0,0,0,0,490,0,0,0,0,0,507,0,0,0,0,0,0
"Cluster_9134,contig_0 consensus mapping",863,957,772,881,1,0,11,666,1319,904,2920,7663,2276,1153,4,0,1,4,0,1288,0,0,1,0,0,1482,0,0,0,0,1,1
"Cluster_6538,contig_0 consensus mapping",915,1181,828,1105,0,0,0,759,141,0,0,0,0,1314,0,0,0,0,0,1707,0,0,0,0,0,1694,0,0,0,0,0,0
"Cluster_12419,contig_0 consensus mapping",416,402,348,416,0,0,0,384,78,0,0,0,0,689,0,0,0,0,0,572,0,1,0,0,0,592,0,0,0,0,0,0
"Cluster_13669,contig_0 consensus mapping",466,547,451,617,3,0,3,423,111,86,133,12,37,546,0,0,0,0,0,737,13,0,0,0,0,794,0,0,0,0,0,0
"Cluster_13178,contig_0 consensus mapping",441,515,474,514,0,0,0,366,68,0,0,0,0,579,0,0,0,0,0,777,0,0,0,0,0,749,0,0,0,0,0,0
"Cluster_5316,contig_0 consensus mapping",347,349,337,292,0,0,0,257,95,0,0,0,0,369,0,0,0,0,0,597,0,0,0,0,0,615,0,0,0,0,0,0
"Cluster_6052,contig_0 consensus mapping",465,559,421,521,2,0,0,456,36,0,0,0,0,635,0,0,0,0,0,703,0,0,0,0,0,734,0,0,0,0,0,0
