barcode,I1,I2,I3,1F0,1F3,1F4,1F5,2F0,2F1,2F2,2F3,2F4,2F5,3F0,3F1,3F2,3F3,3F4,3F5,4F0,4F1,4F2,4F3,4F4,4F5,5F0,5F1,5F2,5F3,5F4,5F5,C8
"Cluster_14422,contig_0 consensus mapping",332,386,307,334,0,0,0,292,72,0,0,0,0,399,0,0,0,0,0,500,0,0,0,0,0,517,0,0,0,0,0,0
"Cluster_4414,contig_0 consensus mapping",340,439,364,428,0,0,0,414,14,0,0,0,0,380,1,0,0,0,0,505,0,0,0,0,0,585,6,0,0,0,0,0
"Cluster_5372,contig_0 consensus mapping",374,454,359,424,0,0,0,349,0,0,0,0,0,471,4,0,0,0,0,641,0,0,0,0,0,648,0,0,0,0,0,0
"Cluster_1559,contig_0 consensus mapping",430,331,291,307,0,2,0,274,85,0,0,0,0,364,0,0,0,0,0,508,0,0,0,0,0,549,0,0,0,0,0,0
"Cluster_8493,contig_0 consensus mapping",95,115,126,141,18683,17,105,97,38,2,10,4,3,137,26,0,0,2,4,160,1,10,2,2,9,162,4636,9636,4191,20812,27054,4
"Cluster_6662,contig_0 consensus mapping",266,285,199,258,0,0,0,221,80,0,0,0,0,253,0,0,0,0,0,382,0,0,0,0,0,411,0,0,0,0,0,0
"Cluster_679,contig_0 consensus mapping",295,383,266,309,0,0,0,256,56,0,0,0,0,344,0,0,0,0,0,391,0,0,0,0,0,462,0,0,0,0,0,0
"Cluster_14017,contig_0 consensus mapping",224,221,193,223,0,0,0,172,0,178,535,31,33,405,0,0,0,0,0,352,3,0,0,0,0,366,0,0,0,0,0,0
"Cluster_1495,contig_0 consensus mapping",250,295,223,279,0,0,0,177,57,0,0,0,0,327,1,0,0,0,0,335,0,0,0,0,0,315,0,0,0,0,0,0
"Cluster_2349,contig_0 consensus mapping",553,598,501,595,0,0,0,467,161,0,0,0,0,801,0,0,0,0,0,819,0,0,0,0,0,792,0,0,0,0,0,0
"Cluster_166,contig_0 consensus mapping",340,386,309,305,0,0,0,235,143,0,0,0,0,318,0,0,0,0,0,432,0,0,0,0,0,535,0,0,0,0,0,0
"Cluster_3510,contig_0 consensus mapping",207,249,193,192,0,0,0,195,24,0,0,0,0,335,0,0,0,0,0,353,0,0,0,0,0,380,0,0,0,0,0,0
"Cluster_1229,contig_0 consensus mapping",290,346,286,294,0,0,0,206,45,0,0,0,0,329,0,0,0,0,0,410,0,0,0,0,0,499,0,0,0,0,0,8
"Cluster_484,contig_0 consensus mapping",340,327,301,331,0,0,0,238,35,0,0,0,0,587,0,0,0,0,0,395,0,0,0,0,0,338,0,0,0,0,0,0
"Cluster_3087,contig_0 consensus mapping",212,255,204,218,0,0,0,207,11,0,1,0,0,282,0,0,0,0,0,305,0,0,0,0,6,337,0,0,0,0,0,0
"Cluster_3237,contig_0 consensus mapping",235,374,300,348,0,0,0,203,43,0,0,0,0,346,0,0,0,0,0,510,0,0,0,0,0,396,0,0,0,0,0,13909
"Cluster_13833,contig_0 consensus mapping",186,243,189,246,5,0,20,193,35,170,1760,3392,1515,261,8,0,0,4,0,321,0,0,2,1,0,369,0,0,0,0,0,0
"Cluster_14539,contig_0 consensus mapping",286,361,300,370,0,0,0,287,114,0,0,0,0,511,0,0,0,0,0,444,0,0,0,0,0,507,0,0,0,0,0,0
"Cluster_15502,contig_0 consensus mapping",214,231,196,208,2,0,0,172,100,0,0,0,0,249,0,0,0,0,0,314,0,0,0,0,0,324,0,0,0,0,0,0
"Cluster_170,contig_0 consensus mapping",147,171,135,172,0,0,0,141,26,56,309,12,18,187,0,0,0,0,0,221,2,0,0,0,0,269,0,0,0,0,0,0
"Cluster_7281,contig_0 consensus mapping",255,237,161,221,0,0,0,165,4,0,0,0,0,278,0,0,0,0,0,246,0,0,0,0,0,293,0,0,0,0,0,0
"Cluster_10468,contig_0 consensus mapping",137,186,153,158,0,1,0,109,43,0,0,0,0,220,0,0,0,0,0,218,0,0,0,0,0,231,0,0,0,0,0,0
"Cluster_8052,contig_0 consensus mapping",243,314,291,215,0,0,0,230,56,0,0,0,0,300,0,0,0,0,0,433,0,0,0,0,0,357,0,0,0,0,0,0
"Cluster_4648,contig_0 consensus mapping",369,341,311,292,0,0,0,236,41,0,0,0,0,377,0,0,0,0,0,438,14,0,0,0,0,548,0,0,0,0,0,1
"Cluster_15841,contig_0 consensus mapping",213,298,178,203,0,0,0,203,150,0,0,0,0,233,0,0,0,0,0,364,0,0,0,0,0,315,0,0,0,0,0,0
"Cluster_4864,contig_0 consensus mapping",153,222,155,159,0,0,0,147,50,0,0,0,0,197,0,0,0,0,0,279,0,0,0,0,0,337,0,0,0,0,0,0
"Cluster_300,contig_0 consensus mapping",191,212,182,259,8239,1772,9,151,30,0,0,0,0,279,10,1,1,1,0,227,5064,5858,4322,1338,920,296,1,8,1,0,1,0
"Cluster_15216,contig_0 consensus mapping",213,190,149,199,0,0,1,151,62,0,0,0,0,273,0,0,0,0,0,270,0,0,0,0,0,273,0,0,0,0,0,0
"Cluster_10127,contig_0 consensus mapping",467,510,405,439,0,0,0,390,138,0,0,0,0,541,7,0,0,0,0,722,0,0,0,0,0,779,0,0,0,0,0,0
"Cluster_13422,contig_0 consensus mapping",367,465,293,305,4,1,51,272,194,5,4,2,1,643,3,5,1,2,1,513,0,22,0,1,0,496,5025,22946,19351,788,2191,0
"Cluster_8295,contig_0 consensus mapping",294,357,279,320,0,0,0,237,96,0,0,0,0,361,0,0,0,0,0,523,0,0,0,0,0,525,0,0,0,0,0,0
"Cluster_15977,contig_0 consensus mapping",248,214,245,273,0,0,0,186,47,0,0,0,0,210,0,0,0,0,0,307,0,0,0,0,0,327,0,0,0,0,0,0
"Cluster_4615,contig_0 consensus mapping",159,188,153,136,0,0,0,93,48,0,0,0,0,225,0,0,1,0,0,250,0,0,0,0,0,176,0,0,0,0,0,0
"Cluster_5036,contig_0 consensus mapping",233,244,174,236,0,0,0,186,0,0,0,0,0,265,0,0,0,0,0,334,0,0,0,0,0,381,0,0,0,0,0,0
"Cluster_7530,contig_0 consensus mapping",264,293,236,294,0,0,0,243,110,0,0,0,0,396,0,0,0,0,0,440,0,0,0,0,0,378,0,0,0,0,0,0
"Cluster_6627,contig_0 consensus mapping",170,208,161,229,0,0,0,119,17,0,0,0,0,195,2,0,0,0,0,300,0,0,0,0,0,297,0,0,0,0,0,0
"Cluster_12366,contig_0 consensus mapping",187,197,162,188,0,0,1,149,1174,1601,1040,50,119,224,0,2,0,0,0,275,0,0,0,0,0,245,0,0,2,0,0,0
"Cluster_15268,contig_0 consensus mapping",200,213,157,187,0,0,0,164,1504,502,176,9,0,279,1,2,0,0,0,241,0,0,0,0,0,298,0,0,0,0,0,0
"Cluster_11745,contig_0 consensus mapping",207,225,227,234,0,0,0,153,92,0,0,0,0,263,1,0,0,0,0,322,0,0,0,0,0,338,0,0,0,0,0,0
"Cluster_2333,contig_0 consensus mapping",373,307,203,201,0,0,0,202,39,0,0,0,0,236,0,0,0,0,0,379,0,0,0,0,0,410,0,0,0,0,0,0
"Cluster_10399,contig_0 consensus mapping",207,270,168,221,0,0,0,172,71,0,0,0,0,293,0,0,0,0,0,372,0,0,0,0,0,298,0,0,0,0,0,0
"Cluster_6022,contig_0 consensus mapping",328,326,245,244,0,0,0,183,33,0,0,0,0,269,0,0,0,0,0,409,0,0,0,0,0,458,0,0,0,0,0,0
"Cluster_4706,contig_0 consensus mapping",123,132,116,157,0,0,0,105,293,223,136,0,4,155,0,1,0,0,0,193,0,0,0,0,0,196,0,0,0,0,0,0
"Cluster_10943,contig_0 consensus mapping",143,198,151,156,0,0,0,120,4,0,0,0,0,268,0,0,0,0,0,267,0,0,0,0,0,227,0,0,0,0,0,0
"Cluster_7691,contig_0 consensus mapping",116,153,114,128,1,0,1,103,312,821,1267,938,392,160,3,0,0,1,0,167,0,1,0,0,0,227,0,0,0,0,0,0
"Cluster_8381,contig_0 consensus mapping",101,117,93,122,0,0,0,84,26,0,0,0,0,103,0,0,0,0,0,182,0,0,0,0,0,174,0,0,0,0,0,0
"Cluster_6126,contig_0 consensus mapping",342,401,305,273,0,0,0,258,33,38,63,3,7,418,0,0,0,0,0,444,0,0,0,0,0,513,0,0,0,0,0,0
"Cluster_358,contig_0 consensus mapping",160,213,186,154,0,0,0,138,74,0,0,0,0,257,0,0,0,0,0,234,0,0,0,0,0,255,0,0,0,0,0,0
"Cluster_6337,contig_0 consensus mapping",265,292,187,236,0,0,0,177,24,0,0,0,0,291,0,0,0,0,0,305,0,1,0,0,0,358,0,0,0,0,0,0
"Cluster_3560,contig_0 consensus mapping",188,295,162,242,0,0,0,184,67,0,0,0,0,303,0,0,0,0,0,268,0,0,0,0,0,331,0,0,0,0,0,0
"Cluster_11394,contig_0 consensus mapping",82,139,111,115,0,0,0,115,47,0,0,0,0,115,0,0,0,0,0,142,0,0,0,0,0,173,0,0,0,0,0,0
"Cluster_11415,contig_0 consensus mapping",64,63,59,69,0,0,0,45,6,0,0,0,0,79,0,0,0,0,0,83,0,0,0,0,0,87,0,0,0,0,0,0
"Cluster_271,contig_0 consensus mapping",139,155,122,121,0,0,0,96,49,0,0,0,0,157,0,0,0,0,0,180,0,0,0,0,0,174,4,0,0,0,0,0
"Cluster_15406,contig_0 consensus mapping",128,130,137,108,0,0,0,115,44,0,0,0,0,120,0,0,0,0,0,171,0,0,0,0,0,142,0,0,0,0,0,0
"Cluster_9100,contig_0 consensus mapping",125,162,110,126,0,0,0,114,5,0,0,0,0,249,0,0,0,0,0,201,0,0,0,0,0,217,0,0,0,0,0,6143
"Cluster_11214,contig_0 consensus mapping",159,177,148,134,0,0,0,104,11,0,0,0,0,224,0,0,0,0,0,230,0,0,0,0,0,202,0,0,0,0,0,9551
"Cluster_10286,contig_0 consensus mapping",180,177,154,161,0,0,0,134,0,0,0,0,0,235,0,0,0,0,0,227,0,0,0,0,0,255,0,0,0,0,0,0
"Cluster_13450,contig_0 consensus mapping",199,219,223,219,0,0,0,213,42,0,0,0,0,302,0,0,0,0,0,394,8,0,0,0,0,354,0,0,0,1,0,0
"Cluster_3458,contig_0 consensus mapping",244,274,205,233,0,0,0,180,0,0,0,0,0,277,4,0,0,0,0,314,0,0,0,0,0,348,0,0,0,0,0,0
"Cluster_7325,contig_0 consensus mapping",65,108,72,95,0,0,0,70,10,0,0,0,0,77,0,0,0,0,0,125,0,0,0,0,0,94,0,0,0,0,0,0
"Cluster_2992,contig_0 consensus mapping",246,218,226,278,0,0,0,199,25,0,0,0,0,273,0,0,0,0,0,336,0,0,0,0,0,473,1,0,0,0,0,0
"Cluster_4188,contig_0 consensus mapping",101,170,150,111,0,0,0,114,58,0,0,0,0,171,0,0,0,0,0,165,0,0,0,0,0,234,0,0,0,0,0,0
"Cluster_5608,contig_0 consensus mapping",193,240,192,177,0,0,0,170,0,0,0,0,0,250,0,0,0,0,0,329,0,0,0,0,0,296,0,0,0,0,0,0
"Cluster_95,contig_0 consensus mapping",113,137,98,108,0,0,0,91,23,0,0,0,0,141,0,0,0,0,0,167,0,0,0,0,0,165,0,0,0,0,0,0
"Cluster_127,contig_0 consensus mapping",107,143,83,109,0,0,0,91,9,0,0,0,0,147,0,0,0,0,0,180,0,0,0,0,0,168,0,0,0,0,0,0
"Cluster_4121,contig_0 consensus mapping",165,147,134,159,0,0,0,127,0,0,0,0,0,222,0,0,0,0,0,202,13,0,0,0,0,189,0,0,0,0,0,0
"Cluster_9973,contig_0 consensus mapping",217,325,181,220,0,0,0,196,66,0,0,0,0,286,0,0,0,0,0,271,0,0,0,0,0,316,0,0,0,0,0,0
"Cluster_14993,contig_0 consensus mapping",122,131,92,81,0,0,0,68,8,0,0,0,0,212,0,0,0,0,0,134,0,0,0,0,0,137,0,0,0,0,0,0
"Cluster_15531,contig_0 consensus mapping",102,103,75,91,0,0,0,77,7,0,0,0,0,111,0,0,0,0,0,140,0,0,0,0,0,163,0,0,0,0,0,0
"Cluster_11084,contig_0 consensus mapping",155,180,137,155,0,0,0,108,22,0,0,0,0,226,0,0,0,0,0,276,0,0,0,0,0,245,0,0,0,0,0,0
"Cluster_6715,contig_0 consensus mapping",74,96,76,109,0,0,0,74,10,0,0,0,0,127,0,0,0,0,0,110,0,0,0,0,0,107,0,0,0,0,0,0
"Cluster_1256,contig_0 consensus mapping",104,127,97,102,0,0,0,74,23,0,0,0,0,113,0,0,0,0,0,165,0,0,0,0,0,139,0,0,0,0,0,0
"Cluster_7481,contig_0 consensus mapping",213,199,193,238,0,0,0,133,31,0,0,0,0,253,1134,0,0,0,0,331,0,0,0,0,0,334,0,0,0,0,0,0
"Cluster_8352,contig_0 consensus mapping",145,152,149,134,0,0,0,93,36,0,0,0,0,149,0,0,0,0,0,234,0,0,0,0,0,189,0,0,0,0,0,0
"Cluster_2208,contig_0 consensus mapping",84,104,102,85,0,0,0,63,9,0,0,0,0,54,0,0,0,0,0,89,0,0,0,0,0,108,0,0,0,0,0,0
"Cluster_64,contig_0 consensus mapping",80,99,84,70,0,0,0,72,21,0,0,0,0,96,0,0,0,0,0,104,0,0,0,0,0,152,0,0,0,0,0,0
"Cluster_135,contig_0 consensus mapping",91,117,88,95,0,0,0,71,16,0,0,0,0,91,0,0,0,0,0,128,0,0,0,0,0,130,0,0,0,0,0,0
"Cluster_621,contig_0 consensus mapping",36,50,45,40,0,0,0,32,21,0,0,0,0,61,0,0,0,0,0,64,0,0,0,0,0,61,0,0,0,0,0,0
"Cluster_9660,contig_0 consensus mapping",115,110,132,128,0,0,0,118,41,0,0,0,0,166,0,0,0,0,0,226,0,0,0,0,0,227,0,0,0,0,0,0
"Cluster_4887,contig_0 consensus mapping",64,134,107,71,0,0,0,80,0,0,0,0,0,118,0,0,0,0,0,100,0,0,0,0,0,134,0,0,0,0,0,0
"Cluster_9082,contig_0 consensus mapping",124,162,123,148,0,0,0,100,24,0,0,0,0,158,0,0,0,0,0,171,6,0,0,0,0,164,0,0,0,0,0,0
"Cluster_1413,contig_0 consensus mapping",74,65,75,76,0,0,0,44,0,0,0,0,0,68,0,0,0,0,0,98,1,0,0,0,0,103,0,0,0,0,0,0
"Cluster_3930,contig_0 consensus mapping",67,76,93,59,0,0,0,55,36,0,0,0,0,95,0,1,0,0,0,96,0,0,0,0,0,118,0,0,0,0,0,0
"Cluster_13715,contig_0 consensus mapping",60,98,84,57,0,0,0,52,0,0,0,0,0,80,0,0,0,0,0,159,0,0,0,0,0,124,0,0,0,0,0,0
"Cluster_6872,contig_0 consensus mapping",68,45,64,34,0,0,0,52,44,0,0,0,0,48,0,0,0,0,0,102,0,0,0,0,0,89,0,0,0,0,0,0
"Cluster_3482,contig_0 consensus mapping",150,103,142,111,0,0,0,110,12,0,0,0,0,248,0,0,0,0,0,225,0,0,0,0,0,169,0,0,0,0,0,0
"Cluster_1818,contig_0 consensus mapping",43,45,42,46,0,0,0,35,0,0,0,0,0,93,0,0,0,0,0,114,0,0,0,0,0,82,0,0,0,0,0,0
"Cluster_550,contig_0 consensus mapping",32,31,35,22,0,0,0,39,18,0,0,0,0,55,0,0,0,0,0,57,0,0,0,0,0,56,0,0,0,0,0,0
"Cluster_14594,contig_0 consensus mapping",33,17,19,9,0,0,0,18,6,0,0,0,0,20,0,0,0,0,0,39,15,0,0,0,0,21,0,0,0,0,0,0
"Cluster_10169,contig_0 consensus mapping",45,111,59,75,0,0,0,41,0,0,0,0,0,30,0,0,0,0,0,122,0,0,0,0,0,100,0,0,0,0,0,0
"Cluster_8859,contig_0 consensus mapping",30,37,23,23,0,0,0,9,0,0,0,0,0,60,0,1,0,0,0,40,0,0,0,0,0,47,0,0,0,0,0,0
"Cluster_8840,contig_0 consensus mapping",31,76,39,42,0,0,0,39,35,0,0,0,0,73,0,0,0,0,0,62,0,0,0,0,0,79,0,0,0,0,0,0
"Cluster_7743,contig_0 consensus mapping",15,34,20,30,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,32,0,0,0,0,0,48,0,0,0,0,0,0
"Cluster_9679,contig_0 consensus mapping",54,60,52,48,0,0,0,60,0,0,0,0,0,63,0,0,0,0,0,79,0,0,0,0,0,114,0,0,0,0,0,0
"Cluster_566,contig_0 consensus mapping",20,20,11,14,0,0,0,11,0,0,0,0,0,25,0,0,0,0,0,37,0,0,0,0,0,27,0,0,0,0,0,0
"Cluster_10565,contig_0 consensus mapping",21,54,22,38,0,0,0,29,0,0,0,0,0,61,0,0,0,0,0,67,0,0,0,0,0,64,0,0,0,0,0,0
"Cluster_1157,contig_0 consensus mapping",27,35,26,26,0,0,0,38,0,0,0,0,0,19,0,0,0,0,0,43,0,0,0,0,0,36,0,0,0,0,0,0
"Cluster_8925,contig_0 consensus mapping",13,43,35,27,0,0,0,30,0,0,0,0,0,16,0,0,0,0,0,37,0,0,0,0,0,51,0,0,0,0,0,0
"Cluster_153,contig_0 consensus mapping",27,37,25,45,0,0,0,28,36,0,0,0,0,47,0,0,0,0,0,47,0,0,0,0,0,67,0,0,0,0,0,0
