,Nbarcodes,Nb,Ns,Nr,Nb_cal,Nr_cal,Nr_calibrated
X1F0,252,28228.72619,2101,28228.72619,NA,NA,85177.00783
X1F3,17,8.136925383,18.77777778,18.77777778,NA,NA,19.39727499
X1F4,24,5.853577412,26,26,NA,NA,27.12956729
X1F5,31,4.294978736,33.85714286,33.85714286,NA,NA,35.37408692
X2F0,252,37737.58332,2101,37737.58332,NA,NA,158909.4045
X2F1,234,16.87573806,1201,1201,NA,NA,1168.886783
X2F2,15,12.87400126,16.55555556,16.55555556,NA,NA,16.98067408
X2F3,38,14.58490509,43.85714286,43.85714286,NA,NA,45.68126124
X2F4,19,10.72042041,21,21.74340206,NA,NA,22.59316095
X2F5,16,10.20249464,17.66666667,20.1291201,NA,NA,20.85742215
X3F0,247,3407.189754,2101,7132.373838,NA,NA,11930.23358
X3F1,1,1.813736645,1,1.813736645,NA,NA,1.813736645
X3F2,1,1.757460679,1,1.757460679,NA,NA,1.757460679
X3F3,2,1.757091911,2.111111111,2.111111111,NA,NA,2.111111111
X3F4,1,1.758132657,1,1.758132657,NA,NA,1.758132657
X3F5,1,1.757635186,1,1.757635186,NA,NA,1.757635186
X4F0,253,38727.34596,2101,40517.88564,NA,NA,192212.694
X4F1,10,7.644876466,11,11,NA,NA,10.84548248
X4F2,10,8.148002038,11,11,NA,NA,10.84548248
X4F3,10,8.43521253,11,11,NA,NA,10.84548248
X4F4,10,4.873587415,11,11,NA,NA,10.84548248
X4F5,16,5.749040526,17.66666667,17.66666667,NA,NA,18.1913922
X5F0,253,36558.62054,2101,36558.62054,NA,NA,146837.328
X5F1,5,3.48499824,5.444444444,5.444444444,NA,NA,4.615440636
X5F2,5,4.348356448,5.444444444,5.444444444,NA,NA,4.615440636
X5F3,5,4.413720012,5.444444444,5.444444444,NA,NA,4.615440636
X5F4,6,2.212534061,6.555555556,6.555555556,NA,NA,5.846421899
X5F5,5,2.259667459,5.444444444,5.444444444,NA,NA,4.615440636
C8,7,5.091871648,7.666666667,7.666666667,NA,NA,7.096880538
