"","s1_vc15","s10_vc15","s11_vc15","s12_vc15","s13_vc15","s14_vc15","s15_vc15","s16_vc15","s17_vc15","s18_vc15","s19_vc15","s2_vc15","s20_vc15","s21_vc15","s22_vc15","s23_vc15","s24_vc15","s25_vc15","s26_vc15","s27_vc15","s28_vc15","s29_vc15","s3_vc15","s30_vc15","s31_vc15","s32_vc15","s33_vc15","s34_vc15","s35_vc15","s36_vc15","s37_vc15","s38_vc15","s39_vc15","s4_vc15","s40_vc15","s41_vc15","s42_vc15","s43_vc15","s44_vc15","s45_vc15","s46_vc15","s47_vc15","s48_vc15","s49_vc15","s5_vc15","s50_vc15","s51_vc15","s52_vc15","s53_vc15","s54_vc15","s55_vc15","s56_vc15","s57_vc15","s58_vc15","s59_vc15","s6_vc15","s60_vc15","s61_vc15","s62_vc15","s63_vc15","s64_vc15","s7_vc15","s8_vc15","s9_vc15","s1_vc17","s10_vc17","s11_vc17","s12_vc17","s13_vc17","s14_vc17","s15_vc17","s16_vc17","s17_vc17","s18_vc17","s19_vc17","s2_vc17","s20_vc17","s21_vc17","s22_vc17","s23_vc17","s24_vc17","s25_vc17","s26_vc17","s27_vc17","s28_vc17","s29_vc17","s3_vc17","s30_vc17","s31_vc17","s32_vc17","s33_vc17","s34_vc17","s35_vc17","s36_vc17","s37_vc17","s38_vc17","s39_vc17","s4_vc17","s40_vc17","s41_vc17","s42_vc17","s43_vc17","s5_vc17","s6_vc17","s7_vc17","s8_vc17","s9_vc17","s1_vc18","s2_vc18","s3_vc18","s4_vc18","s5_vc18","s6_vc18","s7_vc18","s8_vc18","s9_vc18","s10_vc18","s11_vc18","s12_vc18","s13_vc18","s14_vc18","s15_vc18","s16_vc18","s17_vc18","s18_vc18","s19_vc18","s20_vc18","s21_vc18","s22_vc18","s23_vc18","s24_vc18","s25_vc18","s26_vc18","s27_vc18","s28_vc18","s29_vc18","s30_vc18","s31_vc18","s32_vc18","s33_vc18","s34_vc18","s35_vc18","s36_vc18","s37_vc18","s38_vc18","s39_vc18","s40_vc18","s41_vc18","s42_vc18","s43_vc18","s44_vc18","s45_vc18","s46_vc18"
"s37_vc18",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,1,0,0,0,0,0
"s38_vc18",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,3,0,1,2,0,0,0,0,2,2,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,41,0,1,1,5,0,0,0,8
"s39_vc18",21,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,6,1,0,8,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,1,0,0,0,4,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,11,8,1,0,3,0,0,0,3,16,9,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,21,21,25,0,0,0,0,0,1,0,0,0,0,0,25,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,52,0,0,0,0,0,0,15
"s40_vc18",22,10,1,0,0,0,0,0,0,0,1,32,0,0,1,0,1,1,1,3,0,17,13,26,0,0,15,0,0,1,0,0,0,20,1,1,0,0,0,1,1,0,0,0,46,1,0,0,0,1,1,0,0,1,0,2,0,1,0,0,0,0,1,8,0,0,3,0,0,0,0,0,1,47,20,0,4,5,0,0,0,1,36,33,13,47,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,20,28,31,2,1,0,0,0,1,0,1,0,1,0,32,59,6,3,0,3,1,11,0,12,0,3,0,0,0,0,0,16,10,7,0,11,0,1,0,96,0,13,0,0,0,24
"s41_vc18",2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8,1,12,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,1,7,5,9,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,12,2,0,0,0,0,9,0,0,1,0,0,1,5,4,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,1,1,0,0,61,0,0,1,0,2
"s42_vc18",23,3,3,0,0,0,0,0,0,0,0,30,0,1,0,1,0,0,0,0,0,51,13,29,0,0,18,0,0,0,0,0,0,14,1,0,0,0,0,1,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,25,7,0,2,2,0,0,0,1,17,18,11,27,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,20,13,35,0,1,0,0,0,0,0,0,0,0,0,4,43,0,2,0,0,0,11,0,0,0,3,0,0,0,0,0,0,3,39,0,0,0,5,0,13,0,89,0,0,1,39
"s43_vc18",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"s44_vc18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"s45_vc18",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
"s46_vc18",72,35,3,0,0,12,4,0,0,0,0,81,0,0,0,4,1,0,14,3,0,76,73,66,12,4,54,13,0,3,0,5,2,72,0,2,0,0,2,0,3,0,0,0,89,0,0,0,0,7,1,0,5,13,27,10,6,4,8,0,0,0,13,43,1,0,23,0,1,0,0,0,30,96,49,0,12,24,0,0,0,2,83,84,67,99,0,2,0,0,0,0,0,0,0,7,1,0,8,0,0,0,0,1,0,0,0,68,72,81,10,1,4,0,0,15,0,0,2,0,0,53,85,37,6,0,2,4,27,0,50,3,19,0,0,0,0,0,18,38,2,4,5,0,8,15,24,2,39,0,0,0,135
