,X1E,X1F0,X1F3,X1F4,X1F5,X1OD,X1OP,X1SD,X1SM,X1SP,X2E,X2F0,X2F1,X2F2,X2F3,X2F4,X2F5,X2OD,X2OP,X2SD,X2SM,X2SP,X3E,X3F0,X3F1,X3F2,X3F3,X3F4,X3F5,X3OD,X3OP,X3SD,X3SM,X3SP,X4E,X4F0,X4F1,X4F2,X4F3,X4F4,X4F5,X4OD,X4OP,X4SD,X4SM,X4SP,X5E,X5F0,X5F1,X5F2,X5F3,X5F4,X5F5,X5OD,X5OP,X5SD,X5SM,X5SP,C8
X5F1,0.851123347,0.819737303,0.694180964,0.877193512,0.843114802,0.852190472,0.847329027,0.885770553,0.883327731,0.890229989,0.885607044,0.819070216,0.851928129,0.88417343,0.881940041,0.88383781,0.883188492,0.883424478,0.883499344,0.875577169,0.878476635,0.883647287,0.879773041,0.824319429,0.877399297,0.883265872,0.888035601,0.887140585,0.885340171,0.886506961,0.88739086,0.877894832,0.865268948,0.885978443,0.884654108,0.821909189,0.885205862,0.874835985,0.886850961,0.885541267,0.882049395,0.885312114,0.863781959,0.882429305,0.883789279,0.886808516,0.200231951,0.819649846,0,0.18079681,0.233136481,0.234383944,0.227376739,0.258321137,0.15620087,0.269849929,0.328466237,0.259509602,0.88687924
X5F2,0.854125415,0.832299326,0.680042825,0.881366743,0.844299018,0.854304504,0.849531776,0.889066855,0.88713287,0.893427999,0.89164345,0.830881936,0.861753897,0.88846009,0.886612735,0.889148021,0.889007442,0.888790276,0.888719975,0.881644693,0.884472675,0.888145131,0.883109892,0.835997345,0.881663651,0.886298123,0.890822619,0.890095408,0.888468271,0.890096757,0.890864349,0.880709448,0.869326459,0.889463281,0.885389454,0.833590678,0.884037017,0.8731348,0.887840114,0.887023299,0.883933336,0.88694318,0.864185822,0.884932561,0.882806383,0.889958258,0.079881953,0.832161286,0.18079681,0,0.097814548,0.285563486,0.270154672,0.315528614,0.177489591,0.33551955,0.403145765,0.35067508,0.891092945
X5F3,0.851629985,0.832794181,0.692089893,0.875197584,0.843240653,0.851891102,0.847465154,0.881093395,0.880224257,0.886133299,0.891511003,0.831240003,0.861345089,0.887589544,0.884340895,0.886194873,0.886183282,0.886151462,0.888365855,0.878589033,0.87786947,0.88542996,0.875840236,0.835259474,0.874861717,0.879141528,0.883506848,0.882662271,0.881230039,0.883056155,0.883781777,0.873511145,0.862667753,0.882418525,0.887941911,0.833694256,0.889172997,0.877727864,0.891101032,0.890231235,0.887241707,0.88979305,0.865614049,0.884174187,0.883705287,0.883047356,0.14155035,0.832635824,0.233136481,0.097814548,0,0.344968557,0.325436153,0.370309495,0.233076124,0.352932704,0.449612715,0.39068673,0.891626953
X5F4,0.850841281,0.840751103,0.659956112,0.877445218,0.840928929,0.851584882,0.846241729,0.892948946,0.88768567,0.894989167,0.884535202,0.839947942,0.856341829,0.87903514,0.879813937,0.884454437,0.884200676,0.884359509,0.882807866,0.880762144,0.879983992,0.88364315,0.885433253,0.846158745,0.882605931,0.888724165,0.893194269,0.891702555,0.889761759,0.890817194,0.891894,0.883128361,0.869944956,0.890046681,0.880195574,0.843199949,0.881898169,0.873434484,0.882753445,0.879391772,0.874425294,0.879184406,0.860578619,0.884253113,0.884843517,0.890750627,0.310490312,0.841224655,0.234383944,0.285563486,0.344968557,0,0.042566985,0.061171875,0.216539049,0.190051625,0.270288097,0.211480809,0.889320275
X5F5,0.844186677,0.837885441,0.657332433,0.87220869,0.83537988,0.845602213,0.840054859,0.886070566,0.880841922,0.888251731,0.885210166,0.836949725,0.8605443,0.881833574,0.878624526,0.880677306,0.880069662,0.8805711,0.882728824,0.875455881,0.87285653,0.879988382,0.87852148,0.842800279,0.875931953,0.881994021,0.886398942,0.88475163,0.883022912,0.884098804,0.885091879,0.87617232,0.862914665,0.88327996,0.880233552,0.840102228,0.883411114,0.872462953,0.882381567,0.878862441,0.874017071,0.878749715,0.858412434,0.879489331,0.8814553,0.883903408,0.301310796,0.838296565,0.227376739,0.270154672,0.325436153,0.042566985,0,0.058499679,0.195252919,0.168374961,0.258481539,0.196056009,0.88917074
X5OD,0.85265631,0.843861476,0.669411544,0.878850048,0.843814387,0.853344947,0.848021732,0.890052248,0.884240806,0.891715511,0.887261176,0.84292673,0.862173404,0.883445934,0.882249649,0.885407746,0.884926202,0.885325058,0.885465176,0.881481722,0.878611416,0.88375767,0.882368675,0.84899147,0.879975198,0.8856638,0.890051357,0.888510684,0.886717007,0.887663673,0.888740548,0.880142351,0.86682089,0.88661245,0.885429249,0.846187921,0.886642164,0.877644044,0.887595208,0.885001849,0.880059188,0.884973481,0.8658053,0.885837855,0.886419274,0.887452299,0.349781485,0.844205171,0.258321137,0.315528614,0.370309495,0.061171875,0.058499679,9.49E-09,0.216426323,0.159248632,0.225685194,0.167778677,0.88899772
X5OP,0.846153224,0.829825243,0.681348967,0.870079076,0.837617074,0.84797591,0.842160438,0.887140313,0.883164297,0.890473898,0.879016997,0.828433531,0.853443608,0.875984514,0.871333899,0.872966457,0.872186337,0.873157135,0.87650898,0.866370105,0.871883098,0.872479537,0.88018937,0.834002743,0.878578323,0.883352489,0.888239165,0.886897759,0.885673221,0.886749152,0.887440338,0.877926313,0.865614222,0.885869038,0.881866161,0.831468808,0.883138377,0.872139546,0.884208739,0.882034843,0.87808199,0.882081463,0.859759685,0.880654299,0.881135704,0.886658226,0.235187245,0.829558857,0.15620087,0.177489591,0.233076124,0.216539049,0.195252919,0.216426323,0,0.232408345,0.237341576,0.195658758,0.888316944
X5SD,0.852100481,0.838806917,0.692022323,0.873711777,0.844286016,0.85323647,0.847696327,0.886092143,0.881353221,0.888745577,0.883225215,0.837593876,0.857024018,0.878774655,0.874667462,0.877135085,0.875828189,0.877578429,0.880960855,0.871453508,0.871910213,0.874187156,0.879200732,0.841695001,0.877478164,0.882740589,0.887163923,0.885200492,0.883869108,0.88486398,0.88582065,0.877316544,0.864171789,0.883762979,0.887627813,0.840582897,0.889333336,0.879213815,0.889233351,0.887130862,0.882754653,0.887417425,0.867125386,0.882340479,0.884456649,0.884664781,0.386498788,0.838788308,0.269849929,0.33551955,0.352932704,0.190051625,0.168374961,0.159248632,0.232408345,0,0.235094962,0.147928985,0.88696286
X5SM,0.829702607,0.841531448,0.709020993,0.86760638,0.816805272,0.830722728,0.823837152,0.891690227,0.885307627,0.893035173,0.872185523,0.840352406,0.853529022,0.869856064,0.866196485,0.86710651,0.865644177,0.866647528,0.86952477,0.864947401,0.868457198,0.864076186,0.883935801,0.845804298,0.881992637,0.886670272,0.891565598,0.889525574,0.88843745,0.888878831,0.889625889,0.88209341,0.870043159,0.888028818,0.873309683,0.843676255,0.872135325,0.856942621,0.871184508,0.856269773,0.853262745,0.860509127,0.852590572,0.876176863,0.875748972,0.888185483,0.453662717,0.84140286,0.328466237,0.403145765,0.449612715,0.270288097,0.258481539,0.225685194,0.237341576,0.235094962,0,0.12630805,0.888852264
X5SP,0.847949192,0.847826834,0.707952233,0.874546075,0.841684029,0.847237626,0.842821582,0.870934575,0.865399775,0.873183246,0.895294078,0.846806401,0.871815518,0.893255467,0.890279029,0.891232144,0.890477548,0.891071483,0.89391505,0.885661438,0.869026464,0.888741452,0.863661155,0.851861833,0.863003338,0.867010705,0.871628907,0.870383428,0.868722938,0.869497277,0.870448157,0.861993107,0.848567366,0.867982375,0.893303298,0.849692373,0.894297006,0.884938003,0.894886315,0.893372584,0.889001238,0.893498054,0.872758886,0.886396196,0.888016038,0.869310069,0.400898957,0.84756785,0.259509602,0.35067508,0.39068673,0.211480809,0.196056009,0.167778677,0.195658758,0.147928985,0.12630805,0,0.885809279
C8,0.894005646,0.81790935,0.893352874,0.894659536,0.8934729,0.893030102,0.893476519,0.893610059,0.893406496,0.893632095,0.877864232,0.818969792,0.85970099,0.891621739,0.884094522,0.894442497,0.890661494,0.892225685,0.875207726,0.896621745,0.893905676,0.887725017,0.893397615,0.816048148,0.89186531,0.893483323,0.893143095,0.893509314,0.893506983,0.893513739,0.893539487,0.89334317,0.893003841,0.890819418,0.899308571,0.816988094,0.897728895,0.898940158,0.899289393,0.899315306,0.899170971,0.899139888,0.897048235,0.898221299,0.894873034,0.890662921,0.891497065,0.819261859,0.88687924,0.891092945,0.891626953,0.889320275,0.88917074,0.88899772,0.888316944,0.88696286,0.888852264,0.885809279,0
