barcode,1F0,1F3,1F4,1F5,1OD,1OP,1SD,1SM,1SP,2E,2F0,2F1,2F2,2F3,2F4,2F5,2OD,2OP,2SD,2SM,2SP,3E,3F0,3F1,3F2,3F3,3F4,3F5,3OD,3OP,3SD,3SM,3SP,4E,4F0,4F1,4F2,4F3,4F4,4F5,4OD,4OP,4SD,4SM,4SP,5E,5F0,5F1,5F2,5F3,5F4,5F5,5OD,5OP,5SD,5SM,5SP,C8
"Cluster_13137,contig_0 consensus mapping",1574,0,0,0,0,0,0,0,0,0,1260,368,0,0,0,0,0,0,0,0,0,0,2236,2,0,0,0,0,0,0,0,0,0,0,2320,8,0,0,0,0,0,0,0,0,0,0,2454,0,0,0,0,0,0,0,0,0,0,0
"Cluster_142,contig_0 consensus mapping",927,0,0,0,0,0,0,0,0,0,697,329,0,0,0,0,0,0,0,0,0,0,883,0,0,0,0,0,0,0,0,0,0,0,1386,0,0,0,0,0,0,0,0,1,0,0,1515,0,0,0,0,0,0,0,9,0,0,0
"Cluster_10769,contig_0 consensus mapping",1057,0,0,0,0,0,0,0,0,0,846,135,0,0,0,0,0,0,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,1645,0,0,0,0,0,0,0,0,0,0,0,1682,0,0,0,0,0,0,0,0,0,0,0
"Cluster_1171,contig_0 consensus mapping",1100,2,0,1,7,2,0,0,0,1016,848,203,246,897,81,148,92,2613,0,0,240,0,1548,4,0,0,0,0,0,0,0,0,1,0,1602,14,0,0,0,0,0,4,0,30,0,0,1690,1,0,0,0,0,0,0,0,0,0,8723
"Cluster_1330,contig_0 consensus mapping",1172,4,5,0,0,0,0,0,0,0,974,264,0,0,0,0,0,0,0,0,0,0,1375,0,0,0,0,0,0,0,0,0,0,0,1813,0,0,0,0,0,0,0,15,0,0,0,1821,3,0,0,0,0,0,0,0,0,0,0
"Cluster_7854,contig_0 consensus mapping",1191,5,3,0,0,0,0,0,0,0,859,276,0,0,0,0,0,0,0,0,0,0,1532,2,0,0,0,0,0,0,0,0,0,0,1736,0,0,0,0,0,0,0,0,0,0,0,1494,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4496,contig_0 consensus mapping",1192,6,2361,49,74,59,1,0,0,7427,985,4654,10678,4452,5895,3219,3174,12953,7501,1432,2559,3,1278,8,4,1,9,1,1,5,2,1,0,9,1707,4,1,3,1,0,2,44,7,1,0,2,1973,0,2,0,0,2,0,5,2,9,0,0
"Cluster_3284,contig_0 consensus mapping",1573,0,0,0,0,0,0,0,0,0,1035,200,0,0,0,0,0,0,0,0,0,0,2063,0,0,0,0,0,0,0,0,0,0,0,2043,0,0,0,0,0,0,0,0,0,0,0,2287,0,0,0,0,0,0,0,0,0,0,0
"Cluster_12255,contig_0 consensus mapping",621,2,0,0,0,0,0,0,0,0,510,247,0,0,0,0,0,0,0,0,0,0,819,0,0,0,0,0,0,0,0,0,0,0,921,0,0,0,0,0,0,0,0,0,0,0,1058,0,0,0,0,0,0,0,0,0,0,0
"Cluster_9844,contig_0 consensus mapping",1294,4,1074,94,81,59,0,0,0,11643,1043,19261,20376,9822,9565,4605,4297,22064,12712,3282,1740,2,1572,16,8,0,3,0,1,4,4,1,0,24,1885,7,4,3,1,0,2,83,0,1,0,15,1878,17,2,0,1,2,1,13,11,4,0,0
"Cluster_138,contig_0 consensus mapping",941,0,1,0,0,0,0,0,0,0,808,602,0,0,0,0,0,0,0,0,0,0,1084,0,0,0,0,0,2,0,0,0,0,0,1429,0,0,0,0,0,0,0,0,1,0,0,1608,0,0,0,0,0,0,1,0,0,0,0
"Cluster_11895,contig_0 consensus mapping",1145,0,0,0,0,0,0,0,0,0,768,264,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,1577,0,0,0,0,0,0,0,5,0,0,0,1632,0,0,0,0,0,0,0,0,0,0,0
"Cluster_6601,contig_0 consensus mapping",898,0,1145,50,72,27,0,1,0,652,631,136,294,3507,5840,2376,2874,1341,955,277,2493,0,1201,0,1,0,6,0,1,2,1,0,0,0,1383,0,0,1,1,0,1,44,5,0,0,0,1331,0,0,0,0,3,0,5,2,11,0,0
"Cluster_1677,contig_0 consensus mapping",761,0,3,0,0,0,0,0,0,0,635,163,0,0,0,0,0,1,0,0,0,0,921,0,0,0,0,0,0,0,0,0,0,0,1102,0,0,0,0,0,0,0,0,0,0,0,1319,1,0,0,0,0,0,0,0,0,0,0
"Cluster_9292,contig_0 consensus mapping",876,0,0,0,0,0,0,0,0,0,770,83,0,0,0,0,0,0,0,0,0,0,1003,0,0,0,0,0,0,0,0,0,0,0,1394,0,0,0,0,0,0,0,0,11,0,0,1497,2,0,0,0,0,0,0,0,0,0,0
"Cluster_9753,contig_0 consensus mapping",852,0,1,0,0,0,0,0,0,0,630,214,0,0,0,0,0,0,0,0,0,0,1115,2,0,1,0,0,0,0,0,0,2,0,1187,0,1,0,0,0,0,0,0,0,1,0,1084,10,0,0,0,0,0,1,0,0,0,9588
"Cluster_3809,contig_0 consensus mapping",624,0,0,0,0,0,0,0,0,0,417,127,0,0,0,0,0,0,0,0,0,0,790,0,0,0,0,0,0,0,0,0,0,0,801,0,0,0,0,0,0,0,0,0,0,0,875,0,0,0,0,0,0,0,0,0,0,0
"Cluster_12938,contig_0 consensus mapping",663,0,0,3,1,1,0,0,0,313,494,109,80,263,16,22,4,659,0,0,0,0,671,5,0,0,0,0,0,0,0,0,0,0,830,0,0,0,0,0,0,0,0,0,0,0,866,0,0,0,0,0,0,0,0,0,0,0
"Cluster_15064,contig_0 consensus mapping",918,0,0,1,0,0,0,0,0,0,770,263,0,0,0,0,0,0,0,0,2,0,1266,0,0,0,0,0,0,0,0,0,0,0,1402,0,0,0,0,0,0,0,0,0,1,0,1601,0,0,0,0,0,0,0,6,0,0,13089
"Cluster_2297,contig_0 consensus mapping",789,0,0,0,0,0,0,0,0,0,591,296,0,0,0,0,0,0,0,0,0,0,1946,0,0,0,0,0,0,0,0,0,0,0,984,0,0,0,0,0,0,0,0,0,0,0,1080,10,0,0,0,0,0,0,2,0,0,0
"Cluster_14475,contig_0 consensus mapping",556,1,705,2,0,3,0,0,0,1164,419,78,238,628,47,62,28,3178,250,0,0,0,543,1,0,0,0,0,0,0,1,0,1,0,786,0,0,0,0,0,0,3,0,0,0,0,892,7,0,0,0,0,0,0,0,0,0,4
"Cluster_4370,contig_0 consensus mapping",720,0,0,0,0,0,0,0,0,0,487,88,0,0,0,0,0,0,0,0,0,0,721,7,0,0,0,0,0,0,0,0,0,0,922,0,0,0,0,0,1,0,0,0,0,0,1047,0,0,0,0,0,0,0,0,0,0,0
"Cluster_5419,contig_0 consensus mapping",422,0,0,0,0,0,0,0,0,0,344,99,0,0,0,0,0,0,0,0,0,0,535,2,0,0,0,0,0,0,0,0,0,0,587,1,0,0,0,0,0,0,0,0,0,0,695,7,0,0,0,0,0,0,0,0,0,0
"Cluster_7637,contig_0 consensus mapping",416,0,0,0,0,0,0,0,0,0,310,108,0,0,0,0,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,1,0,0,682,0,0,0,0,0,0,0,0,0,0,0,684,3,0,0,0,0,0,0,0,0,0,0
"Cluster_14323,contig_0 consensus mapping",1077,0,2,0,0,0,0,0,0,0,787,166,0,0,0,0,0,0,0,0,0,0,1375,0,0,0,0,0,0,0,0,0,0,0,1583,14,0,0,0,0,0,0,0,0,0,0,1503,2,0,0,0,0,0,1,0,0,0,0
"Cluster_2585,contig_0 consensus mapping",608,0,0,0,0,0,0,0,0,0,444,169,0,0,0,0,0,0,0,0,0,0,667,2,0,0,0,0,0,0,0,0,0,0,832,0,0,0,1,0,0,0,0,0,0,0,935,1,0,0,0,1,0,0,0,0,0,0
"Cluster_8580,contig_0 consensus mapping",909,2,5,16,18,19,0,0,0,1300,759,173,332,2171,4998,1853,2125,2773,1152,662,2896,0,1382,9,0,0,5,0,0,0,0,1,0,2,1598,0,0,1,2,11,4,33,10,0,0,0,1581,0,0,0,0,7,0,3,1,5,0,1
"Cluster_6975,contig_0 consensus mapping",1089,2,0,0,0,0,0,0,0,0,742,276,0,0,0,0,0,0,0,0,0,0,981,0,1,0,0,0,0,0,0,0,0,0,1556,3,1,0,0,0,0,0,0,10,0,0,1432,7,0,0,0,0,0,0,0,0,0,0
"Cluster_2678,contig_0 consensus mapping",647,0,0,0,0,0,0,0,0,0,464,160,0,0,0,0,0,0,0,0,0,0,960,0,1,0,0,0,0,0,0,0,0,0,838,0,0,0,0,0,0,0,0,0,0,0,1177,4,0,0,1,0,0,0,0,0,0,0
"Cluster_10227,contig_0 consensus mapping",449,25263,1349,1890,2408,1396,0,5,0,7,345,111,1,2,1,11,3,70,6,18,9,4,533,41,0,2,6,5,4,20,1,13,4,17201,717,5387,12962,21962,21967,17815,21574,16397,115409,45814,2,5,669,7,6,5,3,15,1,9,19,10,1,1
"Cluster_15751,contig_0 consensus mapping",620,0,0,0,0,0,0,0,0,0,554,96,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,1,0,0,853,0,0,0,0,0,0,0,0,0,0,0,949,2,0,0,0,0,0,0,0,0,0,1
"Cluster_5642,contig_0 consensus mapping",1084,0,1,0,0,0,0,0,0,0,597,138,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,1434,16,0,0,0,0,0,0,3,0,0,0,1419,0,0,0,0,2,0,0,0,0,0,0
"Cluster_6296,contig_0 consensus mapping",847,0,0,0,0,0,0,0,0,0,649,238,26,0,0,0,0,1,0,29,0,0,1110,0,0,0,0,0,0,0,0,0,0,0,1089,0,0,0,0,0,0,0,0,1,0,0,1249,5,0,0,0,0,0,1,3,0,0,0
"Cluster_8983,contig_0 consensus mapping",707,0,0,0,0,0,0,0,0,0,485,115,0,0,0,0,0,0,0,0,0,0,716,0,0,0,0,0,0,0,0,0,0,0,935,0,0,0,0,0,1,0,0,0,0,0,912,3,0,0,0,0,0,0,0,0,0,0
"Cluster_13509,contig_0 consensus mapping",724,0,0,0,0,0,0,0,0,0,594,100,0,0,0,0,0,0,0,0,0,0,651,0,2,0,0,0,0,0,0,0,0,0,1267,0,0,0,0,0,0,0,0,0,0,0,1454,9,0,0,0,0,0,0,0,0,0,0
"Cluster_13207,contig_0 consensus mapping",639,0,0,0,0,0,0,0,0,0,535,54,0,0,0,0,0,0,0,0,0,0,802,0,0,0,0,0,0,0,0,0,0,0,992,0,0,0,0,0,0,0,0,0,0,0,1124,0,0,0,0,0,0,0,0,0,0,0
"Cluster_12084,contig_0 consensus mapping",744,10343,8947,3603,4461,2692,0,0,0,6425,530,18856,23056,10252,5953,1969,2235,11148,1606,1497,2241,1,687,76,12,0,4,3,4,10,5,0,0,10270,900,6037,4969,7717,9467,8978,8480,9777,4,2,0,9,1027,18,15,3,420,104,158,16,10,65,0,0
"Cluster_740,contig_0 consensus mapping",575,0,0,0,0,0,0,0,0,0,454,189,0,0,0,0,0,0,0,0,0,0,760,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,989,13,0,0,0,0,0,0,0,0,0,0
"Cluster_7934,contig_0 consensus mapping",705,1,0,0,0,0,0,0,0,0,600,159,1,0,0,0,0,0,0,0,0,0,711,0,0,0,0,0,0,0,0,0,0,0,1037,0,0,0,0,0,0,0,0,0,0,0,1096,1,1,0,0,0,0,0,0,0,0,0
"Cluster_817,contig_0 consensus mapping",640,0,1,0,0,0,0,0,0,0,475,48,0,0,0,0,0,0,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0,1036,0,0,0,0,0,0,0,0,0,0,0,947,0,0,0,0,1,0,0,0,0,0,0
"Cluster_136,contig_0 consensus mapping",1180,1,0,0,0,0,0,0,0,0,903,103,0,0,0,0,0,0,0,0,0,0,1452,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,2090,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11127,contig_0 consensus mapping",579,0,0,0,0,0,0,0,0,0,504,76,0,0,0,0,0,0,0,0,0,0,742,0,0,0,0,0,0,0,0,0,0,0,893,0,0,0,0,0,0,0,0,0,0,0,919,0,0,0,0,0,0,0,0,0,0,0
"Cluster_1633,contig_0 consensus mapping",195,0,272,0,5,2,0,0,0,344,123,117,388,378,668,350,352,891,506,24,513,0,288,2,0,0,1,0,0,0,0,0,0,0,280,4,0,0,0,0,0,3,0,0,0,0,338,0,0,0,0,0,0,0,1,1,0,0
"Cluster_4247,contig_0 consensus mapping",1075,0,0,0,0,0,0,0,0,0,807,254,0,0,0,0,0,0,0,0,0,0,1580,5,0,0,0,0,0,0,0,0,0,0,1659,0,1,0,0,0,0,0,0,0,0,0,1544,0,0,0,0,0,0,0,0,0,0,0
"Cluster_19,contig_0 consensus mapping",803,0,0,0,0,0,0,0,0,0,577,106,0,0,0,0,0,0,0,0,0,0,773,5,0,0,0,0,0,0,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,1247,9,0,0,0,0,0,0,0,0,0,0
"Cluster_5750,contig_0 consensus mapping",545,0,0,0,0,0,0,0,0,0,530,58,0,0,0,0,0,0,0,0,0,0,803,0,0,0,0,0,0,0,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,0,894,0,0,0,0,0,0,0,0,0,0,0
"Cluster_2770,contig_0 consensus mapping",635,0,0,0,0,0,0,0,0,0,493,186,0,0,0,0,0,0,0,0,0,0,678,0,0,0,0,0,0,0,0,0,0,0,1035,5,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0
"Cluster_2888,contig_0 consensus mapping",1087,0,0,0,0,0,0,0,0,0,619,211,0,0,0,0,0,0,0,0,0,0,1216,0,0,0,0,0,1,0,0,0,0,0,1321,27,0,0,0,0,0,0,0,0,0,0,1270,1,0,0,0,0,0,0,0,0,0,0
"Cluster_8720,contig_0 consensus mapping",364,0,0,0,0,0,0,0,0,0,270,76,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,551,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11864,contig_0 consensus mapping",637,0,0,0,0,0,0,0,0,0,441,117,0,0,0,0,0,0,0,0,0,0,798,0,0,0,0,0,0,0,0,0,0,0,729,0,0,0,0,0,0,0,0,0,0,0,934,8,0,0,0,0,0,0,0,0,0,0
"Cluster_12828,contig_0 consensus mapping",846,1,0,0,0,0,0,0,0,0,600,280,0,0,0,0,0,0,0,0,0,0,870,0,0,0,0,0,0,0,0,0,0,0,1095,0,0,0,0,0,0,0,0,26,0,0,1135,0,0,0,0,0,0,0,2,0,0,1
"Cluster_13340,contig_0 consensus mapping",379,0,1,62,22,34,0,0,0,34,261,47,33,1466,2806,1747,1377,99,10016,888,1616,0,441,3,0,0,3,0,0,1,4,1,0,0,624,0,0,1,0,1,0,37,11,0,0,2,685,1,0,0,0,2,0,8,23,1,0,0
"Cluster_2829,contig_0 consensus mapping",341,0,0,0,0,0,0,0,0,0,216,127,0,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,459,0,0,0,0,0,0,1,0,0,0,0,506,0,0,0,0,0,0,0,0,0,0,0
"Cluster_8692,contig_0 consensus mapping",860,0,0,0,0,0,0,0,0,0,644,142,0,0,0,0,0,0,0,0,0,0,891,0,0,0,0,0,0,0,0,0,0,0,1235,0,0,0,0,0,0,0,0,0,0,0,1298,25,0,0,0,0,0,1,0,0,0,0
"Cluster_7,contig_0 consensus mapping",759,0,0,0,0,0,0,0,0,0,560,157,0,0,0,0,0,0,0,0,0,0,874,0,0,0,0,0,1,0,0,0,0,0,1091,0,0,0,0,5,0,0,0,0,0,0,1099,12,0,0,0,0,0,0,0,0,0,0
"Cluster_7778,contig_0 consensus mapping",644,1344,630,3,0,6,0,0,0,2,499,80,0,1,1,0,0,3,4,2,0,0,831,16,0,0,2,0,0,1,0,0,0,2375,924,1645,6017,3140,377,195,391,1917,1,0,0,0,1032,2,5,1,0,0,1,0,0,0,0,0
"Cluster_11024,contig_0 consensus mapping",609,25698,1279,2280,3408,2221,0,0,0,3,462,45,0,4,5,10,5,110,5,10,1,2,637,57,0,0,4,3,7,42,3,0,0,24970,798,987,6062,16384,17777,17781,17746,31440,16409,11,0,3,909,1,0,2,2,41,2,6,1,0,0,0
"Cluster_3646,contig_0 consensus mapping",722,0,0,0,0,0,0,0,0,0,637,14,0,0,0,0,0,0,0,0,0,0,812,2,0,0,0,0,0,0,0,0,0,0,1081,1,0,0,0,0,0,0,0,0,0,0,1056,0,0,0,0,0,0,0,0,0,0,0
"Cluster_15294,contig_0 consensus mapping",757,0,0,0,0,0,0,0,0,0,501,129,110,21,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,927,0,0,0,0,0,0,0,0,14,0,0,1058,0,0,0,0,0,0,0,0,0,0,0
"Cluster_172,contig_0 consensus mapping",350,0,0,0,0,0,0,0,0,0,275,43,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0,651,0,0,0,0,0,0,0,0,0,0,0
"Cluster_6411,contig_0 consensus mapping",703,0,0,0,0,0,0,0,0,0,552,145,0,0,0,0,0,0,0,0,0,0,849,9,0,0,0,0,0,0,0,0,0,0,924,9,0,0,0,0,0,0,0,0,0,0,1038,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11508,contig_0 consensus mapping",524,0,1,0,0,0,0,0,0,0,417,104,0,0,0,0,0,0,0,0,0,0,663,1,0,0,0,0,0,0,0,0,0,0,799,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,1
"Cluster_12143,contig_0 consensus mapping",625,9975,2057,350,456,328,0,0,0,14,491,101,4,4,2,0,1,12,8,11,0,1,849,55,4,2,1,0,4,25,1,0,0,21297,949,23584,13862,20755,5274,4325,5061,19160,9,2,2,0,1004,2,8,0,1,1,0,5,0,0,0,0
"Cluster_8890,contig_0 consensus mapping",368,3,691,23,23,26,0,0,0,2325,250,1612,3813,5728,12200,3813,4021,5000,2525,564,12327,0,449,5,0,3,8,0,0,1,1,1,0,4,541,0,0,1,2,0,0,23,23,1,0,2,543,5,0,1,0,2,1,6,8,27,0,1
"Cluster_2509,contig_0 consensus mapping",589,0,0,0,0,0,0,0,0,0,335,70,0,0,0,0,0,0,0,0,0,0,643,0,0,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0,0,0,0,0,0,738,0,0,0,0,0,0,0,2,0,0,0
"Cluster_12055,contig_0 consensus mapping",540,3,4110,88,48,41,0,0,0,1360,378,804,972,4886,6615,2965,3350,3194,2713,1104,2595,0,541,9,0,0,3,3,0,3,0,1,0,3,695,0,0,2,1,0,1,71,1,1,0,4,761,0,0,4,0,0,0,6,3,8,0,0
"Cluster_10816,contig_0 consensus mapping",663,0,0,0,0,0,0,0,0,0,553,90,0,0,0,0,0,0,0,0,0,0,979,0,0,0,0,0,0,0,0,0,0,0,1010,0,0,0,0,0,0,0,0,0,0,0,958,0,0,0,0,0,0,0,0,0,0,0
"Cluster_12667,contig_0 consensus mapping",845,8971,503,12571,14995,10050,0,0,0,17,692,276,2,5,1,10,4,173,29,127,0,3,1234,30,8,1,2,2,4,12,6,0,0,13404,1317,24820,48064,17591,15380,16802,11548,12841,13,20328,365,5,1323,3,30,5,7,22,5,14,3,84,0,0
"Cluster_8194,contig_0 consensus mapping",582,0,0,0,0,0,0,0,0,0,439,111,0,0,0,0,0,0,0,0,0,0,664,1,0,0,0,0,0,0,0,0,0,0,880,12,0,0,0,0,0,0,0,0,0,0,1009,0,0,0,0,0,0,0,0,0,0,0
"Cluster_180,contig_0 consensus mapping",590,0,4,0,0,0,0,0,0,0,505,245,0,0,0,0,0,0,0,0,0,0,905,0,0,0,0,0,0,0,0,0,0,0,931,0,0,0,0,0,0,0,0,0,0,0,1092,0,0,0,0,0,0,0,1,0,0,0
"Cluster_2046,contig_0 consensus mapping",560,0,0,0,0,0,0,0,0,0,466,226,0,0,0,0,0,0,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,753,0,0,0,0,0,0,0,0,0,0,0,799,0,0,0,0,0,0,0,0,0,0,0
"Cluster_9917,contig_0 consensus mapping",688,0,0,0,0,0,0,0,0,0,467,135,0,0,0,0,0,0,0,0,0,0,741,0,0,0,0,0,0,0,0,0,0,0,931,0,0,0,0,0,0,0,0,0,0,0,935,0,0,0,0,0,0,0,0,0,0,0
"Cluster_15822,contig_0 consensus mapping",437,574,843,27119,31294,20678,0,0,0,10,299,92,3,1,0,16,8,263,16,111,1,2,478,21,3,0,6,9,6,9,5,0,0,3769,511,4222,17558,7648,34872,23303,19383,6961,3406,12,0,11,540,4,10,0,14,40,5,20,8,614,0,0
"Cluster_15887,contig_0 consensus mapping",259,0,0,0,0,0,0,0,0,0,258,55,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0
"Cluster_9134,contig_0 consensus mapping",881,1,0,11,11,11,0,1,0,1689,666,1319,904,2920,7663,2276,2829,3299,1549,523,4889,0,1153,4,0,1,4,0,2,0,1,0,0,2,1288,0,0,1,0,0,0,12,1,0,0,1,1482,0,0,0,0,1,1,2,3,7,0,1
"Cluster_6538,contig_0 consensus mapping",1105,0,0,0,0,0,0,0,0,0,759,141,0,0,0,0,0,0,0,0,0,0,1314,0,0,0,0,0,0,0,0,0,0,0,1707,0,0,0,0,0,0,0,0,0,0,0,1694,0,0,0,0,0,0,0,0,0,0,0
"Cluster_12419,contig_0 consensus mapping",416,0,0,0,0,0,0,0,0,0,384,78,0,0,0,0,0,0,0,0,0,0,689,0,0,0,0,0,0,0,0,0,0,0,572,0,1,0,0,0,0,0,0,18,0,0,592,0,0,0,0,0,0,0,0,0,0,0
"Cluster_13669,contig_0 consensus mapping",617,3,0,3,3,0,0,0,0,315,423,111,86,133,12,37,5,564,0,0,25,0,546,0,0,0,0,0,0,0,0,0,0,0,737,13,0,0,0,0,0,4,0,0,0,0,794,0,0,0,0,0,1,1,0,0,0,0
"Cluster_13178,contig_0 consensus mapping",514,0,0,0,0,0,0,0,0,0,366,68,0,0,0,0,0,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0,777,0,0,0,0,0,0,0,0,0,0,0,749,0,0,0,0,0,0,1,0,0,0,0
"Cluster_5316,contig_0 consensus mapping",292,0,0,0,0,0,0,0,0,0,257,95,0,0,0,0,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,597,0,0,0,0,0,0,0,3,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0
"Cluster_6052,contig_0 consensus mapping",521,2,0,0,0,0,0,0,0,0,456,36,0,0,0,0,0,0,0,0,0,0,635,0,0,0,0,0,0,0,0,0,0,0,703,0,0,0,0,0,0,0,0,0,0,0,734,0,0,0,0,0,0,0,0,0,0,0
"Cluster_12771,contig_0 consensus mapping",634,0,0,0,0,0,0,0,0,0,582,174,0,0,0,0,0,0,0,0,0,0,892,0,1,0,0,0,0,0,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,941,0,1,0,0,0,0,0,0,0,0,0
"Cluster_4973,contig_0 consensus mapping",595,17345,658,318,309,272,0,0,0,10,414,179,4,2,4,0,0,2,11,4,0,1,686,11,4,0,2,0,0,8,0,0,0,6225,779,13907,19065,5753,621,918,1195,5047,12,0,0,6,965,2,8,2,0,0,0,2,4,0,0,0
"Cluster_9643,contig_0 consensus mapping",746,0,0,0,0,0,0,0,0,1,494,173,0,0,0,0,0,0,0,0,0,0,1717,0,0,0,0,0,0,0,0,0,0,0,1012,0,0,0,0,0,0,0,0,0,0,0,1018,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4060,contig_0 consensus mapping",498,500,4,49,75,40,1,1,0,4,327,94,3,1,2,1,2,5,15,0,0,13,515,19,6,1,0,1,1,1,14,29,0,2,632,3,26,2,2,1,3,28,14,1,0,26417,766,15429,21018,7451,5657,6516,3588,6733,2777,1195,1272,1
"Cluster_8222,contig_0 consensus mapping",366,0,0,0,0,0,0,0,0,0,339,73,0,0,0,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,638,2,0,0,0,0,0,0,0,0,0,0
"Cluster_9475,contig_0 consensus mapping",643,0,0,0,0,0,0,0,0,0,509,149,0,0,0,0,0,0,0,0,0,0,683,0,0,0,0,0,0,0,0,0,0,0,977,0,0,0,0,0,0,0,0,0,0,0,994,0,0,0,0,0,0,0,0,0,0,0
"Cluster_7159,contig_0 consensus mapping",979,15628,56264,34412,77712,42846,5330,56182,4041,11,647,180,10,41,168,13,19,53,189,45381,112,108774,801,147471,136561,150184,133966,81110,75724,158129,170263,79750,52389,54,1421,10,29,48,21,30,68,2556,80,89,69054,135,1384,34,42,78,14,99,38,40,78,16,109,15
"Cluster_1086,contig_0 consensus mapping",494,0,0,0,0,0,0,0,0,0,315,164,0,0,0,0,0,0,0,0,0,0,518,2,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,0,0,0,0,0,0,681,0,0,0,0,0,0,0,0,0,0,0
"Cluster_159,contig_0 consensus mapping",555,7282,2066,669,837,1768,0,1,0,3876,340,185,1461,6533,18319,8212,7435,8228,11757,2314,4184,0,734,12,0,0,15,1,1,3,8,3,2,6,759,0,0,1,1,2,1,126,16,2,1,7,730,6,1,1,1,5,2,25,5,13,1,0
"Cluster_928,contig_0 consensus mapping",306,0,0,0,0,0,0,0,0,0,208,14,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,452,1,0,0,0,0,0,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11971,contig_0 consensus mapping",395,0,0,0,0,0,0,0,0,0,294,114,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0,0,611,1,0,0,0,0,0,0,4,0,0,0
"Cluster_8129,contig_0 consensus mapping",479,0,0,0,0,0,0,0,0,0,381,96,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0,741,0,0,0,0,0,0,0,0,0,0,0,772,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4448,contig_0 consensus mapping",365,0,1,0,0,0,0,0,0,0,237,93,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,478,6,0,0,0,0,0,0,0,0,0,0,579,0,0,0,0,0,0,1,0,0,0,0
"Cluster_8433,contig_0 consensus mapping",665,0,0,0,0,0,0,0,0,0,476,191,0,0,0,0,0,0,0,0,0,0,641,0,1,0,0,0,0,0,0,0,0,0,839,0,0,0,0,0,0,0,11,0,0,0,996,0,0,0,0,0,0,1,0,0,0,0
"Cluster_12528,contig_0 consensus mapping",323,0,0,0,0,0,0,0,0,0,264,38,0,0,0,0,0,0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,465,3,0,0,0,0,0,0,0,0,0,0
