barcode,in.0bp5,in.0ap4,in.0a,in.0b,in.0c,bile19,bile20,brain20,kidney20,l1,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l2,l3,l4,l5,l6,l7,l8,l9,liver20,s1,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s2,s3,s4,s5,s6,s7,s8,s9,spleen20
"Cluster_2597,contig_0 consensus mapping",983,384,594,498,393,0,0,0,0,0,0,2141,0,0,0,0,3,0,0,3,0,0,0,3,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cluster_19697,contig_0 consensus mapping",1046,512,625,547,444,0,0,0,0,0,0,0,1116,0,0,0,14,0,0,0,0,0,2,0,0,0,9,0,1,0,0,11,0,0,0,1,0,2,0,15,0,11409,0,0,0,0,0,0,0
"Cluster_9967,contig_0 consensus mapping",932,441,611,500,392,0,0,0,0,0,0,7,0,0,0,3773,2,0,0,1353,0,6,0,0,0,1,2,0,1,0,2,1,0,0,5195,0,0,0,0,0,4,2,0,0,2,0,0,0,3
"Cluster_356,contig_0 consensus mapping",976,458,627,534,430,0,0,3,0,0,0,5,0,0,0,3565,1,0,2115,7,1,4,0,1,0,3,0,1,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0,2,3,0,0,0,3941
"Cluster_177,contig_0 consensus mapping",897,374,500,464,379,11,0,0,10,0,0,2689,6,0,0,0,0,0,0,3,0,3,7,0,0,0,0,0,3,0,0,0,0,0,0,8446,0,0,0,0,0,0,0,0,0,7,0,0,1
"Cluster_13894,contig_0 consensus mapping",935,406,565,518,435,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,3331,0,1,0,0,0,0,0,0,0
"Cluster_28495,contig_0 consensus mapping",796,372,507,448,348,4,0,0,1,0,0,4,2097,0,0,14,2,0,0,4,0,0,1,0,0,43,1,0,0,0,27392,1,0,0,0,2,0,2,11,2,26,0,1,0,3,0,0,1,1693
"Cluster_13560,contig_0 consensus mapping",878,378,540,428,417,0,1,0,0,0,0,2,0,0,834,0,2,1122,0,3,0,0,0,0,1,0,0,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2304
"Cluster_8135,contig_0 consensus mapping",784,367,453,420,313,0,0,0,0,0,0,1,0,0,1761,1884,4,1150,0,5,0,0,0,0,1,0,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1726
"Cluster_15156,contig_0 consensus mapping",890,426,495,466,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
"Cluster_23805,contig_0 consensus mapping",798,345,491,420,366,4,0,1,1,0,1,3291,2,9,0,0,1,409,1920,3,1,1,2,13,0,0,0,2,8,0,0,0,0,1,1,3166,15973,0,0,0,0,1,0,1,2,2,10,0,0
"Cluster_2917,contig_0 consensus mapping",851,357,514,399,355,6,0,0,3,0,0,0,4873,0,0,2567,0,0,0,0,0,0,5,0,0,7,0,0,3,0,5,0,0,0,0,2,0,0,8111,0,1,0,0,0,0,2,0,0,0
"Cluster_14617,contig_0 consensus mapping",744,378,404,370,276,0,0,0,0,0,0,0,0,0,0,0,3,0,0,88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,850,0,0,0,2,0,0,0,0,0,2,0,0,0
"Cluster_1583,contig_0 consensus mapping",780,334,418,443,333,0,0,0,0,0,0,0,0,0,0,907,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_25988,contig_0 consensus mapping",777,325,433,390,311,0,6,0,0,2,0,0,0,0,3789,0,0,5,0,0,0,0,0,0,5,0,0,0,2,1,0,1,4734,0,0,0,2,4,0,1,0,0,1,0,0,0,0,1,0
"Cluster_25010,contig_0 consensus mapping",1093,447,542,525,425,0,0,0,0,0,0,0,0,0,1048,0,13,0,0,0,0,1,0,0,0,0,12,0,1,1,0,5,0,0,1,0,0,1,0,12637,0,6,0,0,0,0,0,0,0
"Cluster_13421,contig_0 consensus mapping",854,406,511,439,351,1,2,5,0,0,7,0,0,0,2448,0,2,269,8943,0,6,0,0,0,3,0,14,1,0,1,0,0,0,6,0,0,0,2,0,0,0,0,0,4,0,0,0,2,0
"Cluster_5876,contig_0 consensus mapping",922,419,485,491,336,6,1,0,3,1,0,2221,2644,0,0,0,1,636,0,1,0,1,2863,0,0,0,0,1,23,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,2,0,0,1
"Cluster_25675,contig_0 consensus mapping",796,372,485,405,358,0,0,20,0,0,16,5,0,1502,62,0,0,0,2654,3,41,4,0,0,74357,0,0,0,1,68,0,0,0,25390,4906,0,1,45,0,0,0,0,0,15,2,0,0,38,4
"Cluster_26937,contig_0 consensus mapping",738,296,395,395,301,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,9912,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,6,0,0
"Cluster_6709,contig_0 consensus mapping",932,395,490,467,341,0,0,0,0,0,0,3404,0,16,0,0,4,0,0,3067,0,3,0,12,0,0,1,0,24,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,1,4,19756,0,4
"Cluster_25609,contig_0 consensus mapping",975,384,551,540,380,0,0,4,0,0,7,1423,0,0,3,0,0,0,6,0,12,3,0,0,4409,0,1,0,2,5,0,0,0,8585,0,0,0,4,0,1,0,0,0,4,0,0,0,0,2
"Cluster_98,contig_0 consensus mapping",761,356,449,477,364,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cluster_25751,contig_0 consensus mapping",800,358,504,412,360,0,1,0,0,0,0,0,0,0,0,0,0,641,1233,0,3,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Cluster_9731,contig_0 consensus mapping",906,350,511,471,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2026
"Cluster_9497,contig_0 consensus mapping",776,369,395,381,281,0,0,0,0,0,0,7069,0,0,0,0,7,249,0,6,0,3,0,0,0,0,4,0,2,0,0,2,1,0,2,0,0,0,0,5236,0,1,0,0,0,0,0,0,3
"Cluster_11352,contig_0 consensus mapping",828,373,461,402,293,3,0,0,0,0,0,2355,2101,0,0,0,2,249,0,2,0,2,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Cluster_13610,contig_0 consensus mapping",974,442,576,527,418,0,0,0,0,0,0,0,0,0,0,0,1,641,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cluster_20211,contig_0 consensus mapping",936,411,515,494,390,0,12,0,0,16,0,0,0,24,0,0,1,9,0,0,0,0,0,0,0,21,0,27603,3,0,0,0,12,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0
"Cluster_22307,contig_0 consensus mapping",825,360,452,389,297,0,0,1,0,0,2,0,0,819,0,0,0,0,1038,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,2209
"Cluster_7337,contig_0 consensus mapping",865,394,494,442,332,1,34,2,0,45866,3,0,0,0,2410,0,0,37,2924,2,2,1,0,33,1,0,1,31,1,2,0,3,22,0,0,0,0,0,0,2,0,2,35,1,0,0,0,0,581
"Cluster_10360,contig_0 consensus mapping",660,279,425,395,315,0,0,0,0,1,0,0,1124,0,0,0,3,1,0,0,0,0,1,0,0,0,21,0,0,0,0,0,1245,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"Cluster_30819,contig_0 consensus mapping",926,421,531,504,360,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_15602,contig_0 consensus mapping",904,392,576,493,431,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cluster_25395,contig_0 consensus mapping",913,376,571,473,374,0,0,0,0,0,0,2549,0,0,0,0,2,0,0,1,0,1,0,11,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"Cluster_26572,contig_0 consensus mapping",823,384,570,492,356,4,0,0,4,0,0,0,4520,0,3199,0,17,0,0,1,0,1,2,0,1,0,13,0,0,1,0,3,0,0,0,0,0,1,0,6,0,8931,0,0,0,1,0,0,0
"Cluster_23926,contig_0 consensus mapping",724,353,433,367,293,0,0,0,0,0,0,0,0,0,0,0,4,322,0,0,0,0,0,0,0,0,2,0,110,0,0,2,0,0,0,0,0,0,0,4,0,3343,1,0,0,0,0,0,0
"Cluster_13586,contig_0 consensus mapping",888,454,526,485,385,0,0,0,0,0,0,1399,0,0,0,1770,1,0,0,1,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Cluster_26120,contig_0 consensus mapping",1105,401,568,526,411,4,0,0,6,0,0,4,4821,0,1,2156,6,0,0,9,0,5741,1,0,0,0,2,0,1,0,1,0,0,0,1,731,0,0,0,1502,1,2,0,4,2,2,0,0,4
"Cluster_248,contig_0 consensus mapping",968,422,597,523,399,44,0,0,38815,1,0,4026,17,0,0,2325,3,957,1,1,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,1,0,0,0,2,22,0,0,0
"Cluster_361,contig_0 consensus mapping",842,352,494,434,348,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_25739,contig_0 consensus mapping",694,269,310,347,294,1,0,0,0,0,0,1,1164,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,219
"Cluster_3940,contig_0 consensus mapping",748,339,403,360,307,0,0,0,0,0,1,0,0,835,0,0,3,0,1214,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cluster_24354,contig_0 consensus mapping",650,368,414,366,284,0,0,0,0,0,0,1471,0,0,0,0,1,68,0,7,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4404,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"Cluster_7001,contig_0 consensus mapping",791,345,419,417,305,0,15,0,0,10,0,1099,0,0,0,0,2,12,0,9,0,4,0,0,0,0,43,12,0,0,0,1,14256,0,4,0,10,0,0,1,0,0,2,0,2,0,0,0,4928
"Cluster_27033,contig_0 consensus mapping",756,346,416,417,299,0,0,2,0,0,3,0,0,0,6913,0,1,0,2708,3,2,1,0,0,2,0,1,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,3,2,0,0,1,2855
"Cluster_4979,contig_0 consensus mapping",921,403,572,472,370,0,1,0,0,0,0,0,0,0,0,4,0,624,0,0,0,0,40,32,0,3,0,0,3,0,2,0,1,0,0,0,0,0,7288,1,2,0,0,0,0,0,0,0,0
"Cluster_9871,contig_0 consensus mapping",1103,469,679,602,503,2,0,0,0,0,2,1,3429,0,5228,0,3,0,0,1,5,0,3,0,12638,0,0,0,6,12,0,0,0,0,2,0,0,7,0,1,0,0,0,0,4,0,0,13,2488
"Cluster_19748,contig_0 consensus mapping",1006,445,597,542,398,0,0,0,0,0,0,0,2,6056,0,5655,2,0,0,0,0,0,0,3,0,5,2,0,6,0,1,1,0,0,0,0,3,0,4,0,3,2,0,0,0,0,0,0,0
"Cluster_29127,contig_0 consensus mapping",1049,403,618,503,433,0,0,0,0,0,0,0,0,0,0,0,1,0,104,0,0,0,0,0,0,0,2,0,36,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Cluster_11669,contig_0 consensus mapping",801,343,424,391,342,4,0,0,1,0,0,0,3714,0,0,1400,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0
"Cluster_4538,contig_0 consensus mapping",903,454,563,471,392,1,0,0,0,0,0,0,890,0,0,0,8,0,0,0,0,0,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,4583,0,2,0,0,0,0,0,0,0
"Cluster_7379,contig_0 consensus mapping",803,387,419,378,305,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,990,0,0,4,2,0,1,0,2,0,0,0,0,0,0,0,5773,1,4,0,0,0,0,0,0,0,0
"Cluster_8473,contig_0 consensus mapping",953,444,593,521,398,0,1,0,0,0,0,0,0,0,0,16,2,2017,0,0,0,0,0,0,0,11,0,0,0,0,9,0,2,0,0,0,0,0,8,0,17891,2,0,0,0,0,0,0,0
"Cluster_12815,contig_0 consensus mapping",722,348,421,404,311,5,0,0,0,0,0,0,1396,366,2522,0,0,0,0,0,0,0,1,0,2,0,6,0,1,2,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
"Cluster_21047,contig_0 consensus mapping",824,374,538,540,310,0,0,0,0,0,0,0,0,0,0,2091,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Cluster_26923,contig_0 consensus mapping",707,361,427,389,322,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cluster_29832,contig_0 consensus mapping",910,452,560,463,414,0,0,0,0,0,0,11,0,0,0,0,2,534,0,15,0,13,0,0,0,0,1,0,4,0,0,1,0,0,4488,0,0,0,0,0,0,0,0,0,8936,0,0,0,13
"Cluster_18879,contig_0 consensus mapping",980,443,503,508,387,0,11,1,0,13081,0,0,0,0,0,2762,1,12,1982,0,2,0,0,10,0,3,3,8,0,0,1,1,7,1,0,0,0,0,1,1,2,0,6,0,0,0,0,0,0
"Cluster_30773,contig_0 consensus mapping",921,381,654,484,380,1,0,0,0,0,0,1763,2082,0,1,2231,0,0,0,1,0,1,0,0,0,4,2,0,16,0,0,0,0,0,1,0,0,0,4773,0,5,0,0,0,0,1,0,0,1
"Cluster_12383,contig_0 consensus mapping",909,385,501,448,374,0,7,0,0,3,0,0,0,77,0,0,1,9,33,0,0,0,0,0,0,0,1,10524,9,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
"Cluster_3370,contig_0 consensus mapping",770,300,405,398,303,0,0,0,0,0,0,5323,0,679,2,0,6,0,0,9,0,7,0,2,2,0,1,0,3,1,0,3,0,0,3592,0,1,2315,0,6039,0,5,0,0,3,0,1,6,15
"Cluster_30625,contig_0 consensus mapping",705,303,375,361,279,4,0,0,3,0,0,0,2300,616,0,3548,4,0,1074,0,0,0,1,0,0,1,1,0,2,0,2,1,0,1,0,1,0,0,0,1666,2,0,0,0,0,0,0,0,0
