"","vc1","vc2","vc3","vc4","vc5","vc6","vc7","vc8","vc9","vc10","vc11","vc12","vc13","vc14","vc15","vc16","vc17","vc18","vc19","vc20","vc21","vc22","vc23","vc24","vc25","vc26","vc27","vc28","vc29","vc30","vc31","vc32","vc33","vc34","vc35","vc36","vc37","vc38","vc39","vc40","vc41","vc42","vc43","vc44","vc45","vc46","vc47","vc48","vc49","vc50","vc51","vc52","vc53","vc54","vc55","vc56","s1_vc5","s2_vc5","s3_vc5","s4_vc5","s5_vc5","s6_vc5","s7_vc5","s8_vc5","s9_vc5","s10_vc5","s11_vc5","s12_vc5","s13_vc5","s14_vc5","s15_vc5","s16_vc5","s17_vc5","s18_vc5","s19_vc5","s20_vc5","s21_vc5","s22_vc5","s23_vc5","s24_vc5","s25_vc5","s26_vc5","s27_vc5","s28_vc5","s29_vc5","s30_vc5","s31_vc5","s32_vc5","s33_vc5","s34_vc5"
"vc1","0","0.0606220409881815","0.843087615171625","0.824583942082125","0.862320822976398","0.860342326675112","0.877749690444403","0.877749690444403","0.877749690444403","0.838817017689031","0.838339692504658","0.834028772265864","0.881297329357661","0.849521294935421","0.852916070128973","0.852916070128973","0.814619884713151","0.852916070128973","0.867687288509188","0.839477581579545","0.852916070128973","0.853570374653301","0.80726182185451","0.858864648916875","0.833370778764013","0.839877019382646","0.856792077474274","0.81965779973836","0.856792077474274","0.826349850759031","0.842300136401417","0.856792077474274","0.852864891417699","0.820570984305728","0.820570250969095","0.829844704815877","0.834665542658664","0.849783156765561","0.849783156765561","0.828085362744813","0.830282668415969","0.861983816771936","0.806410606669159","0.783209763065311","0.821597719251635","0.805218243514335","0.84361878349507","0.823906353126843","0.742637553126295","0.850085434122755","0.789523558429013","0.822739571999232","0.851727021738352","0.846364627168745","0.851727021738352","0.826499915184226","0.861399420021734","0.861399420021734","0.861399420021734","0.827470724530689","0.792108691658956","0.795181378004462","0.779431864230756","0.720947740163052","0.844792383699755","0.777149456169748","0.861399420021734","0.865859932633292","0.865859932633292","0.865859932633292","0.869343919217355","0.853085631481685","0.836817236317582","0.785836125458919","0.839245351798388","0.869343919217355","0.824087555506856","0.724204478234536","0.871417840139554","0.856606125497888","0.837980445712426","0.772290196107587","0.818575932926014","0.794464797916184","0.773129630137831","0.793690163247657","0.828185126158725","0.815065142572478","0.79564099681078","0.0728818730886413"
"vc2","0.0606220409881815","0","0.837243833444279","0.814840371710939","0.854122941528031","0.849739285875198","0.880358585640399","0.880358585640399","0.880358585640399","0.83149107044231","0.839478628881452","0.828544501554462","0.878225755593519","0.843475258254068","0.847511913638363","0.847511913638363","0.812025296716968","0.847511913638363","0.870019583746308","0.839589387873038","0.847511913638363","0.854371517254703","0.805504032904368","0.854378976197631","0.836055279023064","0.83674339386384","0.858248649532681","0.819359260759247","0.858248649532681","0.826575805091696","0.843647830866444","0.858248649532681","0.853867470203143","0.820639838360957","0.820659826514487","0.828592977007736","0.832576256822087","0.849288287348093","0.849288287348093","0.828260118470619","0.824981689109068","0.856076132219258","0.808693420478279","0.779854332379156","0.821906572058916","0.805265583437787","0.845488844565558","0.824831003964615","0.744818409834633","0.844848086394971","0.794451026635829","0.82329294416158","0.854891294334837","0.848744731392613","0.854891294334837","0.826584432747524","0.859651746348589","0.859651746348589","0.859651746348589","0.828100869300091","0.792431897426776","0.79483173958493","0.777425921745927","0.7254697778639","0.847813639325607","0.774776789991556","0.859651746348589","0.868121138767132","0.868121138767132","0.868121138767132","0.86762785556142","0.85308037998473","0.835507032587911","0.781920990880102","0.837651220637895","0.86762785556142","0.823077681807994","0.721485216772145","0.873873843051255","0.859295683956738","0.840767767491694","0.772439884070192","0.819729470890771","0.78929801482221","0.773537795648352","0.788901218253642","0.822272334993732","0.817540532670314","0.79591815527852","0.0706459041902744"
"vc3","0.843087615171625","0.837243833444279","0","0.507488562027791","0.37766156136063","0.494452479028497","0.648864280555077","0.648864280555077","0.648864280555077","0.614077156312067","0.900316316157106","0.449726859606618","0.708307578440821","0.8571146057144","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.894371307674229","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.894644461535201","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.892999502163764","0.88523896182905","0.883022401005628","0.900316316157106","0.900316316157106","0.889902099252068","0.900316316157106","0.900316316157106","0.900316316157106","0.888838561715109","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.8742576536857","0.889105086136977","0.845046013454688","0.816311777009172","0.890037129515731","0.900316316157106","0.865847417047548","0.893722239812037","0.844170431339334"
"vc4","0.824583942082125","0.814840371710939","0.507488562027791","0","0.53881643050204","0.258525838366688","0.891524595909563","0.891524595909563","0.891524595909563","0.492459195055888","0.77789700309986","0.474196333974052","0.655213205379758","0.846669825371694","0.900316316157106","0.900316316157106","0.886456097226767","0.900316316157106","0.900316316157106","0.872913693055823","0.900316316157106","0.882608112281127","0.897302609122992","0.891741886413455","0.896466849542617","0.899958048471691","0.885033243586829","0.887375920128818","0.885033243586829","0.889689781285347","0.900316316157106","0.885033243586829","0.883993625315432","0.886793919649314","0.890181098161044","0.880991330928541","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.898975834445685","0.890094221254116","0.870475849503525","0.870151740944224","0.850772740142376","0.880368773085721","0.881619445564999","0.872606334089008","0.900316316157106","0.893032198202672","0.866744605076263","0.87983025875498","0.88003840787341","0.87983025875498","0.884964211061834","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.890357094306097","0.900316316157106","0.895305938393757","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.876287704899587","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.897750039707841","0.900316316157106","0.898539390730097","0.900316316157106","0.898660688531705","0.900316316157106","0.825583868565951"
"vc5","0.862320822976398","0.854122941528031","0.37766156136063","0.53881643050204","0","0.499921206253788","0.632145127106474","0.632145127106474","0.632145127106474","0.517916779167951","0.900316316157106","0.661887163043486","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.897889716167904","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.894137619773366","0.889997966315107","0.889598548023335","0.900316316157106","0.900316316157106","0.889325982620346","0.900316316157106","0.900316316157106","0.900316316157106","0.893534115429576","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.863864391162899"
"vc6","0.860342326675112","0.849739285875198","0.494452479028497","0.258525838366688","0.499921206253788","0","0.900316316157106","0.900316316157106","0.900316316157106","0.600400945084067","0.900316316157106","0.53341617053995","0.688738396149579","0.853185309224619","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.8926536749344","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.894140694505465","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.8961847699475","0.885291255805954","0.883534909795903","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.888839526721082","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.861414916113763"
"vc7","0.877749690444403","0.880358585640399","0.648864280555077","0.891524595909563","0.632145127106474","0.900316316157106","0","0","0","0.833331150137003","0.900316316157106","0.736949874220394","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.895419010597728","0.893993525020734","0.89519887322539","0.900316316157106","0.900316316157106","0.878507466999619","0.900316316157106","0.900316316157106","0.900316316157106","0.896050067850055","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.879308030228079"
"vc8","0.877749690444403","0.880358585640399","0.648864280555077","0.891524595909563","0.632145127106474","0.900316316157106","0","0","0","0.833331150137003","0.900316316157106","0.736949874220394","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.895419010597728","0.893993525020734","0.89519887322539","0.900316316157106","0.900316316157106","0.878507466999619","0.900316316157106","0.900316316157106","0.900316316157106","0.896050067850055","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.879308030228079"
"vc9","0.877749690444403","0.880358585640399","0.648864280555077","0.891524595909563","0.632145127106474","0.900316316157106","0","0","0","0.833331150137003","0.900316316157106","0.736949874220394","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.895419010597728","0.893993525020734","0.89519887322539","0.900316316157106","0.900316316157106","0.878507466999619","0.900316316157106","0.900316316157106","0.900316316157106","0.896050067850055","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.879308030228079"
"vc10","0.838817017689031","0.83149107044231","0.614077156312067","0.492459195055888","0.517916779167951","0.600400945084067","0.833331150137003","0.833331150137003","0.833331150137003","0","0.900316316157106","0.71520279166826","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.896457980040175","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.896653806412288","0.89099902246908","0.893080144242208","0.900316316157106","0.900316316157106","0.897224339974584","0.900316316157106","0.900316316157106","0.900316316157106","0.893786772111538","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.890173381034735","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.884143065045619","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.839826135366627"
