barcode,vc1,s61_vc12,s40_vc16,s41_vc16,s34_vc5,s1_vc08,s10_vc08,s11_vc08,s12_vc08,s13_vc08,s14_vc08,s15_vc08,s16_vc08,s17_vc08,s18_vc08,s19_vc08,s2_vc08,s20_vc08,s21_vc08,s22_vc08,s23_vc08,s24_vc08,s25_vc08,s26_vc08,s27_vc08,s28_vc08,s29_vc08,s3_vc08,s30_vc08,s31_vc08,s32_vc08,s33_vc08,s34_vc08,s35_vc08,s36_vc08,s37_vc08,s38_vc08,s39_vc08,s4_vc08,s40_vc08,s41_vc08,s42_vc08,s43_vc08,s44_vc08,s45_vc08,s46_vc08,s47_vc08,s48_vc08,s49_vc08,s5_vc08,s50_vc08,s51_vc08,s52_vc08,s53_vc08,s54_vc08,s55_vc08,s56_vc08,s57_vc08,s58_vc08,s59_vc08,s6_vc08,s60_vc08,s61_vc08,s62_vc08,s63_vc08,s64_vc08,s7_vc08,s8_vc08,s9_vc08,s1_vc12,s10_vc12,s11_vc12,s12_vc12,s13_vc12,s14_vc12,s15_vc12,s16_vc12,s17_vc12,s18_vc12,s19_vc12,s2_vc12,s20_vc12,s21_vc12,s22_vc12,s23_vc12,s24_vc12,s25_vc12,s26_vc12,s27_vc12,s28_vc12,s29_vc12,s3_vc12,s30_vc12,s31_vc12,s32_vc12,s33_vc12,s34_vc12,s35_vc12,s36_vc12,s37_vc12,s38_vc12,s39_vc12,s4_vc12,s40_vc12,s41_vc12,s42_vc12,s43_vc12,s44_vc12,s45_vc12,s46_vc12,s47_vc12,s48_vc12,s49_vc12,s5_vc12,s50_vc12,s51_vc12,s52_vc12,s53_vc12,s54_vc12,s55_vc12,s56_vc12,s57_vc12,s58_vc12,s59_vc12,s6_vc12,s60_vc12,s61_vc12,s62_vc12,s63_vc12,s64_vc12,s7_vc12,s8_vc12,s9_vc12
lm11 mapping,1738,9090,2190,3872,1466,1346,14,7,3,0,2,2,4471,1720,216,180,711,2756,1032,1196,48,130,251,46708,278,251,611,0,3,7453,73,173,262,390,661,4210,11,3947,3,3,4,27,3,46,0,6263,44,164,183,3,414,477,265,87,181,54,1,71,271,145,1426,260,0,2,6,946,787,5,1,0,11,705,1191,17,0,1935,191,0,0,2766,0,3916,9645,0,1539,1823,0,0,0,211,14,0,0,1,257,0,11,0,2247,0,0,0,588,0,0,0,0,546,15,0,0,166,30,0,15,18,4598,0,0,0,600,18867,5495,33681,0,16974,9090,68,1472,113,0,752,6
lm12 mapping,1355,6268,2498,953,996,2169,0,1,0,6710,0,2,443,1,1,63,1,76,23,22,5,65,2,132,1,111,121,2,1,5179,19,72,236,266,124,260,3,127,238,164,35,1,5,530,1,4531,21,109,44,324,91,23,76,39,34,24,3,11,40,94,72,313,3338,1,1083,1494,4,0,0,0,29,0,0,2,0,0,8,0,0,0,0,971,0,0,683,117,0,0,0,52048,0,0,0,0,0,0,80,0,14,0,0,0,21,108,0,24485,0,30,0,0,0,541,23,0,79,0,44,1,0,0,0,14985,14005,3732,0,1763,6268,0,0,82,0,0,18
lm13 mapping,172,1577,68,1631,201,66,1,0,1,0,1,1,757,198,54,5,0,357,174,893,1,0,1,0,4,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,984,29,26,43,0,22,9,62,5,2,1,1,49,117,63,0,116,0,0,0,50,342,0,0,0,3,2,0,4,0,1,0,0,3,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,16,0,1,0,5,7,0,1,0,0,0,660,2414,6113,0,0,1577,90,29,4,0,0,0
lm14 mapping,1021,5450,1363,2040,1035,1732,6,18,6,24,6,1,1532,60281,9884,18146,6,10824,43024,2076,3135,5538,4530,445,25055,645,15266,18,4162,3925,139,71,395,2869,317,1148,50,560,6,30,193,13,1377,215,39,5919,26,80,91,21,112,66,314,396,284,32,1,70,216,135,8,592,1780,785,1172,1266,364,2,22,0,0,0,0,14,170476,0,186,0,0,1,0,282,0,478,0,1,0,0,0,2154,0,0,106,0,0,0,12,0,29,0,0,0,91,669,0,0,0,0,1,46,0,0,9,0,16,0,2,0,0,0,4002,6716,4775,2061,0,1918,5450,0,90,1320,0,7,0
lm15 mapping,409,2276,0,355,476,1461,0,0,0,0,0,0,1143,190,16,66,0,569,102,342,62,717,0,0,0,139,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,291,8,4,18,417,41,1,28,26,57,0,4,5,0,0,1,1,0,0,1,1093,781,1,0,0,0,0,0,3,0,0,0,1,0,3,0,0,0,0,0,30,0,0,2,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,3,1,0,0,2,0,0,4,1,3,1,0,1,267,0,4084,0,970,2276,27,0,100,0,1,0
lm16 mapping,760,2797,497,6157,862,1815,1,0,2,10,4,3,297,1718,2,83,0,207,67,639,22,2,1,119,0,6,16234,3,1,2238,25,1,279,0,2,48,3,1015,614,1,1,0,0,1,232,1508,5,25,29,515,198,7,39,19,2,5,2,32,0,0,269,0,1543,1694,0,1323,683,0,4,0,14,10,3,1,0,0,22,0,0,897,0,329,0,0,0,1749,0,0,0,0,0,1157,0,0,1109,0,13,0,5,0,0,0,7,0,9,0,19,0,3,0,0,0,3,0,11,0,7,0,0,0,2913,6789,8536,14062,0,3860,2797,0,0,0,0,76,10
lm17 mapping,612,5121,749,482,655,1413,2,6,0,20,2,1,1132,3898,1719,872,0,3861,58815,4894,1287,6861,773,124,4418,500,2118,5,540,2932,122,90,0,268,167,63,5,175,3,6,4,0,1,2,25,1240,7,6,30,38,47,36,14,34,2,35,0,18,51,0,3,4,4246,0,1,1023,1781,4,3,0,111,7,168,11,0,0,0,0,0,0,121452,591,0,0,0,13829,0,0,0,2174,6,0,0,1,0,0,16076,0,2,0,0,0,0,290,0,0,0,611,0,0,0,329,0,0,139,3,21,9,0,0,0,143,6654,8958,0,6454,5121,0,6,0,0,0,0
lm18 mapping,839,4018,270,2706,817,3983,11451,12642,20065,48351,220347,21871,653,343,34,41,83026,603,66,169,13,45,280,20,28,58,35,97882,81,3447,128,84,136,331,5757,137,164,31,130103,14,31,75,88,98,89,1823,60,92,43,68897,121,62,92,52,146,40,16,38,95,76,41570,69,50,79,9,2876,30983,64029,38223,0,6,0,0,7,0,1,0,11,2545,12,0,3006,0,0,0,0,0,0,7,0,7,0,0,6,0,0,30,305,11,0,0,0,14,0,42,0,112,0,0,0,0,269,67607,0,24,0,4,0,0,5728,149,9776,10308,19073,0,4748,4018,0,0,0,0,58,103
lm19 mapping,143,1644,0,2265,202,0,0,0,0,0,1,0,25,58,1079,0,1,129,0,383,0,0,0,1,0,0,0,0,0,335,0,0,0,56,0,0,0,0,0,0,0,1,0,0,0,427,2,0,0,0,105,8,56,0,0,11,0,0,0,48,0,0,0,1,0,0,0,0,0,0,30110,0,0,0,0,0,0,0,0,0,0,109,0,0,0,58,0,0,0,0,0,0,0,0,0,0,66,0,2,0,0,0,7,0,0,0,0,0,1,0,0,738,0,0,64,0,7,0,0,0,1,0,4060,568,0,4053,1644,2,3,0,1,2,0
lm20 mapping,295,1449,350,1454,287,809,0,0,1,0,0,1141,1,0,0,0,0,5,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,495,20,68,13,559,93,22,3991,13,0,4,0,68,78,41,0,38,1,0,1,545,1,1,0,0,43,0,0,4,0,0,9,0,0,0,0,201,0,0,0,356,0,0,0,0,0,0,1,0,0,0,41,0,899,0,0,0,4,0,0,26035,0,476,0,0,0,0,0,0,27,0,7,1,0,0,2,0,2380,487,0,2366,1449,142,51,49,0,0,0
