barcode,vc1,s61_vc12,s40_vc16,s41_vc16,s34_vc5,s1_vc08,s10_vc08,s11_vc08,s12_vc08,s13_vc08,s14_vc08,s15_vc08,s16_vc08,s17_vc08,s18_vc08,s19_vc08,s2_vc08,s20_vc08,s21_vc08,s22_vc08,s23_vc08,s24_vc08,s25_vc08,s26_vc08,s27_vc08,s28_vc08,s29_vc08,s3_vc08,s30_vc08,s31_vc08,s32_vc08,s33_vc08,s34_vc08,s35_vc08,s36_vc08,s37_vc08,s38_vc08,s39_vc08,s4_vc08,s40_vc08,s41_vc08,s42_vc08,s43_vc08,s44_vc08,s45_vc08,s46_vc08,s47_vc08,s48_vc08,s49_vc08,s5_vc08,s50_vc08,s51_vc08,s52_vc08,s53_vc08,s54_vc08,s55_vc08,s56_vc08,s57_vc08,s58_vc08,s59_vc08,s6_vc08,s60_vc08,s61_vc08,s62_vc08,s63_vc08,s64_vc08,s7_vc08,s8_vc08,s9_vc08,s1_vc12,s10_vc12,s11_vc12,s12_vc12,s13_vc12,s14_vc12,s15_vc12,s16_vc12,s17_vc12,s18_vc12,s19_vc12,s2_vc12,s20_vc12,s21_vc12,s22_vc12,s23_vc12,s24_vc12,s25_vc12,s26_vc12,s27_vc12,s28_vc12,s29_vc12,s3_vc12,s30_vc12,s31_vc12,s32_vc12,s33_vc12,s34_vc12,s35_vc12,s36_vc12,s37_vc12,s38_vc12,s39_vc12,s4_vc12,s40_vc12,s41_vc12,s42_vc12,s43_vc12,s44_vc12,s45_vc12,s46_vc12,s47_vc12,s48_vc12,s49_vc12,s5_vc12,s50_vc12,s51_vc12,s52_vc12,s53_vc12,s54_vc12,s55_vc12,s56_vc12,s57_vc12,s58_vc12,s59_vc12,s6_vc12,s60_vc12,s61_vc12,s62_vc12,s63_vc12,s64_vc12,s7_vc12,s8_vc12,s9_vc12
lm31 mapping,464,3789,507,3181,507,2635,0,808,0,0,2,1,3249,189,560,149,1,116,106,627,120,283,2,94,332,103,1545,2,0,697,0,2,0,4,1,0,0,5,3,2,4,0,0,1,2,1081,1,32,81,0,42,24,196,1,1,34,3,8,131,0,1,178,0,0,1276,1704,3,2,3,0,0,191,0,4,0,0,0,0,0,1,0,0,0,1,15,71,0,0,0,1,4,1001,0,0,0,0,1,0,1,0,0,0,0,403,0,0,0,0,0,0,0,0,10,0,0,9,0,1,0,1,144,2903,0,8019,0,920,3789,0,46,0,0,0,4
lm32 mapping,1327,7944,3540,102,1484,1681,2,0,0,2,1,1,2832,931,920,207,2,471,879,1338,0,186,0,0,2,3,3669,0,1114,2593,1407,10,760,2207,297,662,5,1,1,5,4,4,0,0,2,4323,52,143,47,4,512,93,325,95,123,96,7,81,114,103,1,188,2295,1330,0,1260,354,1,2,0,11,0,0,9,15271,0,0,0,554,0,0,2821,0,0,802,40858,0,0,0,0,7,0,8,0,148,0,31,0,14176,0,0,0,335,8407,0,0,138,843,5,0,0,1453,7,0,501,0,26,2,0,4413,1323,11185,9340,11834,0,7147,7944,112,202,217,0,2078,11
lm33 mapping,494,1401,1342,298,447,130,0,0,0,0,1,1,982,0,1,0,0,229,29,197,50,0,0,15,0,0,0,289,0,212,0,0,0,0,2,1,1,0,424,0,1,0,0,0,276,251,0,0,10,211,0,0,6,13,2,2,0,4,0,0,537,1,1,1022,0,91,707,0,0,0,3,1424,0,0,0,0,1,0,1,43,0,65,0,0,413,0,0,0,0,0,2,414060,0,0,280,0,2,0,6,0,0,0,3811,0,0,0,0,103,0,0,0,0,3,0,1,0,236,0,0,4739,0,2240,2008,3930,0,7938,1401,0,0,54,11363,0,1
lm34 mapping,678,5170,1214,2319,634,1228,1,0,34,1,1,6133,1170,818,254,228,2,2270,2814,336,271,17608,0,239,1115,254,695,1,364,7,5,0,0,0,25,4,1,7,32,7,0,1,1,36,4,2947,23,115,21,2,274,43,47353,338,43,7,10,24,20,107,296,196,1642,0,503,962,6,4,3,0,7,0,0,4,11923,0,0,0,7818,0,0,53,0,3,0,118,0,0,0,8070,0,0,4,0,0,0,24,0,3,0,6,3,3,2,1,0,0,203,9,0,0,15,0,0,30,0,7,0,0,5056,0,1779,4673,2607,0,1420,5170,20,80,1180,0,3,1
lm35 mapping,1319,7761,3291,1577,1215,2006,18,10,10,0,5,0,1662,203,1693,687,12,12564,198,12505,157,1931,1190,15333,40,609,1324,2,2704,573,4,30,11742,5626,14,162,20,2,9,5,2,8,5,5,6,3483,34,12,38,2,253,52,222,68,78,136,5,49,52,171,158,440,2,1729,0,1462,670,989,3,0,3,1035,36,12,0,0,0,14011,0,0,0,98,0,0,0,0,0,0,0,0,4,0,0,0,917,0,5,0,1935,0,0,0,1,442,1,0,0,600,2,0,0,1356,9,0,12,0,6,0,0,0,12100,6472,3900,9792,0,2542,7761,70,95,198,0,74,10
lm36 mapping,731,4582,1191,2336,611,2627,0,0,1,0,0,1,1100,217,2283,113,3,1882,151,410,396,1,119,1,0,2,0,0,0,5910,1,37,1,87,4,0,0,3,1,1,1,2,1,0,0,240,1,1,2,0,0,5,46,0,0,6,3,0,0,360,303,2,0,0,1,1996,1,1,0,0,2,2,0,4,0,0,2,0,0,0,0,52398,0,0,0,0,0,0,0,0,5,1143,0,0,0,0,7,448,1479,0,0,0,78,0,0,0,0,255,4,0,0,0,4,0,9,5,68,0,0,0,0,6462,2911,13259,0,1408,4582,0,0,0,0,0,2
lm37 mapping,795,5931,1850,825,815,95,0,0,1,0,1,0,532,16397,0,33,1,70,4,102,0,0,4,13,3,0,1,1,1,1146,0,4,0,43,106,0,0,132,0,0,8,0,0,1,0,3448,33,71,46,1,481,286,201,108,0,23,0,28,40,199,0,306,0,0,2,69,0,0,3,0,1400,0,0,7,0,1015,0,0,0,3154,0,0,0,0,615,41,2,0,0,0,4,6,0,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,4,227,1,5,0,3,0,2378,2416,12230,0,1647,5931,99,883,312,6,0,2
lm38 mapping,1261,7318,905,1815,1004,2663,2,0,2,0,1,0,494,110,3,56,2,114,405,344,424,2,1,7636,1,159,0,0,144,4446,12,153,6,96,1,39,0,2,1909,545,2,98,0,2,1,248,3,39,0,0,10,5,39,0,1,3,5,9,47,0,0,1,0,0,711,2016,4,0,1,0,0,0,365,118986,0,348,0,972,0,376,0,1780,21339,0,0,327,31291,0,0,13380,100,1583,0,53,454,0,0,98,1105,0,0,0,308,1054,6528,0,0,779,201,0,0,747,44291,52728,11,0,321,31539,0,0,416,6405,1,3448,0,9146,7318,0,0,0,0,253,111
lm39 mapping,1029,5329,2382,1681,944,3021,0,1,0,84,1,0,620,104,189,95,0,262,145,469,0,32,0,1,6,535,53,420,3,133,0,0,0,64,95,233,2,1,1,2,232,0,0,0,96,1246,115,181,865,79,112,257,70,124600,947,146,2,218,452,934,0,479,144,3,0,2241,429,1,3,0,3,0,0,6,13272,0,0,6,0,1527,0,0,0,10,0,0,0,0,0,1,4,0,2,0,0,0,2,0,1,0,0,0,0,0,4,0,220,0,1,3,0,0,13,0,0,0,229,0,0,9696,170,11862,1133,4550,0,44,5329,0,39,440448,0,571,18
lm40 mapping,2140,10452,3165,7717,1896,4073,3,0,810,3,528,3,1483,185,87,83,2,564,107,632,1,149,2,8331,2,294,177,1,583,2875,71,43,3,164,2,281,3,275,1,178,2,7,248,0,3,3051,273,480,235,459,340,220,326,89,50,31,5,1150,2,263,453,303,2386,1,0,2968,2218,3,3,0,2016,0,0,15,0,24040,27,0,0,2,0,1826,0,0,1266,418,0,0,0,408,4,2157,1,0,1,0,12,196,1382,0,0,0,17,23,5,0,0,1174,8,0,0,0,24,0,20,0,16,0,0,15293,494,14697,5984,16347,0,12968,10452,1205,435,173,0,0,2
lm41 mapping,112,67,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,550,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,386,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3472,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,237,0,0,3,0,1,0,0,0,0,0,0,2,2,4,0,0,0,0,0,862,2071,0,862,67,0,0,0,0,0,2
lm42 mapping,426,2560,598,4071,409,724,0,0,0,1,0,0,116,1,0,34,0,0,30,106,4,0,0,0,0,0,0,0,0,3438,24,91,1,1,0,144,0,5,1,188,0,0,0,175,0,834,14,17,43,354,56,31,71,0,0,1,2,3,0,33,0,58,0,0,0,529,732,779,1,0,0,696,81,5,0,0,142,0,0,6,0,0,0,0,211,1,0,0,0,2509,0,0,0,0,1677,0,0,0,3,0,1,1,5,0,0,0,0,0,1,0,1871,599,0,1,1,2,3,0,0,0,174,0,201,4970,0,806,2560,57,62,0,0,168,0
lm43 mapping,267,2056,0,3170,274,532,0,13,0,1,0,0,321,6,116,0,311,238,39,216,112,46,2,56,0,0,0,0,0,766,0,11940,1,0,244,0,1,187,0,0,3,0,0,338,0,0,1,0,3,733,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,384,429,0,0,0,0,0,0,3,0,0,28,0,1,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,1275,0,0,0,84,0,0,0,0,326,2,0,0,0,2,0,6,0,8,0,0,0,0,1342,1946,0,0,2392,2056,0,0,0,0,0,2
lm44 mapping,1083,7033,3540,3811,1137,3493,91,4,208,10,149,1237,1433,10708,286297,3180,1499,23976,1075,1504,277,4380,5,86,2082,502,15542,1092,1761,4273,4,7,332,133,392,97,4,9,2592,2,6,155,5,13,144,4529,74,117,39,2521,1024,827,116,139,195,28,6,71,438,6,1792,331,3346,2,5,2543,1770,3196,4,0,3,7,60,12,0,0,241,0,0,0,0,12038,0,0,245,1087,0,0,0,4071,0,12,0,0,495,0,14,0,118,0,0,0,5048,2298,0,0,0,104763,0,0,0,0,25,0,11,2,3693,0,0,0,326,21773,6300,10425,0,14102,7033,243,2553,289,0,0,13
lm45 mapping,156,0,449,1604,69,774,2,0,0,0,0,0,0,0,0,0,648,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,148,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm46 mapping,116,563,596,0,118,564,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,594,77,22,32,0,154,63,136,62,14,8,0,0,33,805,1,1,0,0,0,397,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2143,0,0,563,344,115,209,0,0,0
lm47 mapping,1150,8424,2873,1698,1161,1756,0,1,3,0,2,6,1104,60,165,54,0,981,246,130,8,0,1,1,3603,3,133,5,0,1021,33,10,172,68,217,0,14,19385,1151,3,1,0,3,739,2,307,16,43,18,382,41,6,13,0,38,7,2,0,0,3,2,0,0,1594,538,1246,7,2,1,0,364,4,0,17,0,4,0,816,0,0,0,3687,0,0,0,5434,0,0,0,0,0,0,0,0,2662,0,10158,0,874,0,0,27228,0,0,0,0,0,64,6,0,0,307,17,0,20,1,9,4,0,0,2946,8896,2815,14711,0,3192,8424,0,0,0,0,102,11
lm48 mapping,1701,12956,453,7698,1748,954,0,1749,0,2,2214,3,2958,74,0,17,0,2209,542,203,3,86,3992,1,1708,500,397,2,647,5881,46,43,0,169,3,102,5,7,1103,221,1,1,3,3,1,5242,70,215,54,4,248,30,221,83,188,27,1,79,0,49,133,173,0,2,4,711,819,3,1,0,7910,0,0,13,0,12,45,0,0,0,0,802,0,0,27604,191,0,0,0,5404,13,0,0,0,323,0,42,0,9,0,0,17453,1690,260,4,0,0,8,7,0,0,0,14,0,62,1,30,0,0,0,193,14738,22632,10545,0,14779,12956,110,0,241,43595,90,17
lm49 mapping,529,3930,0,963,535,122,0,29,5,3,29,3,2258,665,2,426,7,1496,220,38401,0,7991,7524,132,1150,191,250,1,21,1939,56,699,0,3,523,43,17,15,12,6,5,0,2,57,3,1759,8,29,13,1,131,16,27,50,17,1,6,5,94,83,8,1230,1925,12,1196,122,2,5,6,0,0,0,221,3,0,0,36,0,1,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,6,3,0,0,0,0,528,207,0,2411,3930,19,8,209,0,0,0
lm50 mapping,400,3754,1051,2833,370,3728,0,0,1,0,0,1,466,285,6,112,0,414,83,132,5,0,1,0,0,2056,328,394,335,3768,1,0,242,85,67,480,2,35,1,3,1,0,0,0,0,531,10,3,0,0,137,25,40,0,31,15,4,20,0,0,282,213,0,339,1070,2834,0,3,2,0,1,0,0,3,0,0,5,0,0,8143,0,0,0,0,205,33,0,0,0,0,1,0,0,6,0,0,8,0,0,0,0,30384,4,0,0,0,2,0,6,0,0,331,6,0,13,0,11,0,0,0,0,5980,5060,10532,0,4578,3754,15,0,0,0,27,2
lm51 mapping,575,3167,1677,537,719,685,0,0,0,15,0,1,1,1,1,1,0,1,16,0,2,1,2,0,1,1,18,0,0,2677,0,79,1,310,1511,60271,4,1,0,0,0,0,527,0,1070,198,8,16,1,13,14,12,46,17,50,67,0,13,51,158,179,2,15,0,1,465,1,0,1,0,8,0,0,8,0,18,27,0,0,2728,0,2478,0,2,40,98,0,0,0,0,0,0,0,0,506,0,7,421,24,0,0,0,242,0,1,0,0,1397,5,0,0,0,21,0,10,0,6174,0,0,0,259,16434,3556,7695,0,6968,3167,0,0,0,71919,67,16
lm52 mapping,913,5707,1423,0,819,3674,0,16,779,0,527,1,868,0,0,19,0,53,65,51,5,50,969,0,0,1,188,685,0,3661,1,26,1,4817,0,95,0,5,0,1,12,0,2,1,0,2215,18,53,20,519,287,65,241,31,45,75,3,9,26,100,407,284,0,2,1,2701,1931,2,3319,0,41,0,53,12,55,1793,1,0,1156,2,0,393,0,50,0,183,0,0,0,0,0,3,107864,0,17,0,49,0,0,0,315,0,6,0,0,18724,0,0,0,0,0,128,16,0,45,0,16,0,0,0,0,11100,9073,4108,0,6234,5707,0,143,134,1,128,10
lm53 mapping,287,1660,0,2489,251,319,0,0,216,3826,140,0,868,20,74,376,1,352,81,141,2,99,5,0,1,12,107,424,292,751,1,8,1,99,0,3,6,0,1532,3,6,0,0,3,5,48,0,17,17,1,34,0,2,0,2,0,5,8,0,0,476,0,4,2823,0,185,454,16386,16890,0,10,0,9,4,0,0,156,0,0,0,0,3099,0,0,0,1953,0,0,0,1080,1,1,0,0,133,0,12,0,3,0,0,0,47,2121,0,0,0,154,1,0,0,5,0,0,10,0,251,0,0,0,318,801,6398,0,0,5218,1660,0,0,0,0,146,3
lm54 mapping,984,5990,3128,2088,870,293,0,0,0,0,0,0,1071,0,268,58,0,92,342,387,0,440,1,4,0,112,39,0,0,992,1,0,1564,0,1,0,0,0,0,0,0,0,120,0,0,132,2,0,0,0,20,7,16,0,0,1,1,1,161,0,1,78,0,0,0,194,1,1,0,0,6,160,30,7,0,1820,0,0,0,1,0,3311,0,0,1373,8784,0,0,0,10570,0,1,0,0,204,0,7,0,11,0,0,0,377,873,0,0,55,156,5,0,1803,0,6,0,9,1619,30,0,0,0,5370,8530,3379,9526,0,5433,5990,0,0,0,0,16,6
lm55 mapping,460,1613,0,0,486,1614,0,0,0,0,0,0,236,0,108,82,0,64,3,0,0,0,0,0,0,0,0,0,0,1317,0,1,1,0,108,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1286,0,1,0,0,1,0,8070,2,0,0,0,4,0,5,0,149,0,0,0,136,0,0,0,0,1,1,1,0,138,0,8,0,1,0,0,0,7,2,0,0,0,0,1,0,0,410,16,0,2,1,25,2,0,0,0,12004,2233,1774,0,3691,1613,0,0,0,0,56,8
lm56 mapping,1222,9054,2566,4705,1202,1821,0,14,394,0,222,2,1317,2097,180,350,0,9365,683,923,34,188,2,0,5,86,343,0,2,2872,163,26,512,71,47,267,4,6,6,2,4,0,2127,9,339,3302,31,43,79,2,196,36,252,49,172,20,3,22,1,36,3,1869,0,1562,3602,1293,5,0,0,0,6,1236,0,15,0,0,7,0,0,3694,0,343,0,0,17,2577,0,0,54978,2549,0,229409,0,0,1042,0,14,0,4442,0,0,0,100,0,4,0,0,1135,3,0,0,0,15,0,12,0,30,1,0,0,135,11243,5254,10938,0,16792,9054,10,38,65,0,16,16
lm57 mapping,210,1395,147,0,148,317,0,0,0,4292,3,0,0,0,0,0,1124,0,3,4,0,0,0,0,0,0,0,1,2,187,0,0,1,0,0,2,5,0,605,0,0,3,0,0,2,786,3,0,2,1068,7,0,19,3,5,0,0,52,0,0,14276,1,3,5,0,243,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1395,4,0,0,0,0,0
lm58 mapping,953,9445,2343,4635,909,554,0,1,1,0,5,1,1948,92,82,387,553,330,108,209,0,1,1,30,0,0,362,0,3,2235,34,6,0,119,1,26,4282,0,550,269,0,105,0,656,1,1927,5,107,53,526,219,24,91,24,73,11,1,14,3,0,416,1,1836,1627,0,394,1,0,0,0,1,234,159,15,0,0,21,0,1,6,0,61,0,0,583,120,0,0,0,0,7,5507,0,0,1439,0,1,0,2042,0,0,0,410,0,9,0,0,414,6,0,0,146,38,0,13,0,11,0,0,0,1138,17637,5403,6954,0,7496,9445,0,0,74,0,0,18
lm59 mapping,2368,15629,0,6746,2158,2534,1,1,12,2,1,2,1553,339,152,42,0,34036,104,783,1,22,3,89,3,361,87,847,244,6046,38,9,282,604,10,116,49,2,10,2,0,221,3,18,3,2835,20,185,81,3,254,55,311,56,215,61,0,30,61,87,454,341,4776,1481,2,1685,466,1,3,87939,77,1112,247,52,368,1866,265,0,0,1165,0,2050,13774,2034,0,1409,0,0,0,0,0,0,218362,7598,0,0,125,0,638,0,0,25074,328,528,0,31617,251,567,16,6,0,102,0,0,125,0,1169,0,237892,0,0,11999,35349,19103,0,15873,15629,0,0,188,0,0,50
lm60 mapping,1048,1764,850,2154,343,293,61,3,5,1,0,2,675,46,28,179,0,564,23,82,0,100,139,405,1549,17315,22,1,0,143,0,0,1,0,12,0,0,0,4,0,0,0,0,15,0,1281,5,0,4,0,59,11,100,29,21,4,0,0,0,0,1,42,436,0,1,252,2907,0,0,0,0,0,0,2,0,1,661,1,0,859,0,90,0,0,0,15,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,46,4,4,0,0,11,1,0,0,25,2,0,5,0,92,0,0,0,109,3079,1991,561,0,1514,1764,1,14,94,0,38,2
lm61 mapping,1410,3323,1750,829,726,2186,2,2,1,8498,6,2698,1071,54,10,30,2,287,370,332,0,46,1,2,189,0,313,374,4,1187,3,1,445,261,0,6,5,106,0,33,4,7,0,1,3,2529,11,184,16,338,5468,653,137,66,147,37,2,14,9,75,258,173,8,5095,494,1735,589,0,2,0,0,0,0,0,0,257451,0,0,0,947,0,274,0,0,57,193,0,0,0,3027,0,0,0,28,761,0,9,0,962,0,0,0,3,0,1,0,0,130,1,0,0,1336,17,0,20,1,1644,0,27,0,158,9019,7792,9576,0,4622,3323,0,753,159,93703,0,27
lm62 mapping,474,3674,697,2463,433,932,0,1,0,2,1,0,499,3037,199,42,681,706,53,90,1,1,0,0,1,0,0,1028,0,1975,2,520,0,107,142,3,1,237,1,306,1,1,1,2,4,124,2,1,0,2,0,3,2,6,0,2,4,2,1,78,0,0,5087,0,1,660,0,0,2,0,0,8,0,3,0,0,1,0,0,1676,0,518,0,0,0,0,0,0,0,0,0,494,0,0,263,0,0,0,2,0,0,0,6,0,1,0,0,0,3,0,0,0,0,0,3,2,404,0,0,0,0,1131,382,4111,0,2217,3674,0,0,0,0,0,0
lm63 mapping,516,3929,1124,0,427,690,0,0,0,0,0,1,556,0,0,20,0,536,3,303,2,0,0,0,1,0,164,0,2,711,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,782,2,32,12,0,55,18,53,0,356,8,1,39,28,0,3,0,0,0,1371,532,2,1,0,0,0,0,0,12,0,5,42,0,0,6,0,139,0,0,7,390,0,0,0,1,0,2415,0,0,0,0,0,0,0,0,0,0,124,4037,3,1,0,0,1,0,0,0,12,0,3,6,0,0,0,0,0,7003,306,5639,0,1791,3929,0,0,0,37998,0,6
lm64 mapping,844,4180,875,707,625,977,18,0,1,1,1,2,828,382,155,203,28,1475,147,180,43,69,2,15,0,0,192,0,1,4293,333,64,89991,54,261,695,19,113,0,1010,2,34,1,3644,1,2156,31,580,13,1,50,54,71,32,0,34,0,4,19,328,180,495,2,2,4,646,121,2,0,0,5,8,0,7,0,3,0,0,0,350,0,0,0,0,6044,0,0,0,1,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,7,250,1,1,0,0,0,3018,3947,5261,0,40,4180,180,0,59,47334,0,0
lm65 mapping,1927,9506,1958,4946,1569,2547,20,16,268,7801,55,2231,3222,3184,3260,490,335,11594,3251,1477,210,2324,1261,140,1423,665,536,1079,24871,5123,23,9,737,1476,631,590,45,171,3953,5,8,22,242,503,21,7352,1052,2568,1126,2872,8042,2327,363709,10667,28023,568,16,2613,13859,4965,2532,17822,3838,1862,6,1879,2923,2,5,0,19,0,23,15,9,2,0,6,0,0,0,45,0,74,5,15,0,0,0,1510,5,0,12,0,0,0,38,0,4,0,0,0,2,2009,4,0,0,129,10,0,0,14,17,0,38,0,10,0,0,7,27,18079,18286,2848,3,2460,9506,5199,6960,38823,0,53,13
lm66 mapping,1187,8976,2498,2040,1113,1819,1,0,2,6,1,0,1949,594,554,44,4,2273,7737,1217,311,91,2,229,264,202,557,0,0,3095,31,83,172,0,4,346,1,498,440,127,2,0,0,0,8,729,52,3,75,1665,292,9,64,31,1,3,3,9,1,63,196,1,1937,1,2,1296,6,1,2,0,87,0,0,11,1,0,6,0,84187,0,0,264,0,587,0,61,0,0,0,0,2,0,1,0,1082,0,159,0,11,0,4,0,311,0,0,0,0,138,4,1,0,7,42,0,113,0,4,0,0,0,0,17629,10021,3073,0,3513,8976,217,0,45,0,3949,13
lm67 mapping,726,5931,477,1034,749,2428,0,0,1,0,2,1,168,1,0,0,0,0,33,26,0,0,2,0,0,0,0,0,0,1988,0,0,0,615,151,148,1,2,1,1,849,0,1,1,0,2404,43,0,32,0,116,7,863,23,80,15,3,4,80,121,2,249,0,1807,0,1706,0,1,0,0,2,0,50,13,4,0,17,0,0,0,0,0,0,2758,0,3,0,0,0,0,1,1,2,0,0,0,4,0,759,0,0,0,3,3,2,0,0,0,4,1,0,649,11,0,6,7,2,5,0,0,2,7795,2160,4639,0,1441,5931,74,0,52,0,242,9
lm68 mapping,1120,9264,1563,4167,2335,2101,0,0,0,2,3,2,1919,1,1,22,0,0,404,1313,70,0,2,0,5,20,0,0,1653,5517,1,4539,1627,347,194,114,21,4,0,349,1,149,0,189,0,1373,8,7,27,0,34,15,24,3,2,0,3,4,0,0,251,0,2025,1,1,1607,2,1,0,0,16,0,0,15,0,0,91,0,0,23,0,584,0,0,0,551,0,0,78204,0,0,0,0,0,0,0,18,87,469,0,0,0,20,0,2,0,44,175,6,0,0,23,47,0,26,0,12,3,0,0,0,29797,8386,9552,0,9306,9264,0,0,0,0,163,61
lm69 mapping,656,4742,0,3050,523,1838,0,0,1,0,3,0,1,0,0,0,0,0,0,2,1,2,2,1,0,1,0,0,1,1550,0,0,227,0,0,718,2,3,1,2,78,0,0,0,0,1702,26,1,35,0,92,24,52,37,2,1,2,142,1,24,0,272,0,2121,0,1378,1177,2230,0,0,349,0,26,9,0,0,0,0,0,13,385394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3248,0,1,0,0,0,0,0,0,58674,0,0,0,0,0,0,0,0,453,5,0,0,0,0,418,2243,10389,14472,0,2025,4742,26,0,70,0,0,2
lm70 mapping,266,2028,0,0,299,1015,0,0,0,0,0,0,383,0,0,0,0,69,40,15,0,0,1,0,0,0,0,0,0,2774,0,35,0,47,0,42,0,3,0,0,0,0,0,223,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,782,0,1,0,0,6,0,0,4,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,527,0,0,0,1,295,0,0,0,0,5,0,0,0,11,0,10,0,4,4,0,0,95,5997,6562,0,0,1572,2028,0,0,0,0,2,9
lm71 mapping,416,1667,0,1356,369,1085,3,0,0,0,1,0,1023,0,0,54,3,116,187,287,89,110,1,1,0,0,110,1,1,416,1,12,0,0,1,275,0,0,778,1,1,1,0,179,0,1779,25,38,39,1,1936,26,155,73,110,3,1,24,403,126,19,4,1,0,0,820,0,348,0,0,0,0,0,2,0,23,63,0,0,49836,0,0,0,0,0,35,0,0,324093,0,0,0,0,4572,0,0,4,0,5,0,0,0,80,3,0,0,866,0,0,0,0,135,0,0,12,211323,33,0,0,0,1912,2816,1446,5528,0,3522,1667,75,24,196,0,138,7
lm72 mapping,484,3668,1176,662,484,793,14,14,0,0,3,0,1400,0,1268,50,0,369,73,7313,68,0,3,178,1,5,232,0,2758,2211,42,0,454,418,0,0,6,2,0,0,1,0,0,0,0,1320,19,26,16,0,20,20,237,0,68,19,0,24,1,0,267,41,0,3,1,533,0,0,0,0,11,0,150,1,0,71,368,0,0,0,0,631,0,1,41,685,0,0,0,0,4,11,0,43,0,0,20,0,673,0,0,0,0,0,4,0,0,0,6,0,0,1,2,0,26,0,440,0,0,113452,190,6506,9066,11244,0,3059,3668,66,0,0,0,0,5
lm73 mapping,869,7295,0,0,1068,1564,0,0,0,4,2,0,2720,3,252,129,1,118,249,265,2,137,6951,0,1,1,45,0,973,3122,1,6,205,2,83,79,3,2,496,3,2,1,0,0,2,1593,9,48,15,1,114,79,270,5,224,90,4,63,6,301,223,0,1969,202,0,1020,2,0,1939,0,11,6147,0,7,0,544,0,0,0,7,0,148,0,0,338,65,0,0,3,1948,5,0,0,0,0,0,19,0,14,0,0,0,14,0,0,0,0,0,6,0,0,399,10,0,31,21,11,5,0,1,0,9118,10349,9655,0,5291,7295,0,205,0,0,1,3
lm74 mapping,834,5146,243,903,662,0,0,0,4,0,1,2,2240,2,39,231,0,345,210,49,1,52,1,0,172,5,400,0,0,1632,7,2,227,160,4748,0,3,0,1,3,1303,1,0,212,3,2650,19,24,44,0,584,35,200,67,165,136,2,15,72,79,2,360,1,1,1,0,1,2,1,0,17,1358,0,3,0,2799,34,44980,0,31478,0,0,0,0,4836,66,0,0,156192,0,0,140956,0,5825,0,0,13,0,0,0,0,28964,0,0,0,0,814567,0,0,0,0,0,0,0,25,224279,0,0,0,24447,0,11999,10184,17386,0,1602,5146,0,0,137,46056,0,56
