,M1024_S11_L001_R1_001,M1048_S10_L001_R1_001,M10cae_S8_L001_R1_001,M10col_S9_L001_R1_001,M10SI_S7_L001_R1_001,M10st_S6_L001_R1_001,M1124_S17_L001_R1_001,M1148_S18_L001_R1_001,M1172_S16_L001_R1_001,M11cae_S14_L001_R1_001,M11col_S15_L001_R1_001,M11SI_S13_L001_R1_001,M1224_S5_L001_R1_001,M1272_S4_L001_R1_001,M12cae_S2_L001_R1_001,M12col_S3_L001_R1_001,M12SI_S1_L001_R1_001,M1324_S11_L001_R1_001,M1372_S10_L001_R1_001,M13cae_S8_L001_R1_001,M13col_S9_L001_R1_001,M13SI_S7_L001_R1_001,M13st_S6_L001_R1_001,M1cae_S2_L001_R1_001,M1col_S3_L001_R1_001,M1fec_S4_L001_R1_001,M1SI_S1_L001_R1_001,M2cae_S7_L001_R1_001,M2col_S8_L001_R1_001,M2fec_S9_L001_R1_001,M2SI_S6_L001_R1_001,M2st_S5_L001_R1_001,M3cae_S12_L001_R1_001,M3col_S13_L001_R1_001,M3fec_S14_L001_R1_001,M3SI_S11_L001_R1_001,M3st_S10_L001_R1_001,M4cae_S17_L001_R1_001,M4col_S18_L001_R1_001,M4fec_S19_L001_R1_001,M4SI_S16_L001_R1_001,M4st_S15_L001_R1_001,M5cae_S3_L001_R1_001,M5col_S4_L001_R1_001,M5fec_S5_L001_R1_001,M5si_S2_L001_R1_001,M5st_S1_L001_R1_001,M724_S10_L001_R1_001,M748_S9_L001_R1_001,M7cae_S8_L001_R1_001,M7col_S9_L001_R1_001,M7si_S7_L001_R1_001,M7st_S6_L001_R1_001,M824_S17_L001_R1_001,M848_S16_L001_R1_001,M8cae_S14_L001_R1_001,M8col_S15_L001_R1_001,M8si_S13_L001_R1_001,M8st_S12_L001_R1_001,M924_S5_L001_R1_001,M948_S4_L001_R1_001,M9cae_S2_L001_R1_001,M9col_S3_L001_R1_001,M9SI_S1_L001_R1_001
PA_WT_0000587 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267,1104,1211,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113,1042,1022,1278,1074,0,0,0,0,0,0
PA_WT_0000588 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,23,56,29,22,0,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000589 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,1029,1000,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000590 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000591 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,60,102,61,168,17,1284,1283,1114,1498,1238,0,0,0,0,0,0
PA_WT_0000592 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,38,65,57,50,0,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000593 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,2049,1125,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,246,212,322,160,0,0,0,0,0,0
PA_WT_0000594 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,2,19,24,15,0,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000595 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,48,125,68,74,0,492,468,382,629,250,0,0,0,0,0,0
PA_WT_0000596 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,30,57,43,48,0,1906,2199,1790,2179,1597,0,0,0,0,0,0
