,M1024_S11_L001_R1_001,M1048_S10_L001_R1_001,M10cae_S8_L001_R1_001,M10col_S9_L001_R1_001,M10SI_S7_L001_R1_001,M10st_S6_L001_R1_001,M1124_S17_L001_R1_001,M1148_S18_L001_R1_001,M1172_S16_L001_R1_001,M11cae_S14_L001_R1_001,M11col_S15_L001_R1_001,M11SI_S13_L001_R1_001,M1224_S5_L001_R1_001,M1272_S4_L001_R1_001,M12cae_S2_L001_R1_001,M12col_S3_L001_R1_001,M12SI_S1_L001_R1_001,M1324_S11_L001_R1_001,M1372_S10_L001_R1_001,M13cae_S8_L001_R1_001,M13col_S9_L001_R1_001,M13SI_S7_L001_R1_001,M13st_S6_L001_R1_001,M1cae_S2_L001_R1_001,M1col_S3_L001_R1_001,M1fec_S4_L001_R1_001,M1SI_S1_L001_R1_001,M2cae_S7_L001_R1_001,M2col_S8_L001_R1_001,M2fec_S9_L001_R1_001,M2SI_S6_L001_R1_001,M2st_S5_L001_R1_001,M3cae_S12_L001_R1_001,M3col_S13_L001_R1_001,M3fec_S14_L001_R1_001,M3SI_S11_L001_R1_001,M3st_S10_L001_R1_001,M4cae_S17_L001_R1_001,M4col_S18_L001_R1_001,M4fec_S19_L001_R1_001,M4SI_S16_L001_R1_001,M4st_S15_L001_R1_001,M5cae_S3_L001_R1_001,M5col_S4_L001_R1_001,M5fec_S5_L001_R1_001,M5si_S2_L001_R1_001,M5st_S1_L001_R1_001,M724_S10_L001_R1_001,M748_S9_L001_R1_001,M7cae_S8_L001_R1_001,M7col_S9_L001_R1_001,M7si_S7_L001_R1_001,M7st_S6_L001_R1_001,M824_S17_L001_R1_001,M848_S16_L001_R1_001,M8cae_S14_L001_R1_001,M8col_S15_L001_R1_001,M8si_S13_L001_R1_001,M8st_S12_L001_R1_001,M924_S5_L001_R1_001,M948_S4_L001_R1_001,M9cae_S2_L001_R1_001,M9col_S3_L001_R1_001,M9SI_S1_L001_R1_001
PA_WT_0000001 mapping,0,0,0,0,0,0,4,8,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,10393,6417,9605,10854,13524,6419,14604,586,0,6343,7274,6063,4265,0,762,1117,1610,0,0,0,0,0,431,0,4889,823,1983,1177,4047,634,16300,16790,15005,17605,12419,0,0,12,14,0,0
PA_WT_0000002 mapping,0,0,0,0,0,0,14645,22595,15675,18201,15517,20714,0,0,0,0,0,0,0,0,0,0,0,18024,11088,16788,13256,9850,5232,10256,553,0,8453,11253,7887,8150,0,0,0,0,0,0,23081,23795,28110,862,37571,8226,1701,3857,2571,9917,6502,16441,17737,15020,18465,75606,54978,17676,32143,28342,24235,20320
PA_WT_0000003 mapping,0,0,0,0,0,0,28,54,0,39,25,0,0,0,0,0,0,0,0,0,0,0,0,3089,2033,2980,2483,7740,3433,8400,94,0,8738,10236,8517,5829,0,0,0,0,0,0,2091,2142,2332,0,3839,5242,2376,3614,3576,2260,568,6135,6730,5808,6980,4562,0,18915,37303,33635,30821,22260
PA_WT_0000004 mapping,0,0,0,0,0,0,27046,40644,28775,32994,26940,42495,0,0,0,0,0,0,0,0,0,0,0,5354,3783,4987,6565,45382,23646,48076,3597,0,5857,8061,5590,3736,0,0,0,0,0,0,0,0,0,0,0,1219,92,260,192,112,0,10547,11156,9662,12099,8179,0,0,51,33,0,0
PA_WT_0000005 mapping,0,0,0,0,0,0,3,7,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,19468,12858,18028,14750,9424,4530,9750,534,0,11603,12904,11399,7672,0,0,0,0,0,0,9317,8840,10836,0,15409,4401,595,1456,984,1648,0,5802,6247,5488,6476,40401,222969,0,6,5,0,0
PA_WT_0000006 mapping,0,0,0,0,0,0,2,5,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,11312,7671,10222,13843,28714,15651,30496,1478,0,2568,2785,2603,1547,0,0,0,0,0,0,0,0,0,0,0,3056,4094,7731,7190,4396,5694,5871,6134,5410,6033,4195,0,0,8,5,0,0
PA_WT_0000007 mapping,249453,183730,148894,83305,194196,197496,153,283,0,360,166,0,0,0,0,0,0,0,0,0,0,0,0,14445,9569,13848,17822,851,272,798,0,0,6287,10312,5164,5408,11004,0,0,0,0,0,0,0,0,0,0,2469,160,500,318,542,0,1368,1235,1155,1447,968,0,0,220,206,182,166
PA_WT_0000008 mapping,0,0,0,0,0,0,28,51,0,41,24,0,0,0,0,0,0,0,0,0,0,0,0,12047,6800,11269,14602,21523,12051,23382,888,0,8600,9926,7918,5460,0,0,0,0,0,0,0,0,0,0,0,3774,4293,9283,6762,7369,7822,6468,6928,5727,6831,5018,0,48276,34333,30454,23694,20785
PA_WT_0000009 mapping,0,0,0,0,0,0,6,2,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,6909,4500,6462,10199,0,0,0,0,0,7872,9536,7194,4734,0,0,0,0,0,0,64609,63214,79759,3615,95428,3607,5607,7530,7763,3784,5859,14746,17422,15514,19083,13810,0,0,13,7,0,0
PA_WT_0000010 mapping,0,0,0,0,0,0,15577,23827,17057,19262,15482,22857,0,0,0,0,0,0,0,0,0,0,0,4053,2847,3699,4350,0,0,0,0,0,5977,4826,5871,3849,0,0,0,0,0,0,0,0,0,0,0,949,100,161,83,109,0,5875,6186,5525,6689,4824,0,0,34,21,0,0
PA_WT_0000011 mapping,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4740,2896,4373,5328,0,0,0,0,0,340,560,253,162,0,0,0,0,0,0,0,0,0,0,0,4100,3212,6467,4818,5208,4201,7364,8138,6745,8376,6627,0,0,6,5,0,0
PA_WT_0000012 mapping,0,0,0,0,0,0,52570,77774,53151,61332,51509,80461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2622,3431,2295,3677,0,0,0,0,0,0,0,0,0,0,0,2408,286,654,392,489,0,1952,2082,1882,2222,1626,0,16769,1276,1046,1255,0
PA_WT_0000013 mapping,0,0,0,0,0,0,4,8,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13068,6691,13028,1097,0,1861,2374,1760,1532,0,0,0,0,0,0,14089,12392,16059,0,24156,3006,12650,23509,19460,16884,23018,5479,5680,4966,6269,4023,0,0,5,3,0,0
PA_WT_0000014 mapping,0,0,0,0,0,0,2,5,0,7,3,0,0,0,0,0,0,207455,388529,243853,229374,261641,227538,9785,6662,9024,10109,0,0,0,0,0,893,1861,475,165,0,0,0,0,0,0,0,0,0,0,0,5713,603,1240,883,932,0,6262,5894,5787,7476,4433,0,0,8,7,0,0
PA_WT_0000015 mapping,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456,1829,1338,2124,0,0,0,0,0,0,9047,8487,10864,0,13631,2248,2943,3555,4533,538,44,3074,3323,2825,3415,2290,0,0,0,0,0,0
PA_WT_0000016 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1873,958,1809,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826,95,168,107,113,0,5954,6319,5357,6668,4272,0,1957,3073,2319,1222,761
PA_WT_0000017 mapping,0,0,0,0,0,0,2,6,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,18282,12222,17199,17592,982,477,1015,0,0,3757,5293,3301,2212,0,0,0,0,0,0,0,0,0,0,0,1425,193,410,256,244,275,3875,4300,3557,4216,3232,0,0,3,7,0,0
PA_WT_0000018 mapping,0,0,0,0,0,0,15907,24395,18037,19633,15887,24784,0,0,0,0,0,0,0,0,0,0,0,5694,3250,5340,4089,772,412,809,0,0,6239,6949,5600,4756,0,0,0,0,0,0,0,0,0,0,0,1676,237,508,339,563,179,3894,4024,3592,4264,2930,0,0,36,24,0,0
PA_WT_0000019 mapping,0,0,0,0,0,0,35,43,0,32,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11640,5954,12278,1016,0,3420,3706,3374,2407,0,0,0,0,0,0,9047,9265,10747,0,10368,2832,371,804,481,1193,192,6006,6590,5428,6633,4439,0,16850,39584,34495,27489,23508
PA_WT_0000020 mapping,0,0,0,0,0,0,49054,73299,53070,60009,50844,77212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881,2463,725,170,0,0,0,0,0,0,0,0,0,0,0,2115,181,443,286,272,0,1607,1530,1385,1830,1020,0,0,89,56,0,0
PA_WT_0000021 mapping,0,0,0,0,0,0,0,5,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,3392,2324,3090,2405,15796,8268,16860,1090,0,2583,2576,2529,1341,0,0,0,0,0,0,0,0,0,0,0,4406,18681,37810,28766,32264,67490,2932,3299,3064,3286,2998,0,0,2,3,0,0
PA_WT_0000022 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,2851,2175,818,0,0,0,0,0,0,0,0,0,0,0,1194,145,321,191,269,1088,5263,5688,4663,5953,4183,0,0,0,0,0,0
PA_WT_0000023 mapping,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,26329,17569,24227,23965,4222,2498,4355,111,0,11228,12839,10076,7346,0,0,0,0,0,0,0,0,0,0,0,1433,9371,13759,14997,7288,1179,1206,1160,943,1173,784,0,0,4,8,0,0
PA_WT_0000024 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,438,457,0,0,0,0,0,0,0,0,0,0,0,0,1932,302,594,361,579,752,6531,6995,5783,7243,5230,0,0,0,0,0,0
PA_WT_0000025 mapping,0,0,0,0,0,0,14,28,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3662,1921,3811,335,0,5028,6219,4736,4193,0,0,0,0,0,0,0,0,0,0,0,1054,115,232,150,297,0,9000,8947,8073,9179,6649,0,41410,2857,2624,1657,985
PA_WT_0000026 mapping,0,0,0,0,0,0,0,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2388,1359,1997,3388,0,0,0,0,0,2407,3384,2309,2347,0,0,0,0,0,0,22085,21975,27520,1241,32199,950,99,312,177,196,150,4241,4493,3732,4777,3135,0,0,7,3,0,0
PA_WT_0000027 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8426,4634,9297,734,0,436,573,364,466,0,0,0,0,0,0,0,0,0,0,0,3038,354,761,537,485,0,1305,1186,1167,1223,1021,0,0,0,0,0,0
PA_WT_0000028 mapping,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,749,460,870,801,0,0,0,5894,0,3813,4005,3598,4076,0,0,0,0,0,0,39092,42170,47166,2051,56979,2538,1952,3078,2873,2557,1749,10852,11535,9951,12593,9361,0,0,2,5,0,0
PA_WT_0000029 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310,797,1296,1741,1685,871,1752,0,0,4851,7086,4633,2951,0,317,516,739,0,0,0,0,0,0,0,1096,145,339,237,358,0,4498,4951,3978,4881,3600,0,0,0,0,0,0
PA_WT_0000030 mapping,0,0,0,0,0,0,63729,97079,69179,79996,68995,104075,62522,76619,122921,57855,85142,0,0,0,0,0,0,5173,4094,5112,6537,0,0,0,0,0,2491,3466,2003,1084,0,0,0,0,0,0,3870,3856,4652,0,7046,1504,29,201,153,58,0,1422,1330,1347,1417,1348,0,0,148,87,0,0
PA_WT_0000031 mapping,112214,102884,84791,46202,104904,120438,85,190,0,157,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4610,1978,4943,0,0,5398,7030,4879,5909,0,0,0,0,0,0,0,0,0,0,0,688,49,198,94,254,0,8055,8380,7259,9263,6273,27788,40569,579,488,234,1539
PA_WT_0000032 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2685,2653,2456,1503,0,630,976,1111,0,0,0,0,0,0,0,1814,278,576,378,498,94,7578,8271,6891,8548,10733,0,0,0,0,0,0
PA_WT_0000033 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,1097,944,960,0,0,0,0,0,0,0,0,0,0,0,2094,4191,5857,6407,2819,1341,2314,2407,2152,2403,1733,0,0,0,0,0,0
PA_WT_0000034 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1514,1329,1330,1054,0,0,0,0,0,0,0,0,0,0,0,2683,352,847,559,3006,2079,721,803,638,755,629,0,0,0,0,0,0
PA_WT_0000035 mapping,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5151,5810,4980,2660,0,0,0,0,0,0,0,0,0,0,0,1869,7039,14958,11184,12444,36660,6675,6951,5845,7402,4991,11374,0,11,4,0,0
PA_WT_0000036 mapping,0,0,0,0,0,0,11488,18361,13222,14961,13439,12854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3012,1778,3156,160,0,2702,3375,2583,1922,0,0,0,0,0,0,0,0,0,0,0,1803,1833,2369,2790,652,239,3426,3576,3141,3858,2574,0,0,28,20,0,0
PA_WT_0000037 mapping,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3772,2435,3295,2683,7810,4828,8478,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2292,3701,6762,5476,5329,1052,2437,2582,2239,3047,1708,0,0,0,0,0,0
PA_WT_0000038 mapping,0,0,0,0,0,0,19731,30016,21785,24746,21403,32112,0,0,0,0,0,0,0,0,0,0,0,8634,5828,7896,5706,3500,1325,3665,0,0,10157,12361,9894,8886,0,0,0,0,0,0,0,0,0,0,0,2177,23944,35094,37307,13230,1086,1314,1432,1238,1344,901,0,5348,124,104,0,0
PA_WT_0000039 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3780,2324,3462,3921,5278,3023,5625,305,0,2636,4202,2673,1107,0,0,0,0,0,0,0,0,0,0,0,629,66,137,93,57,0,4275,4732,3927,4830,3178,0,0,0,0,0,0
PA_WT_0000040 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3064,1942,2913,3703,0,0,0,0,0,6182,7627,5611,3354,0,0,0,0,0,0,0,0,0,0,0,2130,337,671,439,511,0,1615,1598,1354,1899,968,0,0,0,0,0,0
PA_WT_0000041 mapping,0,0,0,0,0,0,2,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5181,3506,4993,7465,31928,16671,34393,2630,0,2681,3089,2623,1682,0,0,0,0,0,0,0,0,0,0,0,4066,363,1130,718,2007,1380,7513,7182,6184,7241,4881,0,0,3,2,0,0
PA_WT_0000042 mapping,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21217,13283,19532,23152,0,0,0,0,0,319,217,242,0,0,0,0,0,0,0,12677,13369,15759,0,20809,1840,2307,3850,3593,3467,789,2003,1973,1828,2473,1392,0,0,0,7,0,0
PA_WT_0000043 mapping,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10375,6182,9440,10693,0,0,0,0,0,1079,1702,1022,1280,0,0,0,0,0,0,12676,12650,15497,632,19526,324,24,109,38,44,0,1073,1224,1009,1214,1020,0,0,0,5,0,0
PA_WT_0000044 mapping,0,0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3438,5015,3250,2285,0,0,0,0,0,0,11454,12077,13329,0,16204,3071,392,995,660,872,744,3555,3717,3080,3804,2948,0,0,3,5,0,0
PA_WT_0000045 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,141,0,0,0,0,0,0,0,0,0,0,0,0,3134,399,718,551,1764,1845,4473,4933,4145,4724,3673,0,0,0,0,0,0
PA_WT_0000046 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6826,8528,6730,6862,0,1634,2036,3024,0,0,0,0,0,1176,0,1685,212,518,369,886,797,789,784,708,791,423,0,0,0,0,0,0
PA_WT_0000047 mapping,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7656,5020,6740,6447,20235,11045,21492,1864,0,3386,4541,3391,1972,0,0,0,0,0,0,0,0,0,0,0,3441,509,1042,732,961,0,170,165,132,141,160,0,0,2,3,0,0
PA_WT_0000048 mapping,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3778,2475,3645,3188,11213,6755,11672,634,0,7128,8288,6966,6665,0,0,0,0,0,0,0,0,0,0,0,1232,7653,14603,12116,19293,674,869,1008,780,967,659,0,0,5,4,0,0
PA_WT_0000049 mapping,0,0,0,0,0,0,0,3,0,0,2,0,192503,247882,391912,188191,276042,0,0,0,0,0,0,3361,2556,3297,3923,0,0,0,0,0,5339,6242,4786,4709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1402,1039,1145,1507,655,0,0,0,0,0,0
PA_WT_0000050 mapping,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6960,4684,6496,5755,567,223,641,0,0,11397,14763,11385,9300,0,0,0,0,0,0,0,0,0,0,0,1329,154,306,206,224,0,1498,1508,1329,1525,1122,0,0,2,5,0,0
PA_WT_0000051 mapping,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3796,2706,3520,3028,0,0,0,0,0,5615,6873,5412,5584,0,0,0,0,0,0,0,0,0,0,0,1533,189,411,288,201,0,1525,1704,1431,1665,954,0,0,0,0,0,0
PA_WT_0000052 mapping,0,0,0,0,0,0,6638,10171,7128,7609,7512,0,0,0,0,0,0,0,0,0,0,0,0,4596,3005,4486,4022,0,0,0,0,0,6070,9290,6014,5063,0,0,0,0,0,0,0,0,0,0,0,1478,209,660,376,2481,970,4042,4220,3402,4312,3307,0,0,13,7,0,0
PA_WT_0000053 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1514,1090,1361,2169,2932,1391,3648,348,0,587,407,573,0,0,0,0,0,0,0,0,0,0,0,0,1689,225,433,282,320,116,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000054 mapping,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1847,1177,1757,1933,5190,2896,5733,152,0,11139,13827,11019,9317,0,0,0,0,0,0,0,0,0,0,0,1216,2070,4389,3238,3585,3154,1525,1596,1303,1767,1327,0,0,2,4,0,0
PA_WT_0000055 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13175,7914,11876,12946,0,0,0,0,0,884,763,923,456,0,0,0,0,0,0,0,0,0,0,0,843,67,152,111,51,0,1138,1335,2102,1390,1195,0,0,0,0,0,0
PA_WT_0000056 mapping,0,0,0,0,0,0,9,19,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12791,6699,13673,1173,0,4161,4933,3813,2621,0,0,0,0,0,0,27966,26852,33395,978,42149,1940,38259,70620,55223,55586,58137,3195,3400,3042,3655,2618,0,14510,8664,8097,5919,5687
PA_WT_0000057 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504,192,381,295,352,0,1232,1339,1134,1552,1029,0,0,0,0,0,0
PA_WT_0000058 mapping,0,0,0,0,0,0,802,861,2871,48,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2445,4089,2421,1078,0,0,0,0,0,0,0,0,0,0,0,1068,179,480,274,500,66,6316,6709,6085,7195,4651,0,0,0,0,0,0
PA_WT_0000059 mapping,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1690,892,1762,105,0,1705,2375,1449,1410,0,933,1307,1622,0,0,0,0,0,0,0,2627,351,626,479,413,0,1187,1284,1232,1483,700,0,0,3,5,0,0
PA_WT_0000060 mapping,0,0,0,0,0,0,4,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106,1414,968,614,0,0,0,0,0,0,0,0,0,0,0,1018,268,977,500,6348,151,3471,3494,3083,3706,2463,0,0,0,2,0,0
PA_WT_0000061 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,967,838,1164,0,0,0,0,0,0,17337,16705,21546,726,27857,928,141,335,221,206,0,2563,2514,2276,2400,1937,0,0,3,0,0,0
PA_WT_0000062 mapping,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2535,1817,2299,1642,6390,3212,7101,452,0,1816,2489,1481,1733,0,0,0,0,0,0,6508,6142,7887,0,10090,2446,19923,41380,31265,33042,41400,5843,6283,5344,6704,4749,63930,0,3,2,0,0
PA_WT_0000063 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2803,3883,2563,1750,0,0,0,0,0,0,0,0,0,0,0,991,166,318,229,408,588,3083,3418,2956,3272,2460,0,0,0,0,0,0
PA_WT_0000064 mapping,0,0,0,0,0,0,3,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1423,743,1505,0,0,368,721,293,284,0,0,0,0,0,0,20899,22467,25088,935,33534,1630,3175,3621,4482,535,0,4034,4223,3555,4689,3334,0,0,4,0,0,0
PA_WT_0000065 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3063,3752,2921,2259,0,0,0,0,0,0,0,0,0,0,0,890,123,242,155,132,0,91,85,72,119,114,0,0,0,0,0,0
PA_WT_0000066 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2698,1860,2497,1421,678,275,694,0,0,1828,1631,1689,1365,0,0,0,0,0,0,0,0,0,0,0,463,51,101,70,100,0,2473,2681,2467,2918,1663,0,0,0,0,0,0
PA_WT_0000067 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,969,782,418,0,0,0,0,0,0,0,0,0,0,0,2152,353,778,472,2377,564,555,604,547,647,349,0,0,0,0,0,0
PA_WT_0000068 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3106,1805,2872,3163,0,0,0,0,0,2421,3698,2266,1654,0,0,0,0,0,0,0,0,0,0,0,1469,176,364,269,313,51,327,334,320,202,170,0,0,0,0,0,0
PA_WT_0000069 mapping,0,0,0,0,0,0,24426,37717,27133,30490,26317,37146,0,0,0,0,0,0,0,0,0,0,0,5210,3105,4744,6438,0,0,0,0,0,1183,1296,1137,1314,0,0,0,0,0,0,0,0,0,0,0,1607,257,587,327,389,0,187,192,225,218,299,0,0,57,38,0,0
PA_WT_0000070 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755,244,684,124,0,488,626,447,654,0,0,0,0,0,0,0,0,0,0,0,634,111,276,147,300,260,4418,4895,4149,5188,3261,0,0,0,0,0,0
PA_WT_0000071 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4821,7312,4861,3938,0,0,0,0,0,0,0,0,0,0,0,888,106,235,139,126,0,541,552,491,580,492,0,0,0,0,0,0
PA_WT_0000072 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8052,4808,6944,6551,0,0,0,0,0,237,347,113,0,0,0,0,0,0,0,0,0,0,0,0,694,5107,9876,8168,7843,14839,466,600,413,502,449,0,0,0,0,0,0
PA_WT_0000073 mapping,0,0,0,0,0,0,649,577,3091,3570,0,0,0,0,0,0,0,0,0,0,0,0,0,11301,7432,10332,12033,0,0,0,0,0,964,1622,843,1446,0,0,0,0,0,0,0,0,0,0,0,1200,124,284,199,485,137,4207,3974,3469,4427,2554,0,0,0,3,0,0
PA_WT_0000074 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8399,5662,7554,9239,0,0,0,0,0,1581,2225,1287,1357,0,0,0,0,0,0,0,0,0,0,0,777,121,204,143,166,0,2812,2927,2571,2972,1635,0,0,0,0,0,0
PA_WT_0000075 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6603,3356,7256,1207,0,4613,5801,4521,4290,0,0,0,0,0,0,0,0,0,0,0,1470,225,491,331,352,172,182,239,262,327,234,0,0,0,0,0,0
PA_WT_0000076 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2554,1497,2440,3099,0,0,0,0,0,4760,5637,4544,4316,0,0,0,0,0,0,0,0,0,0,0,1362,215,477,299,481,0,2523,2758,2306,2898,1769,0,0,0,0,0,0
PA_WT_0000077 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315,1402,1278,1358,0,0,0,0,0,0,0,0,0,0,0,1172,176,392,278,510,0,0,0,0,0,0,0,0,0,0,0,0
PA_WT_0000078 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3389,4250,3350,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1514,1545,1529,1496,1149,0,0,0,0,0,0
PA_WT_0000079 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2538,1714,2289,4924,0,0,0,0,0,579,646,448,628,0,0,0,0,0,0,0,0,0,0,0,324,55,96,71,97,24,2932,3059,2601,3191,2229,0,0,0,0,0,0
PA_WT_0000080 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11655,7895,10633,14969,0,0,0,0,0,4187,6048,4029,2762,0,0,0,0,0,0,0,0,0,0,0,1603,213,468,275,341,92,971,995,828,983,925,0,0,0,0,0,0
PA_WT_0000081 mapping,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41995,21266,44923,3427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,16,39,40,11,0,6284,6693,5720,7196,4595,0,0,0,0,0,0
PA_WT_0000082 mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565,3666,2548,1246,0,0,0,0,0,0,0,0,0,0,0,3669,4782,6808,6905,3661,2617,515,478,485,506,260,0,0,0,0,0,0
