I0A,6000000000
I0B,6000000000
I0C,6000000000
A1C,45000000
A2C,55000000
A3C,20000000
A4C,4000000
A1O,3500000
A2O,500000
A3O,250000
A4O,30000
A1M,100000000
A2M,90000000
A3M,65000000
A4M,7500000
A1E,4500000
A2E,8500000
A3E,700000
A4E,150000
B1C,15000000
B2C,5000000
B3C,1000000
B4C,8500000
B1O,200000
B2O,80000
B3O,20000
B4O,150000
B1M,18000000
B2M,35000000
B3M,15000000
B4M,30000000
B1E,300000
B2E,1700000
B3E,100000
B4E,350000
C1C,500
C2C,25000
C3C,4000
C4C,100000
C1O,10
C2O,500
C3O,30
C4O,1000
C1M,2000
C2M,150000
C3M,30000
C4M,300000
C1E,100
C2E,4000
C3E,80
C4E,20000
